Business Name,Phone,Email,Address,City,Zip Code,Website,Rating,Category
FARIS TIRE SHOP,16153003995.0,,"1903 Dr DB Todd Jr Blvd, Nashville, TN 37208, United States",Nashville,37208.0,,4.8,Tyre Shop
Gallatin Road Tire,16292028198.0,,"2601 Gallatin Pike, Nashville, TN 37216, United States",Nashville,37216.0,,4.4,Tyre Shop
Big Al's Used Tire & Auto Repair,16153970364.0,,"303 B, W Trinity Ln, Nashville, TN 37207, United States",Nashville,37207.0,,4.9,Tyre Shop
Tires by mark,16152426601.0,,"709 Murfreesboro Pike, Nashville, TN 37210, United States",Nashville,37210.0,,4.9,Tyre Shop
Main Street Tires & Services,16157308208.0,960mainsttires@gmail.com,"960 Main St, Nashville, TN 37206, United States",Nashville,37206.0,https://www.mainsttiresandservice.com/,4.6,Tyre Shop
One Stop Tire Shop,16157308167.0,,"2813 Clarksville Pike, Nashville, TN 37208, United States",Nashville,37208.0,,4.0,Tyre Shop
Tire Barn Inc,16152273390.0,,"1331 Dickerson Pike, Nashville, TN 37207, United States",Nashville,37207.0,https://www.tirebarnnashvilletn.com/,4.8,Tyre Shop
Dickerson Road Tire Shop & Auto,16152267222.0,,"2521 Dickerson Pike, Nashville, TN 37207, United States",Nashville,37207.0,,4.3,Tyre Shop
McDuffee Tire Service Inc,16152510253.0,,"661 Thompson Ln, Nashville, TN 37204, United States",Nashville,37204.0,http://www.mcduffeetire.com/,4.8,Tyre Shop
DR.TIRE,16159647457.0,,"2180 Nolensville Pk, Nashville, TN 37211, United States",Nashville,37211.0,,4.7,Tyre Shop
CHARLOTTE USED TIRE,16152791422.0,support@offerup.com,"4312 Charlotte Pike, Nashville, TN 37209, United States",Nashville,37209.0,https://offerupnow.com/item/myoffers/,4.7,Tyre Shop
TIRES R US,16159287122.0,,"1164 Murfreesboro Pike D, Nashville, TN 37217, United States",Nashville,37217.0,http://www.tiresrusnash.com/,4.0,Tyre Shop
NTB-National Tire & Battery,16157092617.0,,"2530 Franklin Pike, Nashville, TN 37204, United States",Nashville,37204.0,https://www.mavis.com/locations/nashville-franklin-pk-tn/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4416,4.6,Tyre Shop
Quality Tires & Roadside Service,16159969592.0,,"2019 Clarksville Pike, Nashville, TN 37208, United States",Nashville,37208.0,https://qtroadside.com/,5.0,Tyre Shop
Tire Discounters,16296665333.0,,"1931 Church St, Nashville, TN 37203, United States",Nashville,37203.0,https://tirediscounters.com/pages/locations/midtown-tn?y_source=1_MTIxMTY5OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,Tyre Shop
Mobile Tire Repair & Car Battery,16152491550.0,,"919 Gallatin Ave #12, Nashville, TN 37206, United States",Nashville,37206.0,https://nashvilletirerepairandcarbattery.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.8,Tyre Shop
Best One Mobile Tire LLC,16154777777.0,,"635 Murfreesboro Pike, Nashville, TN 37210, United States",Nashville,37210.0,https://b1mobiletire.com/,4.9,Tyre Shop
Tire Plus Service Zone,16158180407.0,,"2411 Dickerson Pike, Nashville, TN 37207, United States",Nashville,37207.0,,4.9,Tyre Shop
David's Tire & Alignment,16153310585.0,,"2820 Foster Ave, Nashville, TN 37210, United States",Nashville,37210.0,,4.7,Tyre Shop
"Wilson Tire & Auto, LLC",16158233369.0,,"1286 Murfreesboro Pike, Nashville, TN 37217, United States",Nashville,37217.0,http://www.wilsontireauto.com/,4.6,Tyre Shop
amigo used&new tire,16156007248.0,,"2194 Nolensville Pk, Nashville, TN 37211, United States",Nashville,37211.0,,4.3,Tyre Shop
Firestone Complete Auto Care,16158235790.0,,"2529 Franklin Pike, Nashville, TN 37204, United States",Nashville,37204.0,https://www.firestonecompleteautocare.com/tennessee/nashville/2529-franklin-pike/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,,Tyre Shop
"Nashville Mobile Road Service, LLC.",16155050505.0,mobileroadnashville@gmail.com,"3403 Gallatin Pike Ste D, Nashville, TN 37216, United States",Nashville,37216.0,http://mobileroadnashville.com/,,Tyre Shop
Service Tire-Truck Tire & Alignment Experts,16152448473.0,jfrutiger@servtire.com,"81 Fesslers Ln, Nashville, TN 37210, United States",Nashville,37210.0,http://www.servtire.com/,4.4,Tyre Shop
Robin Hood Tires,16154572441.0,,"1800 Dr DB Todd Jr Blvd, Nashville, TN 37208, United States",Nashville,37208.0,,3.6,Tyre Shop
Firestone Complete Auto Care,16156495415.0,,"406 Gallatin Ave, Nashville, TN 37206, United States",Nashville,37206.0,https://www.firestonecompleteautocare.com/tennessee/nashville/406-gallatin-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,3.9,Tyre Shop
Best-One Tire Commercial Truck Tire Center and Retread,16152449611.0,,"1118 Menzler Rd, Nashville, TN 37210, United States",Nashville,37210.0,https://www.sstire.com/commercial/?utm_source=google&utm_medium=organic&utm_campaign=GMB,4.4,Tyre Shop
24HR Mobile Tire Nashville,16157777797.0,,"912 Home Rd A, Nashville, TN 37216, United States",Nashville,37216.0,https://www.24hrmobiletirenashville.com/,4.6,Tyre Shop
"Speedy Roadside Assistance, LLC.",16159108591.0,speedyroadside3@gmail.com,"202 E Trinity Ln Unit C, Nashville, TN 37207, United States",Nashville,37207.0,https://speedyroadsideassist.com/,5.0,Tyre Shop
Nashville flat tire service,16159399639.0,,"1812 Dr DB Todd Jr Blvd, Nashville, TN 37208, United States",Nashville,37208.0,https://nashvilleflattire.com/,5.0,Tyre Shop
Tiger Tire and Auto Repair,16154019721.0,,"413 E Old Hickory Blvd, Madison, TN 37115, United States",Nashville,37115.0,,4.9,Tyre Shop
