State,Category,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Texas,Auto Body Shop,"auto body shop in Texas, USA",Dallas Auto Body Repair,"11055 Harry Hines Blvd A, Dallas, TX 75229, United States",+19722434009,http://www.dallasautobodyrepair.com/,4.9,,https://www.google.com/maps/place/Dallas+Auto+Body+Repair/data=!4m7!3m6!1s0x864e9d7cbb3cca3d:0xa388a9b4426914f6!8m2!3d32.884486!4d-96.8874723!16s%2Fg%2F1tdmf8xx!19sChIJPco8u3ydToYR9hRpQrSpiKM
Texas,Auto Body Shop,"auto body shop in Texas, USA",Elite Auto Body Shop,"2341 Royal Ln Ste C, Dallas, TX 75229, United States",+14694962789,https://eliteautobodyshop.com/,5.0,,https://www.google.com/maps/place/Elite+Auto+Body+Shop/data=!4m7!3m6!1s0x864c273e88e53167:0x78f9a3b887317c76!8m2!3d32.8961825!4d-96.9003534!16s%2Fg%2F11qwsblcyl!19sChIJZzHliD4nTIYRdnwxh7ij-Xg
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Body Works - Auto Body & Collision Repair,"2415 Midway Rd # 111, Carrollton, TX 75006, United States",+19722506722,http://www.texasbodyworks.com/,4.6,,https://www.google.com/maps/place/Texas+Body+Works+-+Auto+Body+%26+Collision+Repair/data=!4m7!3m6!1s0x864c26a84d6196d9:0xc2cac6c6de19575b!8m2!3d32.9793815!4d-96.8441162!16s%2Fg%2F1tf65wms!19sChIJ2ZZhTagmTIYRW1cZ3sbGysI
Texas,Auto Body Shop,"auto body shop in Texas, USA",texas complete body shop,"6410 Dick Price Rd, Mansfield, TX 76063, United States",+16823447137,,4.7,,https://www.google.com/maps/place/texas+complete+body+shop/data=!4m7!3m6!1s0x864e650ca5019b25:0x990d89659349e3d5!8m2!3d32.6066384!4d-97.2215368!16s%2Fg%2F11s5ty5gj5!19sChIJJZsBpQxlToYR1eNJk2WJDZk
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Collision Centers,"10717 N Fwy Ste 151, Fort Worth, TX 76177, United States",+18179533300,https://www.texascollisioncenters.com/locations/north-fort-worth,5.0,,https://www.google.com/maps/place/Texas+Collision+Centers/data=!4m7!3m6!1s0x864dd9bb13e303c7:0xb47b8865d550787e!8m2!3d32.9312387!4d-97.3175882!16s%2Fg%2F11wqxstcx_!19sChIJxwPjE7vZTYYRfnhQ1WWIe7Q
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Collision Centers,"6125 Peeler St, Dallas, TX 75235, United States",+19725289398,https://texascollisioncenters.com/locations/love-field/,4.9,,https://www.google.com/maps/place/Texas+Collision+Centers/data=!4m7!3m6!1s0x864e9f936002e25b:0xc41f359a591f7a8b!8m2!3d32.8300626!4d-96.8326831!16s%2Fg%2F11sf7sghx6!19sChIJW-ICYJOfToYRi3ofWZo1H8Q
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Collision Centers,"1101 N Great SW Pkwy, Arlington, TX 76011, United States",+18172004040,https://texascollisioncenters.com/locations/arlington/,4.9,,https://www.google.com/maps/place/Texas+Collision+Centers/data=!4m7!3m6!1s0x864e879ad39039fb:0x433ffb084803b6b8!8m2!3d32.7625794!4d-97.0465637!16s%2Fg%2F11tp507mj1!19sChIJ-zmQ05qHToYRuLYDSAj7P0M
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Auto Body,"2627 S Cooper St Suite B-22, Arlington, TX 76015, United States",+18178209773,https://www.texasautobodyarlington.com/,4.3,,https://www.google.com/maps/place/Texas+Auto+Body/data=!4m7!3m6!1s0x864e7d33907b7663:0xbe0864ef78b79e19!8m2!3d32.7003896!4d-97.1204137!16s%2Fg%2F1tfsc7nq!19sChIJY3Z7kDN9ToYRGZ63eO9kCL4
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Auto Repair & Body Shop,"2215 Main St, Houston, TX 77002, United States",+17132235231,http://tridevcarcare.com/,4.1,,https://www.google.com/maps/place/Texas+Auto+Repair+%26+Body+Shop/data=!4m7!3m6!1s0x8640bf1524cd48d9:0xc04756137de3ad1e!8m2!3d29.7473649!4d-95.3720554!16s%2Fg%2F1tfhgsxc!19sChIJ2UjNJBW_QIYRHq3jfRNWR8A
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Collision Centers,"100 Successful Dr suite 100, Fort Worth, TX 76140, United States",+18172074700,https://texascollisioncenters.com/locations/south-fort-worth,4.9,,https://www.google.com/maps/place/Texas+Collision+Centers/data=!4m7!3m6!1s0x864e6fb28918c8dd:0xbb5099b5a700aec5!8m2!3d32.6207555!4d-97.3225928!16s%2Fg%2F11krd205_3!19sChIJ3cgYibJvToYRxa4Ap7WZULs
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Collision Centers,"2501 N Central Expy, Plano, TX 75075, United States",+14692149161,https://texascollisioncenters.com/locations/plano-central/,4.9,,https://www.google.com/maps/place/Texas+Collision+Centers/data=!4m7!3m6!1s0x864c195a19433c29:0x71bd32457159f7ff!8m2!3d33.0340347!4d-96.7074356!16s%2Fg%2F11qplz9f8y!19sChIJKTxDGVoZTIYR__dZcUUyvXE
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Body Shop,"4900 McCarty Blvd, Amarillo, TX 79110, United States",+18063539818,https://www.texasbodyshopama.com/,4.5,,https://www.google.com/maps/place/Texas+Body+Shop/data=!4m7!3m6!1s0x87014ff6b0a658cf:0x2d56efd32029ab17!8m2!3d35.1601962!4d-101.872955!16s%2Fg%2F1whdjtfr!19sChIJz1imsPZPAYcRF6spINPvVi0
Texas,Auto Body Shop,"auto body shop in Texas, USA",Best for last auto body repair,"1119 Colorado Ln, Arlington, TX 76015, United States",+16825542179,,4.9,,https://www.google.com/maps/place/Best+for+last+auto+body+repair/data=!4m7!3m6!1s0x864e7d7b7e52bbaf:0xf119347a1ea562ea!8m2!3d32.7026329!4d-97.1235122!16s%2Fg%2F11hzyx7qq3!19sChIJr7tSfnt9ToYR6mKlHno0GfE
Texas,Auto Body Shop,"auto body shop in Texas, USA",Texas Collision Centers,"3737 Airport Fwy Ste 300, Bedford, TX 76021, United States",+18176622020,https://texascollisioncenters.com/locations/bedford/,4.9,,https://www.google.com/maps/place/Texas+Collision+Centers/data=!4m7!3m6!1s0x864e7fe934eb24bb:0xd0c75ee86be47598!8m2!3d32.8390409!4d-97.1091056!16s%2Fg%2F11kb07kt5q!19sChIJuyTrNOl_ToYRmHXka-hex9A
Texas,Auto Body Shop,"auto body shop in Texas, USA",TX Prestige Auto CO.,"10855 Jupiter Rd, Dallas, TX 75218, United States",+12147075224,http://txprestigeauto.com/,4.7,,https://www.google.com/maps/place/TX+Prestige+Auto+CO./data=!4m7!3m6!1s0x864ea74a6e5a4a23:0x5bfaac5b1208f806!8m2!3d32.8444649!4d-96.6851127!16s%2Fg%2F12vt6ds51!19sChIJI0pabkqnToYRBvgIElus-ls
