State,Category,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Texas,Convenience Store,"convenience store in Texas, USA",Central Mart,"1200 McKinney St #389, Houston, TX 77010, United States",+12818518156,,4.9,,https://www.google.com/maps/place/Central+Mart/data=!4m7!3m6!1s0x8640bf58b67e141f:0xcb87f455a3bf661!8m2!3d29.7546502!4d-95.3619209!16s%2Fg%2F11w20vv350!19sChIJHxR-tli_QIYRYfY7WkV_uAw
Texas,Convenience Store,"convenience store in Texas, USA",Texas Mart,"101 N Beach St, Fort Worth, TX 76111, United States",,,4.5,,https://www.google.com/maps/place/Texas+Mart/data=!4m7!3m6!1s0x864e71b54ce45353:0xecacfb2624bcb17!8m2!3d32.7649134!4d-97.287434!16s%2Fg%2F11h002hrgl!19sChIJU1PkTLVxToYRF8tLYrLPyg4
Texas,Convenience Store,"convenience store in Texas, USA",Urban Value Corner Store,"300 N Akard St #110, Dallas, TX 75201, United States",+19726853996,http://www.urbanvaluestore.com/,4.9,,https://www.google.com/maps/place/Urban+Value+Corner+Store/data=!4m7!3m6!1s0x864e99ecb82c6579:0xa57470bcf6003c89!8m2!3d32.7823048!4d-96.7995738!16s%2Fg%2F11ll3t0h20!19sChIJeWUsuOyZToYRiTwA9rxwdKU
Texas,Convenience Store,"convenience store in Texas, USA",Texas Mini Mart,"7517 Military Pkwy, Dallas, TX 75227, United States",,,4.0,,https://www.google.com/maps/place/Texas+Mini+Mart/data=!4m7!3m6!1s0x864ea3a430084929:0x7381924674a81742!8m2!3d32.771667!4d-96.6926144!16s%2Fg%2F1hc0wt_v8!19sChIJKUkIMKSjToYRQheodEaSgXM
Texas,Convenience Store,"convenience store in Texas, USA",Texas Food Mart,"14330 Bulverde Rd, San Antonio, TX 78247, United States",+12105459182,,4.7,,https://www.google.com/maps/place/Texas+Food+Mart/data=!4m7!3m6!1s0x865c8b9f63ff75f1:0xa28d3c166457f7b3!8m2!3d29.5716822!4d-98.4181598!16s%2Fg%2F1tdqb_f8!19sChIJ8XX_Y5-LXIYRs_dXZBY8jaI
Texas,Convenience Store,"convenience store in Texas, USA",TX Food Mart,"13350 Audelia Rd Ste 100, Dallas, TX 75243, United States",+14692480110,,4.6,,https://www.google.com/maps/place/TX+Food+Mart/data=!4m7!3m6!1s0x864c1f31928e444b:0x4ffdd05b79f5c353!8m2!3d32.9310333!4d-96.7175021!16s%2Fg%2F11h_v0ps74!19sChIJS0SOkjEfTIYRU8P1eVvQ_U8
Texas,Convenience Store,"convenience store in Texas, USA",Corner Convenience Shop,"407 N Lamar St suite 400, Dallas, TX 75202, United States",+14695229140,,4.6,,https://www.google.com/maps/place/Corner+Convenience+Shop/data=!4m7!3m6!1s0x864e99ac51d87e3b:0xd4d43883c3d08ecf!8m2!3d32.7813265!4d-96.8050846!16s%2Fg%2F11ftm3k2cc!19sChIJO37YUayZToYRz47Qw4M41NQ
Texas,Convenience Store,"convenience store in Texas, USA",Texan Mart,"3000 Lake Rd, Killeen, TX 76543, United States",,,4.1,,https://www.google.com/maps/place/Texan+Mart/data=!4m7!3m6!1s0x8645495551f456df:0xfcc69e755418959e!8m2!3d31.1238906!4d-97.6977608!16s%2Fg%2F11clzrl7bh!19sChIJ31b0UVVJRYYRnpUYVHWexvw
Texas,Convenience Store,"convenience store in Texas, USA",Texan Market,"457 N Harvey Mitchell Pkwy, Bryan, TX 77807, United States",+19793610450,,3.4,,https://www.google.com/maps/place/Texan+Market/data=!4m7!3m6!1s0x8646823989bf93ab:0xcf5fdc9a49e3ccaf!8m2!3d30.6300554!4d-96.3777375!16s%2Fg%2F1tcwx3d6!19sChIJq5O_iTmCRoYRr8zjSZrcX88
Texas,Convenience Store,"convenience store in Texas, USA",USA Grocery & Vape Shop & Gas Station,"800 Forest Ridge Dr, Bedford, TX 76022, United States",+16822546073,https://usalocalstore.com/,4.3,,https://www.google.com/maps/place/USA+Grocery+%26+Vape+Shop+%26+Gas+Station/data=!4m7!3m6!1s0x864e7f01522489b5:0x64902644f1fe25a1!8m2!3d32.822558!4d-97.1472431!16s%2Fg%2F11g1mjf7cg!19sChIJtYkkUgF_ToYRoSX-8UQmkGQ
