State,Category,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Texas,Food Truck,"food truck in Texas, USA",Texas City Food Truck Park,"718 6th St N, Texas City, TX 77590, United States",,,4.9,,https://www.google.com/maps/place/Texas+City+Food+Truck+Park/data=!4m7!3m6!1s0x863f794c55918423:0x9d44b4a33a0647c3!8m2!3d29.3922005!4d-94.9022655!16s%2Fg%2F11ndw9z2fh!19sChIJI4SRVUx5P4YRw0cGOqO0RJ0
Texas,Food Truck,"food truck in Texas, USA",Food Trucks,"609 Red River St, Austin, TX 78701, United States",,,4.8,,https://www.google.com/maps/place/Food+Trucks/data=!4m7!3m6!1s0x8644b5384493aa3b:0x9a0b5f511771b3e3!8m2!3d30.267044!4d-97.7368622!16s%2Fg%2F11sjyyrkj_!19sChIJO6qTRDi1RIYR47NxF1FfC5o
Texas,Food Truck,"food truck in Texas, USA",JRS Custom Food Trucks & Trailers,"9233 Bryant St, Houston, TX 77075, United States",+17135682909,https://jrscustomfoodtrucks.com/?utm_source=GMBlisting&utm_medium=organic,5.0,,https://www.google.com/maps/place/JRS+Custom+Food+Trucks+%26+Trailers/data=!4m7!3m6!1s0x864097e34d19ed6d:0x8bd9a0bdb6c713dd!8m2!3d29.6483139!4d-95.2525134!16s%2Fg%2F11rkfb6vt5!19sChIJbe0ZTeOXQIYR3RPHtr2g2Ys
Texas,Food Truck,"food truck in Texas, USA",M & M's Carnival Foods Food Truck Midland TX,"3315 N Loop 250 W, Midland, TX 79707, United States",+14325580011,https://www.mmambitions.com/,4.8,,https://www.google.com/maps/place/M+%26+M%27s+Carnival+Foods+Food+Truck+Midland+TX/data=!4m7!3m6!1s0x86fbd9b05ce79541:0x6175c80ca5c1314!8m2!3d32.012219!4d-102.1591639!16s%2Fg%2F11mv0w8rk3!19sChIJQZXnXLDZ-4YRFBNcyoBcFwY
Texas,Food Truck,"food truck in Texas, USA",Food Trucks,"2525 Rio Grande St, Austin, TX 78705, United States",,,4.5,,https://www.google.com/maps/place/Food+Trucks/data=!4m7!3m6!1s0x8644b5d6e6af8889:0x881683f776519ee4!8m2!3d30.29053!4d-97.74467!16s%2Fg%2F11s92r08pj!19sChIJiYiv5ta1RIYR5J5RdveDFog
Texas,Food Truck,"food truck in Texas, USA",Carnival Food Truck - Boardwalk Bites,"1312 Creekwood Ct, Allen, TX 75002, United States",+19726798195,http://www.boardwalkbites.com/,4.8,,https://www.google.com/maps/place/Carnival+Food+Truck+-+Boardwalk+Bites/data=!4m7!3m6!1s0x864c11c1a402a743:0x252ad22d96b01f2d!8m2!3d33.1038733!4d-96.6380265!16s%2Fg%2F11hxy7pvxr!19sChIJQ6cCpMERTIYRLR-wli3SKiU
Texas,Food Truck,"food truck in Texas, USA",Ballsy Food truck,"3195 FM982, Princeton, TX 75407, United States",+14694523963,https://v0-ballsyfoodtruck.vercel.app/,4.9,,https://www.google.com/maps/place/Ballsy+Food+truck/data=!4m7!3m6!1s0x864c0dcb8a2f85d7:0x82b21cc01cdfa89c!8m2!3d33.1314163!4d-96.491661!16s%2Fg%2F11rq0mssgg!19sChIJ14UvissNTIYRnKjfHMAcsoI
Texas,Food Truck,"food truck in Texas, USA",Food Truck Connector - Dallas Food Trucks,"2002 Ross Ave, Dallas, TX 75201, United States",+18009346771,http://dallasfoodtruckcatering.com/,2.7,,https://www.google.com/maps/place/Food+Truck+Connector+-+Dallas+Food+Trucks/data=!4m7!3m6!1s0x864e99bbe10fd8ff:0x83ef56990b6b8e65!8m2!3d32.7870529!4d-96.798895!16s%2Fg%2F11kj6vls7y!19sChIJ_9gP4buZToYRZY5rC5lW74M
Texas,Food Truck,"food truck in Texas, USA","Tacos, Bites & Beats Food Truck & Catering",,+14693333166,http://www.tacosbitesandbeats.com/,4.6,,"https://www.google.com/maps/place/Tacos,+Bites+%26+Beats+Food+Truck+%26+Catering/data=!4m7!3m6!1s0x864c209aba1e2cbb:0x577a31f8a81c25cc!8m2!3d32.818504!4d-96.7320961!16s%2Fg%2F11f2xy33l6!19sChIJuyweupogTIYRzCUcqPgxelc"
Texas,Food Truck,"food truck in Texas, USA",The Picnic - Food Truck Park,"1720 Barton Springs Rd, Austin, TX 78704, United States",,https://www.thepicnicaustin.com/,4.3,,https://www.google.com/maps/place/The+Picnic+-+Food+Truck+Park/data=!4m7!3m6!1s0x8644b517f7543d37:0xf1cc2443db3860d!8m2!3d30.2635667!4d-97.7628972!16s%2Fg%2F1z449yzbf!19sChIJNz1U9xe1RIYRDYazPUTCHA8
Texas,Food Truck,"food truck in Texas, USA",Food Trucks Texas,"1216 Yale St, Houston, TX 77008, United States",+526572694583,https://foodtruckpassion.com/,4.0,,https://www.google.com/maps/place/Food+Trucks+Texas/data=!4m7!3m6!1s0x8640c780e6d54d01:0x223223927876a67!8m2!3d29.793101!4d-95.3988158!16s%2Fg%2F11tdbjh6lw!19sChIJAU3V5oDHQIYRZ2qHJzkiIwI
Texas,Food Truck,"food truck in Texas, USA",MyFoodtrailer.com - Houston Food Truck Builder,"33217 Katy Lee Ln, The Woodlands, TX 77354, United States",+13462184565,http://www.myfoodtrailer.com/,5.0,,https://www.google.com/maps/place/MyFoodtrailer.com+-+Houston+Food+Truck+Builder/data=!4m7!3m6!1s0x86413bb9f49473af:0x9cede1112d0ce55!8m2!3d30.221033!4d-95.558312!16s%2Fg%2F11bzq394tt!19sChIJr3OU9Lk7QYYRVc7QEhHezgk
Texas,Food Truck,"food truck in Texas, USA",Food Truck Park,"Richardson, TX 75080, United States",,https://new.dineoncampus.com/utdallasdining/food-truck-park,4.5,,https://www.google.com/maps/place/Food+Truck+Park/data=!4m7!3m6!1s0x864c220003d6a399:0x55eb1f865b2c6525!8m2!3d32.9892317!4d-96.7506173!16s%2Fg%2F11c52m2yzz!19sChIJmaPWAwAiTIYRJWUsW4Yf61U
Texas,Food Truck,"food truck in Texas, USA",Texas Built Food Trailers Inc.,"2020 I-35, Belton, TX 76513, United States",+12547272577,http://www.texasbuiltfoodtrailers.com/,4.8,,https://www.google.com/maps/place/Texas+Built+Food+Trailers+Inc./data=!4m7!3m6!1s0x8644c575a8b94fd5:0x565b8044ea8ea6cc!8m2!3d31.0368543!4d-97.4701401!16s%2Fg%2F11gjjh2lxb!19sChIJ1U-5qHXFRIYRzKaO6kSAW1Y
Texas,Food Truck,"food truck in Texas, USA",US Food Trucks,"7508 Ambassador Row, Dallas, TX 75247, United States",+12144205997,,3.8,,https://www.google.com/maps/place/US+Food+Trucks/data=!4m7!3m6!1s0x864e9c63ddeaaaab:0xdc855555b026cd5a!8m2!3d32.8166834!4d-96.8742668!16s%2Fg%2F11d_bkx7yc!19sChIJq6rq3WOcToYRWs0msFVVhdw
Texas,Food Truck,"food truck in Texas, USA",Texas 2 Cali Food Truck,"10151 State Hwy 16 S, Pipe Creek, TX 78063, United States",+18304763420,,4.6,,https://www.google.com/maps/place/Texas+2+Cali+Food+Truck/data=!4m7!3m6!1s0x865c0f05dee76243:0x71ab19ab7434e6c0!8m2!3d29.7224613!4d-98.932313!16s%2Fg%2F11xfjzp3gt!19sChIJQ2Ln3gUPXIYRwOY0dKsZq3E
Texas,Food Truck,"food truck in Texas, USA",Raging Bull Street Taco's,"949 William D. Fitch Pkwy, College Station, TX 77845, United States",+19795515116,http://ragingbullstreettacos.com/,4.8,,https://www.google.com/maps/place/Raging+Bull+Street+Taco%27s/data=!4m7!3m6!1s0x8646852f184b5045:0x8c6da6afd058bede!8m2!3d30.5590246!4d-96.2609947!16s%2Fg%2F11h80j09w4!19sChIJRVBLGC-FRoYR3r5Y0K-mbYw
Texas,Food Truck,"food truck in Texas, USA",Galveston Food Truck Park,"Next to Beachsiders Bar in Sea Isle, 21510 Termini-San Luis Pass Rd, Galveston, TX 77554, United States",+12817736862,https://www.facebook.com/profile.php?id=100057448899508,5.0,,https://www.google.com/maps/place/Galveston+Food+Truck+Park/data=!4m7!3m6!1s0x863f872706f84c91:0x3b4e061203da10f0!8m2!3d29.1415146!4d-95.0404805!16s%2Fg%2F11ny1t2r4b!19sChIJkUz4BieHP4YR8BDaAxIGTjs
Texas,Food Truck,"food truck in Texas, USA",La Tóxica food truck,"4105 E Loop 250 N, Midland, TX 79705, United States",+14322342154,,4.6,,https://www.google.com/maps/place/La+T%C3%B3xica+food+truck/data=!4m7!3m6!1s0x86f961e155353a03:0x54befc3572e6be8!8m2!3d32.059115!4d-102.0311458!16s%2Fg%2F11l28trwpq!19sChIJAzo1VeFh-YYR6GsuV8PvSwU
Texas,Food Truck,"food truck in Texas, USA",Hubbard Food Truck Park,"106 NE 3rd St, Hubbard, TX 76648, United States",,,4.3,,https://www.google.com/maps/place/Hubbard+Food+Truck+Park/data=!4m7!3m6!1s0x864f15a727b8f44f:0xda8af992ac5b65a0!8m2!3d31.8478293!4d-96.7956025!16s%2Fg%2F11sb74ff52!19sChIJT_S4J6cVT4YRoGVbrJL5ito
Texas,Food Truck,"food truck in Texas, USA",Texasiana (Food Truck),"Houston, TX 77002, United States",+12814409494,http://texasianafamousfood.com/,3.5,,https://www.google.com/maps/place/Texasiana+%28Food+Truck%29/data=!4m7!3m6!1s0x8640bfa63da62623:0x5112f161ac9b2616!8m2!3d29.7618604!4d-95.3578305!16s%2Fg%2F11svzps1v6!19sChIJIyamPaa_QIYRFiabrGHxElE
Texas,Food Truck,"food truck in Texas, USA",El Patio Food Truck Park,"1362 E Austin St, Giddings, TX 78942, United States",,,4.8,,https://www.google.com/maps/place/El+Patio+Food+Truck+Park/data=!4m7!3m6!1s0x86446539d39c8a4d:0x29f91906e17a6c49!8m2!3d30.180323!4d-96.9245404!16s%2Fg%2F11hfg2d472!19sChIJTYqc0zllRIYRSWx64QYZ-Sk
Texas,Food Truck,"food truck in Texas, USA",Westheimer Food Truck Park,"12970 Westheimer Rd Suit 200, Houston, TX 77077, United States",+12818021940,,4.6,,https://www.google.com/maps/place/Westheimer+Food+Truck+Park/data=!4m7!3m6!1s0x8640dd3b457aaaa9:0xaa882f49170879de!8m2!3d29.7365692!4d-95.6150554!16s%2Fg%2F11ksnxnpqg!19sChIJqap6RTvdQIYR3nkIF0kviKo
Texas,Food Truck,"food truck in Texas, USA",The Food Trucks at Circle Drive,"8905 Circle Dr, Austin, TX 78736, United States",,https://www.instagram.com/thefoodtrucksatcircledrive,5.0,,https://www.google.com/maps/place/The+Food+Trucks+at+Circle+Drive/data=!4m7!3m6!1s0x865b49007e9b64e3:0xe4230a9bc765a641!8m2!3d30.2351188!4d-97.9133694!16s%2Fg%2F11mcfc2hvw!19sChIJ42SbfgBJW4YRQaZlx5sKI-Q
Texas,Food Truck,"food truck in Texas, USA",The Grub Hub (Food Truck),"2902 Almeda Genoa Rd, Houston, TX 77047, United States",+13463001908,,4.3,,https://www.google.com/maps/place/The+Grub+Hub+%28Food+Truck%29/data=!4m7!3m6!1s0x864095632d4f9257:0xbf2112d7c651579d!8m2!3d29.6131791!4d-95.3788646!16s%2Fg%2F11vl4gcx46!19sChIJV5JPLWOVQIYRnVdRxtcSIb8
