State,City,Category,Business Name,Phone,Email,Address,Zip Code,Website,Rating,Reviews,Business Hours,Business Status,Google Categories,Search Keyword,Search Latitude,Search Longitude,Place URL
Texas,Houston,Locksmith,Howard Safe & Lock,17138690581.0,sales@howardsafeandlock.com,"826 E 14th St, Houston, TX 77009, United States",77009.0,https://howardsafeandlock.com/,4.9,,,Open,Locksmith,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Howard+Safe+%26+Lock/data=!4m7!3m6!1s0x8640b897ccfcab55:0xf054dfc8edfdb810!8m2!3d29.7962537!4d-95.3820144!16s%2Fg%2F1v3dshsy!19sChIJVav8zJe4QIYRELj97cjfVPA
Texas,Houston,Locksmith,Get Locksmith,17137666328.0,,"2410 Tangley St, Houston, TX 77005, United States",77005.0,https://get-locksmith.com/houston,4.9,,,Open,Locksmith,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Get+Locksmith/data=!4m7!3m6!1s0x8640c1abccceafb3:0xa6ddc6f30e361c01!8m2!3d29.7202069!4d-95.4154526!16s%2Fg%2F11h12sdg07!19sChIJs6_OzKvBQIYRARw2DvPG3aY
Texas,Houston,Locksmith,Golden Locksmith,18327863901.0,workorders@golden-locksmith-tx.com,"6733 Stella Link Rd #209, West University Place, TX 77005, United States",77005.0,https://golden-locksmith-tx.com/locations/locksmith-services-west-university-place,,,,,,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Golden+Locksmith/data=!4m7!3m6!1s0x8640c1b62f5869b7:0x30f2db92e031d10c!8m2!3d29.7069984!4d-95.4399211!16s%2Fg%2F11ww_dlqtl!19sChIJt2lYL7bBQIYRDNEx4JLb8jA
Texas,Houston,Locksmith,Abbot Houston Locksmith,18325826889.0,locksmithhoustontxwestchase@gmail.com,"3420 Rusk St #28, Houston, TX 77003, United States",77003.0,http://tophoustonlocksmith.com/,4.9,,,Open,Locksmith,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Abbot+Houston+Locksmith/data=!4m7!3m6!1s0x8640bf978209b0ff:0x354e12b1ef8192a9!8m2!3d29.7452772!4d-95.3428514!16s%2Fg%2F11f7stpbf9!19sChIJ_7AJgpe_QIYRqZKB77ESTjU
Texas,Houston,Locksmith,Scorpion Locksmith Houston,12816231517.0,info@scorpionlocksmithhouston.com,"1806 Richmond Ave, Houston, TX 77098, United States",77098.0,http://scorpionlocksmithhouston.com/,4.8,,,Open,Locksmith,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Scorpion+Locksmith+Houston/data=!4m7!3m6!1s0x8640c1bbbe9d47a7:0xa73ac1e8e62b7533!8m2!3d29.734521!4d-95.4047693!16s%2Fg%2F11h2h3my2_!19sChIJp0edvrvBQIYRM3Ur5ujBOqc
Texas,Houston,Locksmith,Automobile Locksmith,17136655678.0,,"4100 Childress St, Houston, TX 77005, United States",77005.0,http://www.automobilelocksmithhouston.com/,,,,,,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Automobile+Locksmith/data=!4m7!3m6!1s0x8640c1a7ea0b1677:0x58c5addcb33e0441!8m2!3d29.7270825!4d-95.4432567!16s%2Fg%2F1pt_6pxhy!19sChIJdxYL6qfBQIYRQQQ-s9ytxVg
Texas,Houston,Locksmith,Pop-A-Lock of Houston - Locksmith,17137220060.0,,"3420 Rusk St #36, Houston, TX 77003, United States",77003.0,https://www.popalock.com/franchise/houston-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Pop-A-Lock+of+Houston+-+Locksmith/data=!4m7!3m6!1s0xc31d6865ae1cf13:0x6de763e405ab4ec!8m2!3d29.7452772!4d-95.3428514!16s%2Fg%2F11wwgw2xp2!19sChIJE8_hWobWMQwR7LRaQD523gY
Texas,Houston,Locksmith,All Houston Locksmith,18325411761.0,allhoustonlocksmithinc@gmail.com,"2929 Allen Pkwy STE. 200, Houston, TX 77019, United States",77019.0,http://allhoustonlocksmith.com/,,,,,,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/All+Houston+Locksmith/data=!4m7!3m6!1s0x8640c1bfc2fbd9fd:0x770e41fa7a791567!8m2!3d29.7608347!4d-95.3974523!16s%2Fg%2F11sr6m984v!19sChIJ_dn7wr_BQIYRZxV5evpBDnc
Texas,Houston,Locksmith,Heights River Oaks Houston Locksmith,17132822875.0,info@heightshoustonlocksmith.com,"1401 Greengrass Dr Ste 24, Houston, TX 77008, United States",77008.0,https://heightshoustonlocksmith.com/,,,,,,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/Heights+River+Oaks+Houston+Locksmith/data=!4m7!3m6!1s0x8640c7c93ac7c68d:0xea388931b843c752!8m2!3d29.7954865!4d-95.4433028!16s%2Fg%2F11wmnjlll9!19sChIJjcbHOsnHQIYRUsdDuDGJOOo
Texas,Houston,Locksmith,American Best Locksmith,18322253088.0,service@americanbestlocksmith.com,"3226 Mainford St, Houston, TX 77009, United States",77009.0,https://www.americanbestlocksmith.com/cities/locksmith-houston-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,locksmith,29.758938,-95.367697,https://www.google.com/maps/place/American+Best+Locksmith/data=!4m7!3m6!1s0x8640b8c65b0d7a77:0x55da84187bee7a9e!8m2!3d29.7866453!4d-95.369516!16s%2Fg%2F11c20q5sjq!19sChIJd3oNW8a4QIYRnnruexiE2lU
