Business Name,Phone,Email,Address,City,Zip Code,Website,Rating,Category
Howard Safe & Lock,17138690581.0,sales@howardsafeandlock.com,"826 E 14th St, Houston, TX 77009, United States",Houston,77009.0,https://howardsafeandlock.com/,4.9,Locksmith
Get Locksmith,17137666328.0,,"2410 Tangley St, Houston, TX 77005, United States",Houston,77005.0,https://get-locksmith.com/houston,4.9,Locksmith
Golden Locksmith,18327863901.0,workorders@golden-locksmith-tx.com,"6733 Stella Link Rd #209, West University Place, TX 77005, United States",Houston,77005.0,https://golden-locksmith-tx.com/locations/locksmith-services-west-university-place,,Locksmith
Abbot Houston Locksmith,18325826889.0,locksmithhoustontxwestchase@gmail.com,"3420 Rusk St #28, Houston, TX 77003, United States",Houston,77003.0,http://tophoustonlocksmith.com/,4.9,Locksmith
Scorpion Locksmith Houston,12816231517.0,info@scorpionlocksmithhouston.com,"1806 Richmond Ave, Houston, TX 77098, United States",Houston,77098.0,http://scorpionlocksmithhouston.com/,4.8,Locksmith
Automobile Locksmith,17136655678.0,,"4100 Childress St, Houston, TX 77005, United States",Houston,77005.0,http://www.automobilelocksmithhouston.com/,,Locksmith
Pop-A-Lock of Houston - Locksmith,17137220060.0,,"3420 Rusk St #36, Houston, TX 77003, United States",Houston,77003.0,https://www.popalock.com/franchise/houston-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,Locksmith
All Houston Locksmith,18325411761.0,allhoustonlocksmithinc@gmail.com,"2929 Allen Pkwy STE. 200, Houston, TX 77019, United States",Houston,77019.0,http://allhoustonlocksmith.com/,,Locksmith
Heights River Oaks Houston Locksmith,17132822875.0,info@heightshoustonlocksmith.com,"1401 Greengrass Dr Ste 24, Houston, TX 77008, United States",Houston,77008.0,https://heightshoustonlocksmith.com/,,Locksmith
American Best Locksmith,18322253088.0,service@americanbestlocksmith.com,"3226 Mainford St, Houston, TX 77009, United States",Houston,77009.0,https://www.americanbestlocksmith.com/cities/locksmith-houston-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,Locksmith
Bravo Key & Lock,17135235397.0,,"1756 Westheimer Rd, Houston, TX 77098, United States",Houston,77098.0,http://www.bravokeyandlock.com/,,Locksmith
Abbot Houston Locksmith,18329402773.0,locksmithhoustontxwestchase@gmail.com,"4740 Ingersoll St UNIT 207, Houston, TX 77027, United States",Houston,77027.0,http://tophoustonlocksmith.com/,,Locksmith
General pro locksmith,17137142241.0,generalprolocksmith@gmail.com,"4124 Spencer St, Houston, TX 77007, United States",Houston,77007.0,https://generalprolocksmith.com/,,Locksmith
Key on the spot,17132894550.0,,"6532 Canal St, Houston, TX 77011, United States",Houston,77011.0,https://keyonthespot.net/,,Locksmith
Houston 247 Locksmiths,18329789200.0,houston247locksmiths2344@gmail.com,"2217 W 34th St Unit D, Houston, TX 77018, United States",Houston,77018.0,https://www.houston247locksmiths.com/,4.9,Locksmith
Grands Locksmith,18328858880.0,grandslocksmith@gmail.com,"2203 W 34th St Suite A, Houston, TX 77018, United States",Houston,77018.0,https://grandslocksmith.com/,,Locksmith
Forge Locksmith,17133600123.0,,"1000 Main St Ste 2300, Houston, TX 77002, United States",Houston,77002.0,https://forgelocksmith.com/,,Locksmith
Texan Locksmith,13466461500.0,info@texan-locksmith.com,"123 W 18th St Unit B, Houston, TX 77008, United States",Houston,77008.0,https://texanlocksmith.com/,,Locksmith
ASV Locksmith,18326530616.0,info@asvlocksmith.com,"24 Greenway Plz Suite 1800, Houston, TX 77046, United States",Houston,77046.0,https://asvlocksmith.com/,,Locksmith
Mr Keys,17139212738.0,,"627 S 75th St, Houston, TX 77023, United States",Houston,77023.0,,4.6,Locksmith
FlyLock Security Solutions,17132341570.0,,"3311 Richmond Ave Ste 150, Houston, TX 77098, United States",Houston,77098.0,https://flylock.com/locations/houston/?utm_source=Google&utm_medium=Listing&utm_campaign=HOUSTON,,Locksmith
KeyMe Locksmiths,12819163588.0,,"1938 W Gray St, Houston, TX 77019, United States",Houston,77019.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77019-texas,,Locksmith
KeyMe Locksmiths,13463727207.0,,"3663 Washington Ave Suite 100 Suite 100, Houston, TX 77007, United States",Houston,77007.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-h-e-b-77007-texas,,Locksmith
KeyMe Locksmiths,12819168262.0,,"1440 Studemont St, Houston, TX 77007, United States",Houston,77007.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77007-texas,,Locksmith
A&M locksmith East Houston,17137895625.0,,"7250 Market St, Houston, TX 77020, United States",Houston,77020.0,http://www.a-mmobilelocksmith.com/,,Locksmith
E-Key Solutions,18329786879.0,,"4803 Main St, Houston, TX 77002, United States",Houston,77002.0,,4.8,Locksmith
Locknology Security Solutions,17136801210.0,service@locknology.net,"9995 Hempstead Rd, Houston, TX 77092, United States",Houston,77092.0,https://locknology.net/,,Locksmith
KeyMe Locksmiths,13462779174.0,,"5150 Buffalo Speedway, Houston, TX 77005, United States",Houston,77005.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77005-texas,,Locksmith
KeyMe Locksmiths,15123097930.0,,"2225 Louisiana St, Houston, TX 77002, United States",Houston,77002.0,https://key.me/kiosks/texas/houston/midtown/make-keys-midtown-tx,,Locksmith
KeyMe Locksmiths,13466160768.0,,"1701 W Alabama St, Houston, TX 77098, United States",Houston,77098.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-h-e-b-77098-texas,,Locksmith
KeyMe Locksmiths,13464234475.0,,"5225A Buffalo Speedway, Houston, TX 77005, United States",Houston,77005.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-h-e-b-77005-texas,,Locksmith
KeyMe Locksmiths,15126451462.0,,"3131 W Holcombe Blvd, Houston, TX 77025, United States",Houston,77025.0,https://key.me/kiosks/texas/houston/braeswood-place/make-keys-braeswood-place-tx,,Locksmith
United Locksmith,18322204722.0,,,Houston,,https://24hourlocksmith-texas.com/,,Locksmith
Keyless City,18329929957.0,keylesscity93@gmail.com,,Houston,,https://keylesscitylocksmith.com/,5.0,Locksmith
24/7 Mobile Locksmith,17136233637.0,,,Houston,,http://247mobilelocksmithtx.com/,,Locksmith
KeyMe Locksmiths,13468570650.0,,"4000 Polk St, Houston, TX 77023, United States",Houston,77023.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77023-texas,,Locksmith
KeyMe Locksmiths,12819164746.0,support@key.me,"1035 N Shepherd Dr, Houston, TX 77008, United States",Houston,77008.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77008-texas,3.7,Locksmith
Secure Locksmith,17136599953.0,houstonsecurelocksmith@gmail.com,"4800 W 34th St #4D, Houston, TX 77092, United States",Houston,77092.0,https://www.houstonsecurelocksmith.com/,,Locksmith
7Days Locksmith,18329834169.0,,,Houston,,https://7dayslocksmithllc.com/,,Locksmith
EZ Lock & Key Assist,13464340074.0,,,Houston,,https://lockkeyassist.com/,5.0,Locksmith
KeyMe Locksmiths,12252401618.0,,"5586 Weslayan St, Houston, TX 77005, United States",Houston,77005.0,https://key.me/kiosks/texas/houston/west-university-place/make-keys-west-university-place-tx,4.0,Locksmith
KeyMe Locksmiths,13466394598.0,,"6055 South Fwy, Houston, TX 77004, United States",Houston,77004.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-h-e-b-77004-texas,,Locksmith
RoadRunner Locksmith,12815725566.0,roadrunnerlocksmith1995@gmail.com,"5622 Schumacher Ln #300, Houston, TX 77057, United States",Houston,77057.0,https://roadrunnerlocksmith.com/,4.8,Locksmith
Minute Key,13035320602.0,mk.csescalation@hillmangroup.com,"1521 N Loop W, Houston, TX 77008, United States",Houston,77008.0,https://www.minutekey.com/key-services/texas/houston/locksmith-key-copy-duplication-1521-north-loop-west/632/,4.1,Locksmith
Minute Key,13035320602.0,,"2777 Katy Freeway Service Road, Houston, TX 77007, United States",Houston,77007.0,https://www.minutekey.com/key-services/texas/houston/locksmith-key-copy-duplication-2777-katy-freeway-service-rd-/37976/,5.0,Locksmith
BH Locksmith,12817776030.0,jsrr1881@gmail.com,"6720 Chimney Rock Rd Ste r, Houston, TX 77081, United States",Houston,77081.0,https://bh-locksmith.com/,,Locksmith
Rushmore Locksmith LLC,18324945992.0,rushmorelocksmith93@gmail.com,,Houston,,https://rushmorelocksmith.com/,,Locksmith
Trifecta Lock,18327308066.0,,,Houston,,http://www.trifectalock.com/,,Locksmith
Alamo key & lock,17136883887.0,info@alamokeyandlock.com,"5415 Pinemont Dr, Houston, TX 77092, United States",Houston,77092.0,https://www.alamokeyandlock.com/,4.7,Locksmith
Dixie Safe & Lock,17136435767.0,,"7920 Gulf Fwy, Houston, TX 77017, United States",Houston,77017.0,https://www.dixielock.com/,4.6,Locksmith
Airborne Locksmith,17139555554.0,,"2725 Chimney Rock Rd, Houston, TX 77056, United States",Houston,77056.0,https://airbornelocksmiths.com/,4.9,Locksmith
Glorious Locksmith,17132316112.0,support@gloriouslocksmith.com,"8403 Almeda Rd Ste C, Houston, TX 77054, United States",Houston,77054.0,https://www.gloriouslocksmith.com/,4.9,Locksmith
Houston Key Locksmith,18328379008.0,,"5819 Bissonnet St, Bellaire, TX 77401, United States",Houston,77401.0,https://www.houstonkeylocksmith.com/,4.9,Locksmith
Sure 2 Secure,17135740114.0,,,Houston,,https://sure2secure.com/,5.0,Locksmith
AAA Locksmith,17136665625.0,,"7137 Chimney Rock Rd, Houston, TX 77081, United States",Houston,77081.0,https://aaalockco.com/?y_source=1_MjYwNjIxOTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,Locksmith
Key Center at The Home Depot,13462372700.0,,"2777 Katy Freeway Service Road, Houston, TX 77007, United States",Houston,77007.0,https://www.homedepot.com/l/Tx-/TX/Houston/77007/1326?emt=MSKEYGMBGoogleMaps,,Locksmith
24 HOUR LOCKSMITH SERVICE LLC,18329797899.0,,"7926 Hillcroft St, Houston, TX 77081, United States",Houston,77081.0,http://24hourlocksmith.day/,4.8,Locksmith
Key Center at The Home Depot,17136491108.0,,"6810 Gulf Fwy, Houston, TX 77087, United States",Houston,77087.0,https://www.homedepot.com/l/Gulfgate-Mall/TX/Houston/77087/6509?emt=MSKEYGMBGoogleMaps,,Locksmith
Martini True Value Hardware,17139267466.0,,"7145 Lawndale St, Houston, TX 77023, United States",Houston,77023.0,https://stores.truevalue.com/tx/houston/9468,4.7,Locksmith
Key Center at The Home Depot,17138029725.0,,"999 N Loop W, Houston, TX 77008, United States",Houston,77008.0,https://www.homedepot.com/l/Brinkman/TX/Houston/77008/577?emt=MSKEYGMBGoogleMaps,,Locksmith
Automotive Key Solutions,17137032987.0,,,Houston,,https://houstontxcarkeyreplacement.com/,4.3,Locksmith
Robbie's Key and Lock,17134683750.0,,"8146 Long Point Rd, Houston, TX 77055, United States",Houston,77055.0,,4.8,Locksmith
101 Locksmith,17139859065.0,101locksmith93@gmail.com,"8600 Mesa Dr Ste D2, Houston, TX 77028, United States",Houston,77028.0,https://101locksmithllc.com/,5.0,Locksmith
Affordable Locksmith Service,17133966547.0,aly@affordablelocksmithservice.com,,Houston,,https://affordablelocksmithservice.com/,4.9,Locksmith
MHS Locksmith,18326207092.0,,"5330 North Fwy Ste 101, Houston, TX 77022, United States",Houston,77022.0,https://mhslocksmith.com/,4.7,Locksmith
Houston Steel Equipment,17138697326.0,,"1239 W 20th St, Houston, TX 77008, United States",Houston,77008.0,http://www.houstonsteelequipment.com/,5.0,Locksmith
A&M Mobile Locksmith,17137895625.0,,"5850 Antoine Dr, Houston, TX 77091, United States",Houston,77091.0,https://a-mmobilelocksmith.com/,4.7,Locksmith
QuickTimez Roadside Assistance,18324434794.0,,,Houston,,https://bit.ly/4oAEnFJ,,Locksmith
"Postal Station 4U -- (FEDEX, UPS, USPS)",17136803028.0,postalstation4u@gmail.com,"3403 W T C Jester Blvd, Houston, TX 77018, United States",Houston,77018.0,https://www.postalstation4u.com/,,Locksmith
24 Hour Locksmiths,18326328381.0,24hourlocksmithshouston1@gmail.com,"5550 N Braeswood Blvd, Houston, TX 77096, United States",Houston,77096.0,https://www.24hourlocksmithstx.com/,4.6,Locksmith
Third Coast Waste Solutions,18324893091.0,,"5505 Elysian St, Houston, TX 77009, United States",Houston,77009.0,http://thirdcoastwastesolutions.com/,,Locksmith
KeyMe Locksmiths,13462912069.0,,"1352 W 43rd St, Houston, TX 77018, United States",Houston,77018.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77018-texas,,Locksmith
Infinity Commercial Lock Service,17138925625.0,service@infinitylock.com,"5200 Mitchelldale St f24, Houston, TX 77092, United States",Houston,77092.0,http://www.infinitylock.com/,,Locksmith
E.A locksmith,13465676363.0,e.alocksmith1995@gmail.com,"11415 Chimney Rock Rd Suite 113, Houston, TX 77035, United States",Houston,11415.0,https://ealocksmithinc.com/,,Locksmith
Pro Locksmith,12813695675.0,prolocksmith123@gmail.com,"6909 Ashcroft Dr #106, Houston, TX 77081, United States",Houston,77081.0,https://www.prolocksmithsnow.com/,,Locksmith
Dallas-Fort Worth Discount Locksmith,12146158617.0,,,Houston,,,,Locksmith
Tony's Keys Express,18329385789.0,tonyskeyslocksmith@gmail.com,"301 State St, South Houston, TX 77587, United States",Houston,77587.0,https://www.tonysprogramming.com/,,Locksmith
Security Lock & Key,12818019321.0,,,Houston,,,,Locksmith
A to Z Car Key Replacement,17134540727.0,,"7807 Long Point Rd #322, Houston, TX 77055, United States",Houston,77055.0,http://www.azhoustoncarlocksmith.com/,,Locksmith
KeyMe Locksmiths,13463712688.0,,"5895 San Felipe St, Houston, TX 77057, United States",Houston,77057.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-h-e-b-77057-texas,,Locksmith
NSH Locksmith,19794228362.0,,"9120 Bellflower St, Houston, TX 77063, United States",Houston,77063.0,https://www.nshlocksmith.com/,5.0,Locksmith
KeyMe Locksmiths,12815498782.0,,"6322 Telephone Rd, Houston, TX 77087, United States",Houston,77087.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77087-texas,,Locksmith
KeyMe Locksmiths,13463757369.0,,"12009 Northwest Fwy, Houston, TX 77092, United States",Houston,12009.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-joe-v-s-smart-shop-77092-texas,,Locksmith
Llaves Tenayuca,17134650123.0,,"2300 Wirt Rd, Houston, TX 77055, United States",Houston,77055.0,https://www.facebook.com/Llavestenayuca/,,Locksmith
Quickey Locksmith Services,18324781754.0,,"Address is, 10018 Chickasaw Ln Ste B1, Houston, TX 77041, United States",Houston,10018.0,https://quickeylocksmith.com/,,Locksmith
KeyMe Locksmiths,12813469453.0,,"1505 Wirt Rd, Houston, TX 77055, United States",Houston,77055.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77055-texas,4.2,Locksmith
Tony TNT Locksmith - Pasadena Locksmith,17132314768.0,,"1712 Shaver St, Pasadena, TX 77502, United States",Houston,77502.0,http://tony-tnt-locksmith.org/,,Locksmith
TX Metro Locksmith,12816168236.0,info@tx-metro-locksmith.com,"12122 Bob White Dr, Houston, TX 77035, United States",Houston,12122.0,https://tx-metro-locksmith.com/,,Locksmith
,18328389284.0,,,Houston,,https://houstonkeylocksmith.com/houston-key-locksmith-%20west/,5.0,Locksmith
KeyMe Locksmiths,12815597281.0,,"10306 S Post Oak Rd, Houston, TX 77035, United States",Houston,10306.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77035-texas,4.4,Locksmith
MOBILCO LOCKSMITH & SECURITY,17134890000.0,mobilcolocksmithhtx@gmail.com,"8710 Richmond Ave, Houston, TX 77063, United States",Houston,77063.0,https://mobilcolocksmithhoustontx.com/,4.8,Locksmith
The Home Depot,17138029725.0,,"999 N Loop W, Houston, TX 77008, United States",Houston,77008.0,https://www.homedepot.com/l/Brinkman/TX/Houston/77008/577?emt=MSGoogleMaps,,Locksmith
Car Keys Unlocked,18328803956.0,,"2401 Fountain View Dr, Houston, TX 77057, United States",Houston,77057.0,,4.9,Locksmith
KeylessCity Hardware,18324508444.0,info@keyless-city.com,"5035 Gulf Fwy, Houston, TX 77023, United States",Houston,77023.0,https://keyless-city.com/,4.7,Locksmith
Auto Keys Houston TX,12812416840.0,,"3738 Griggs Rd, Houston, TX 77021, United States",Houston,77021.0,http://autokeyslocksmithhouston.com/,5.0,Locksmith
Honda Key Replacement Houston TX,17134877604.0,,"3815 Westheimer Rd, Houston, TX 77027, United States",Houston,77027.0,,4.0,Locksmith
C&D Hardware & Gifts,17138613551.0,,"314 E 11th St, Houston, TX 77008, United States",Houston,77008.0,https://www.doitbest.com/c-and-d-hardware-and-gifts,4.5,Locksmith
Car Key Replacement Houston Specialist,18324781149.0,contactalocksmith@gmail.com,"2514 McAllister Rd, Houston, TX 77092, United States",Houston,77092.0,https://carkeyreplacement-houstontx.com/,5.0,Locksmith
House Unlocked Houston TX,13464392480.0,,"2712 Southwest Fwy, Houston, TX 77098, United States",Houston,77098.0,http://houseunlockedhouston.com/,5.0,Locksmith
Dixie Hardware,17137477717.0,,"4321 Old Spanish Trl, Houston, TX 77021, United States",Houston,77021.0,,4.2,Locksmith
Clutch City Laser and Print Shop,18329911119.0,,"2609 Hardy St, Houston, TX 77009, United States",Houston,77009.0,,5.0,Locksmith
Midtown Auto Service & Repair,17135232886.0,,"4510 Almeda Rd, Houston, TX 77004, United States",Houston,77004.0,http://midtownautoservice.net/,4.8,Locksmith
Southland Hardware,17135294743.0,,"1822 Westheimer Rd, Houston, TX 77098, United States",Houston,77098.0,https://www.southlandhardware.com/,,Locksmith
Cox Hardware and Lumber,17139239458.0,,"1923 Wayside Dr, Houston, TX 77011, United States",Houston,77011.0,https://www.coxhardware.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness_map,4.6,Locksmith
Elite Garage Door Expert,17135727666.0,,"8100 Washington Ave Ste 163, Houston, TX 77007, United States",Houston,77007.0,http://www.elitegaragedoorexpert.com/,,Locksmith
Extra Space Storage,17138623314.0,,"3535 Katy Fwy, Houston, TX 77007, United States",Houston,77007.0,https://www.extraspace.com/storage/facilities/us/texas/houston/1000000658/?cid=org::maps&utm_source=google&utm_medium=organic&utm_campaign=org::maps,4.7,Locksmith
Ace Handyman Services Central Houston,13465959441.0,,"550 Post Oak Blvd Ste #402, Houston, TX 77027, United States",Houston,77027.0,https://www.acehandymanservices.com/offices/central-houston,4.8,Locksmith
Heights Auto Repair,17138802440.0,service@heightsautorepair.com,"735 W 19th St, Houston, TX 77008, United States",Houston,77008.0,http://heightsautorepair.com/,4.5,Locksmith
JJ Auto Body,17133492886.0,,"340 Erin St, Houston, TX 77009, United States",Houston,77009.0,https://jjautobodyhouston.com/,4.7,Locksmith
24hourlockhouston.,12813015392.0,,"2608 Montrose Blvd, Houston, TX 77006, United States",Houston,77006.0,http://24hourlocksmithshouston.com/,,Locksmith
Houston Lock & Mailboxes,17138507184.0,,"3407 Mercer St, Houston, TX 77027, United States",Houston,77027.0,https://www.florencemailboxes.com/dealer-profile/2067/Houston+Lock+%26+Mailboxes,4.6,Locksmith
H Town Sliding Doors Repair,18328570230.0,htowndoors@gmail.com,"7105 Old Katy Rd, Houston, TX 77024, United States",Houston,77024.0,http://www.htowndoors.com/,4.8,Locksmith
Central Security,12814072677.0,armando@centralsecured.com,"1000 N Post Oak Rd #220, Houston, TX 77055, United States",Houston,77055.0,http://www.centralsecurityhouston.com/,,Locksmith
J&D keys and more,12812294564.0,,"6749 Airline Dr space 102, Houston, TX 77076, United States",Houston,77076.0,,5.0,Locksmith
Tapatia Car Keys,18328968271.0,,"3800 Little York Rd Ste-150, Houston, TX 77093, United States",Houston,77093.0,,5.0,Locksmith
JJ Keys & Remotes,12814009043.0,,,Houston,,https://www.jjkeysremotes.com/,5.0,Locksmith
"American Lock and Key, Inc",12819995566.0,,"1748 W Mt Houston Rd, Houston, TX 77038, United States",Houston,77038.0,https://www.americanlockandkeyinc.com/,4.8,Locksmith
"Shield Lock & Security Service, LLC",17136995625.0,,,Houston,,http://www.shieldlockllc.com/,3.9,Locksmith
10 Minute Locksmith,17137144446.0,,"9030 North Fwy Unit 111, Houston, TX 77037, United States",Houston,77037.0,,5.0,Locksmith
Llaves Tenayuca,18326554789.0,,"9602 Airline Dr, Houston, TX 77037, United States",Houston,77037.0,https://www.facebook.com/Llavestenayuca,3.8,Locksmith
Cerrajeria Amigos,18329801550.0,,"5231 Aldine Mail Rte Rd #3, Houston, TX 77039, United States",Houston,77039.0,,4.1,Locksmith
Express Locksmith,18326901640.0,,"14106 Stuebner Airline Rd Suite B, Houston, TX 77069, United States",Houston,14106.0,https://expresslocksmithhouston.com/,4.9,Locksmith
CJS locksmith,12819384134.0,,"3663 N Sam Houston Pkwy E Ste 654, Houston, TX 77032, United States",Houston,77032.0,https://www.cjslocksmith.com/,4.9,Locksmith
Hopperlock,12815073219.0,,,Houston,,,4.9,Locksmith
Direct Auto Keys,12817609972.0,csdirectautokeys@gmail.com,"9505 Hollock St Ste F, Houston, TX 77075, United States",Houston,77075.0,https://www.houtxlocksmith.com/,4.9,Locksmith
Forsess - Auto Home Locks,12818298209.0,,"13280 Trail Hollow Dr, Houston, TX 77079, United States",Houston,13280.0,http://autohomelocks.com/,5.0,Locksmith
Fm 1960 Locksmith Houston,12814071823.0,,"1607 Corral Dr, Houston, TX 77090, United States",Houston,77090.0,http://www.fm1960locksmith.com/,,Locksmith
Bakers Safe & Lock,17137807026.0,,"5612 Fondren Rd, Houston, TX 77036, United States",Houston,77036.0,http://bakers.net/,4.5,Locksmith
Direct Auto Keys & Remotes,12818274164.0,,,Houston,,http://htxautolocksmith.com/,5.0,Locksmith
Max Key Locksmith,13467778777.0,,"12455 Westpark Dr Ste H17, Houston, TX 77082, United States",Houston,12455.0,https://maxkeylocksmith.com/,5.0,Locksmith
Moses Lock And Key,12818004856.0,moseslockandkey@gmail.com,,Houston,,https://moses-lock-and-key.com/,4.7,Locksmith
car alarm remote and keys,17134602555.0,,"10100 Clay Rd C, Houston, TX 77080, United States",Houston,10100.0,http://caralarmremotekeys.com/?utm_source=gmb&utm_medium=referral,4.2,Locksmith
KeyMe Locksmiths,13462911967.0,,"1801 S Voss Rd, Houston, TX 77057, United States",Houston,77057.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77057-texas,4.2,Locksmith
High End Locksmiths,18325981144.0,,"21631 Rhodes Rd C300, Spring, TX 77388, United States",Houston,21631.0,https://www.highendlocksmiths.com/,4.9,Locksmith
Locksmith & Programming Services,12817162764.0,,"12005 Veterans Memorial Dr D, Houston, TX 77067, United States",Houston,12005.0,,4.0,Locksmith
Locksmith Doctor,18329666060.0,,,Houston,,https://locksmithdoctors.com/,4.9,Locksmith
"Astro Lock and Safe, LLC",12814464403.0,,"1004 Farm to Market 1960 Bypass Rd E, Humble, TX 77338, United States",Houston,77338.0,http://astrolockandsafe.net/,,Locksmith
Sky Lock & Doors Service,12812058185.0,,,Houston,,http://skylockanddoorservice.com/,4.8,Locksmith
All Week Locksmith,13467703558.0,,,Houston,,http://www.allweeklocksmith.net/,,Locksmith
Texas Keyman Locksmith,18326610145.0,,,Houston,,https://www.texkeyman.com/,5.0,Locksmith
GARCIA'S ROADSIDE SERVICE,17133827536.0,,"526 Cool Spring Dr, Houston, TX 77037, United States",Houston,77037.0,,4.6,Locksmith
1960 Locksmith Humble,18324108748.0,,"1906 Treble Dr, Humble, TX 77338, United States",Houston,77338.0,,4.3,Locksmith
KeyMe Locksmiths,13462150701.0,support@key.me,"12434 TX-249, Houston, TX 77086, United States",Houston,12434.0,https://key.me/kiosks/texas/houston/houston/locksmith-key-copy-houston-kroger-77086-texas,4.2,Locksmith
"SAFECO- Safes, Remotes and Keys LLC",18322335594.0,,"4518 Farm to Market 1960 Rd E, Humble, TX 77346, United States",Houston,77346.0,https://safecolocksmithhumbletx.com/,,Locksmith
Eli's Lock and Key,12813011906.0,,,Houston,,,4.4,Locksmith
Ohana’s Automotive Locksmith LLC,13468901187.0,,,Houston,,,5.0,Locksmith
Quick Fix Locksmith,18322793016.0,christopher@quickfixlocksmith.com,"17307 Abby Ln, Spring, TX 77379, United States",Houston,17307.0,https://www.quickfixlocksmith.com/,5.0,Locksmith
Garage & Gate Service Pros,12812473071.0,,"814 Thornton Rd, Houston, TX 77018, United States",Houston,77018.0,https://www.garageservicepros.com/gate-repair-houston/?utm_source=organic&utm_medium=GMB&utm_campaign=Google%20My%20Business,,Locksmith
Same Day Garage Door Service & Repair,13464457253.0,,"4905 N Shepherd Dr #2, Houston, TX 77018, United States",Houston,77018.0,https://samedaygaragedoor.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=homepage,,Locksmith
