State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Alaska,"retail shop in Alaska, USA",Anchorage 5th Avenue Mall,"320 W 5th Ave, Anchorage, AK 99501, United States",+19072585535,https://www.simon.com/mall/anchorage-5th-avenue-mall,4.2,,https://www.google.com/maps/place/Anchorage+5th+Avenue+Mall/data=!4m7!3m6!1s0x56c89629bde7481f:0x7e8a9413ab25d5d!8m2!3d61.2169618!4d-149.888269!16zL20vMGdydGhf!19sChIJH0jnvSmWyFYRXV2yOkGp6Ac
Alaska,"retail shop in Alaska, USA",Alaska Shop,"210 4th Ave Box 209, Seward, AK 99664, United States",+19072245420,https://m.facebook.com/alaskashopinc/,4.6,,https://www.google.com/maps/place/Alaska+Shop/data=!4m7!3m6!1s0x56c79c63b5d05451:0x3216eff7c25de606!8m2!3d60.1016289!4d-149.4402595!16s%2Fg%2F1wz52fy6!19sChIJUVTQtWOcx1YRBuZdwvfvFjI
Alaska,"retail shop in Alaska, USA",Trapper Jack’s Trading Post,"701 W 4th Ave, Anchorage, AK 99501, United States",+19072726110,,4.5,,https://www.google.com/maps/place/Trapper+Jack%E2%80%99s+Trading+Post/data=!4m7!3m6!1s0x56c8bd8722f0dd41:0x738521ecd5df92de!8m2!3d61.2188518!4d-149.895967!16s%2Fg%2F1tp2_367!19sChIJQd3wIoe9yFYR3pLf1ewhhXM
Alaska,"retail shop in Alaska, USA",Alaska Railroad Giftshop,"411 W 1st Ave, Anchorage, AK 99501, United States",+19072652326,http://www.alaskarailroadgiftshop.com/,4.9,,https://www.google.com/maps/place/Alaska+Railroad+Giftshop/data=!4m7!3m6!1s0x56c8bd87dc48ac71:0x11a22fe2172f7fec!8m2!3d61.2216964!4d-149.8901898!16s%2Fg%2F11hbkl73kr!19sChIJcaxI3Ie9yFYR7H8vF-IvohE
Alaska,"retail shop in Alaska, USA",Grizzly's Gifts,"501 W 4th Ave, Anchorage, AK 99501, United States",+19072764933,https://www.grizzlysgifts.com/,4.5,,https://www.google.com/maps/place/Grizzly%27s+Gifts/data=!4m7!3m6!1s0x56c8bd877ca520d9:0xb3d94f404d4c90c8!8m2!3d61.2186776!4d-149.8916467!16s%2Fg%2F1td769gz!19sChIJ2SClfIe9yFYRyJBMTUBP2bM
Alaska,"retail shop in Alaska, USA",Midtown Mall,"600 E Northern Lights Blvd, Anchorage, AK 99503, United States",+19074168989,https://www.midtownmall.com/,3.9,,https://www.google.com/maps/place/Midtown+Mall/data=!4m7!3m6!1s0x56c897c82598d177:0x455b91ccc97988fb!8m2!3d61.1942662!4d-149.8717154!16s%2Fg%2F1tfr04pc!19sChIJd9GYJciXyFYR-4h5ycyRW0U
Alaska,"retail shop in Alaska, USA",Great Alaska Mall,"113 W Northern Lights Blvd, Anchorage, AK 99503, United States",,,4.2,,https://www.google.com/maps/place/Great+Alaska+Mall/data=!4m7!3m6!1s0x56c897cf5cc784e7:0x1fe87d33630e03f5!8m2!3d61.1957003!4d-149.8847806!16s%2Fg%2F11d_bjnwp7!19sChIJ54THXM-XyFYR9QMOYzN96B8
Alaska,"retail shop in Alaska, USA",Alaska Mercantile,"South Terminal, 5000 W International Airport Rd, Anchorage, AK 99502, United States",+19072432800,http://www.alaska.org/detail/sourdough-mercantile,4.0,,https://www.google.com/maps/place/Alaska+Mercantile/data=!4m7!3m6!1s0x56c8a2b1f2115437:0xbe342dd589cea71c!8m2!3d61.173313!4d-149.9819223!16s%2Fg%2F1tfbn1fx!19sChIJN1QR8rGiyFYRHKfOidUtNL4
Alaska,"retail shop in Alaska, USA",Bass Pro Shops,"3046 Mountain View Dr, Anchorage, AK 99501, United States",+19073305200,https://stores.basspro.com/us/ak/anchorage/3046-mountain-view-dr.html?y_source=1_MzAxMTU1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,,https://www.google.com/maps/place/Bass+Pro+Shops/data=!4m7!3m6!1s0x56c89669eec67073:0x701459743c3662df!8m2!3d61.2191963!4d-149.820966!16s%2Fg%2F11b5pj7h_8!19sChIJc3DG7mmWyFYR32I2PHRZFHA
Alaska,"retail shop in Alaska, USA",Alaska Zoo Gift Shop,"4731 O'Malley Rd, Anchorage, AK 99507, United States",+19073462133,https://www.alaskazoo.org/gift-shop,4.3,,https://www.google.com/maps/place/Alaska+Zoo+Gift+Shop/data=!4m7!3m6!1s0x56c89a04f7a30c3f:0x3f41cd50aa520c7f!8m2!3d61.123615!4d-149.791248!16s%2Fg%2F11r98kt0h!19sChIJPwyj9wSayFYRfwxSqlDNQT8
Alaska,"retail shop in Alaska, USA",Duluth Trading Company,"8931 Old Seward Hwy Suite A, Anchorage, AK 99515, United States",+19073138250,"https://www.duluthtrading.com/locations/?StoreID=027&street-address=8931OldSewardHwy.,SuiteA&city=Anchorage&srccode=WBGMB19",4.3,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x56c899dae2696475:0x2528663f168091fe!8m2!3d61.1399472!4d-149.8597156!16s%2Fg%2F11f3vrchh7!19sChIJdWRp4tqZyFYR_pGAFj9mKCU
Alaska,"retail shop in Alaska, USA",Dimond Center,"800 E Dimond Blvd, Anchorage, AK 99515, United States",+19073442581,http://www.dimondcenter.com/,4.2,,https://www.google.com/maps/place/Dimond+Center/data=!4m7!3m6!1s0x56c899d058920487:0x12882cc9133f2f54!8m2!3d61.1438157!4d-149.8691231!16zL20vMDhrc3Rq!19sChIJhwSSWNCZyFYRVC8_E8ksiBI
Alaska,"retail shop in Alaska, USA",Grassroots fairtrade & artisan made,"1317 W Northern Lights Blvd suite #1, Anchorage, AK 99503, United States",+19079295835,https://www.grassrootsfairtrade.com/,4.8,,https://www.google.com/maps/place/Grassroots+fairtrade+%26+artisan+made/data=!4m7!3m6!1s0x56c897dbf427af0b:0x3425fb28ff85ce30!8m2!3d61.195663!4d-149.9088179!16s%2Fg%2F1tf6003r!19sChIJC68n9NuXyFYRMM6F_yj7JTQ
Alaska,"retail shop in Alaska, USA",Meadow Lakes Market,"7575 W Parks Hwy, Wasilla, AK 99623, United States",+19073733033,https://meadowlakesmarket.com/,4.8,,https://www.google.com/maps/place/Meadow+Lakes+Market/data=!4m7!3m6!1s0x56c8dbfa43596a5f:0xc5a3a160fda8c99b!8m2!3d61.5825195!4d-149.6387481!16s%2Fg%2F11jmnm8k7c!19sChIJX2pZQ_rbyFYRm8mo_WCho8U
Alaska,"retail shop in Alaska, USA",Ulu Factory,"211 W Ship Creek Ave, Anchorage, AK 99501, United States",+19072763119,http://www.theulufactory.com/,4.5,,https://www.google.com/maps/place/Ulu+Factory/data=!4m7!3m6!1s0x56c8bd8818ae5309:0x2b9362843e6b772d!8m2!3d61.2227489!4d-149.8858147!16s%2Fg%2F1th5zjhp!19sChIJCVOuGIi9yFYRLXdrPoRikys
Alaska,"retail shop in Alaska, USA",Alaska Shoppe,"154 S Franklin St, Juneau, AK 99801, United States",,,4.1,,https://www.google.com/maps/place/Alaska+Shoppe/data=!4m7!3m6!1s0x5400dff7947c3f75:0x5501aa01e1c0d8b1!8m2!3d58.3001984!4d-134.4055896!16s%2Fg%2F11kqn0vbrs!19sChIJdT98lPffAFQRsdjA4QGqAVU
