State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Arizona,"retail shop in Arizona, USA",Retail Therapy AZ,"125 N 2nd St Suite 120, Phoenix, AZ 85004, United States",+14809559375,http://www.retailtherapyaz.com/,5.0,,https://www.google.com/maps/place/Retail+Therapy+AZ/data=!4m7!3m6!1s0x872b13004ef65eab:0x6b2260b7e23454f3!8m2!3d33.4496223!4d-112.0711207!16s%2Fg%2F11vpjs8zg5!19sChIJq172TgATK4cR81Q04rdgIms
Arizona,"retail shop in Arizona, USA",Fashion Outlet,"5840 S 16th St, Phoenix, AZ 85040, United States",+16023239600,,3.9,,https://www.google.com/maps/place/Fashion+Outlet/data=!4m7!3m6!1s0x872b0fd876e020cf:0x315a227adef1a68!8m2!3d33.3934211!4d-112.048851!16s%2Fg%2F1tflgps7!19sChIJzyDgdtgPK4cRaBrvrSeiFQM
Arizona,"retail shop in Arizona, USA",The Shops At Dove Valley,"4705 E Carefree Hwy, Cave Creek, AZ 85331, United States",,,4.5,,https://www.google.com/maps/place/The+Shops+At+Dove+Valley/data=!4m7!3m6!1s0x872b7b8b96dbc5ad:0x687b7c2fa442b139!8m2!3d33.7985562!4d-111.9761962!16s%2Fg%2F11j4k6rty3!19sChIJrcXblot7K4cRObFCpC98e2g
Arizona,"retail shop in Arizona, USA",Scottsdale Fashion Square,"7014 E Camelback Rd, Scottsdale, AZ 85251, United States",+14809412140,https://www.fashionsquare.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,4.6,,https://www.google.com/maps/place/Scottsdale+Fashion+Square/data=!4m7!3m6!1s0x14e3c30af6b50833:0xea3d7e7692af2be8!8m2!3d33.502748!4d-111.9293407!16zL20vMDN5bjgw!19sChIJMwi19grD4xQR6CuvknZ-Peo
Arizona,"retail shop in Arizona, USA",Rocket a Go~Go,"15 E Southern Ave, Tempe, AZ 85282, United States",+14804344433,http://www.rocketagogo.com/,4.8,,https://www.google.com/maps/place/Rocket+a+Go~Go/data=!4m7!3m6!1s0x872b08a55e67ed81:0x8bc962931d26fd1f!8m2!3d33.3915312!4d-111.9388583!16s%2Fg%2F1jglswv_0!19sChIJge1nXqUIK4cRH_0mHZNiyYs
Arizona,"retail shop in Arizona, USA",Local Nomad,"100 E Camelback Rd #168, Phoenix, AZ 85012, United States",+16024414378,http://www.localnomadshop.com/,4.9,,https://www.google.com/maps/place/Local+Nomad/data=!4m7!3m6!1s0x872b12c07bdb12e3:0x33f1409e72a56e35!8m2!3d33.5103659!4d-112.0720542!16s%2Fg%2F11c0qzwv_g!19sChIJ4xLbe8ASK4cRNW6lcp5A8TM
Arizona,"retail shop in Arizona, USA",Desert Ridge Marketplace,"21001 N Tatum Blvd, Phoenix, AZ 85050, United States",+14805137586,http://shopdesertridge.com/,4.6,,https://www.google.com/maps/place/Desert+Ridge+Marketplace/data=!4m7!3m6!1s0x872b70e07192ddd5:0xa1daf2417ec23f34!8m2!3d33.6762528!4d-111.9730784!16s%2Fm%2F02w4dv9!19sChIJ1d2SceBwK4cRND_CfkHy2qE
Arizona,"retail shop in Arizona, USA",Deer Valley Towne Center,"2805 Agua Fria Fwy, Phoenix, AZ 85027, United States",,,4.4,,https://www.google.com/maps/place/Deer+Valley+Towne+Center/data=!4m7!3m6!1s0x872b6f3faf081a25:0x864a8db770a53441!8m2!3d33.6675286!4d-112.1207011!16s%2Fg%2F1tgnb23_!19sChIJJRoIrz9vK4cRQTSlcLeNSoY
Arizona,"retail shop in Arizona, USA",Bunky Boutique,"1001 N Central Ave Suite 125, Phoenix, AZ 85004, United States",+16022521323,http://www.bunkyboutique.com/,4.7,,https://www.google.com/maps/place/Bunky+Boutique/data=!4m7!3m6!1s0x872b1217c6705019:0x67ffae930b7d1f16!8m2!3d33.458805!4d-112.0734588!16s%2Fg%2F1tcty03q!19sChIJGVBwxhcSK4cRFh99C5Ou_2c
Arizona,"retail shop in Arizona, USA",Kierland Commons,"15210 N Scottsdale Rd Suite 305, Scottsdale, AZ 85254, United States",+14803481577,https://www.kierlandcommons.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,4.6,,https://www.google.com/maps/place/Kierland+Commons/data=!4m7!3m6!1s0x872b7415e633fac5:0x5547007c5c1c111b!8m2!3d33.6245189!4d-111.9286565!16zL20vMGJuODNj!19sChIJxfoz5hV0K4cRGxEcXHwAR1U
Arizona,"retail shop in Arizona, USA",The Merchantile of Scottsdale,"3965 N Brown Ave, Scottsdale, AZ 85251, United States",+14805902699,https://themerchantile.co/,4.9,,https://www.google.com/maps/place/The+Merchantile+of+Scottsdale/data=!4m7!3m6!1s0x872b0b7713a21297:0x548f664da07ac870!8m2!3d33.4938753!4d-111.9243381!16s%2Fg%2F11h_wz23j2!19sChIJlxKiE3cLK4cRcMh6oE1mj1Q
Arizona,"retail shop in Arizona, USA",Chico's Off The Rack,"5000 S Arizona Mills Cir Sp 380, Tempe, AZ 85282, United States",+14807752830,https://www.chicos.com/locations/us/az/tempe/5000-arizona-mills-circle/,4.4,,https://www.google.com/maps/place/Chico%27s+Off+The+Rack/data=!4m7!3m6!1s0x8824ea43c91e62bd:0x631cba009673ff04!8m2!3d33.3811281!4d-111.9643653!16s%2Fg%2F1v_vtcdh!19sChIJvWIeyUPqJIgRBP9zlgC6HGM
Arizona,"retail shop in Arizona, USA",Brass Armadillo Antique Mall - Phoenix,"12419 N 28th Dr, Phoenix, AZ 85029, United States",+16029420030,http://www.brassarmadillo.com/phoenix/,4.6,,https://www.google.com/maps/place/Brass+Armadillo+Antique+Mall+-+Phoenix/data=!4m7!3m6!1s0x872b6c2264ad369d:0xeb83968e414c0ded!8m2!3d33.5981364!4d-112.1180941!16s%2Fg%2F1tnbllxn!19sChIJnTatZCJsK4cR7Q1MQY6Wg-s
Arizona,"retail shop in Arizona, USA",Arizona Fashion Source,"117 East 5th Street #101, Tempe, AZ 85281, United States",+16027434638,http://myadea.com/,4.6,,https://www.google.com/maps/place/Arizona+Fashion+Source/data=!4m7!3m6!1s0x872b08d8f741a5e7:0xc3ec003ed6473c67!8m2!3d33.3967365!4d-111.9754443!16s%2Fg%2F11cs60g9t0!19sChIJ56VB99gIK4cRZzxH1j4A7MM
Arizona,"retail shop in Arizona, USA",A-2-Z Thrift Store,"11649 N Cave Creek Rd, Phoenix, AZ 85020, United States",+19283016964,,4.8,,https://www.google.com/maps/place/A-2-Z+Thrift+Store/data=!4m7!3m6!1s0x872b71efba3425db:0x9ec4b9a02ee924e9!8m2!3d33.5933625!4d-112.0408485!16s%2Fg%2F11pv2nql6f!19sChIJ2yU0uu9xK4cR6STpLqC5xJ4
Arizona,"retail shop in Arizona, USA",Poor Little Rich Girl,"1582 E Bethany Home Rd #101, Phoenix, AZ 85014, United States",+16023427575,https://www.shopplrg.com/,4.1,,https://www.google.com/maps/place/Poor+Little+Rich+Girl/data=!4m7!3m6!1s0x872b12a8039937cf:0xf3958c0d94288f4e!8m2!3d33.5240279!4d-112.0481489!16s%2Fg%2F1tcw8n39!19sChIJzzeZA6gSK4cRTo8olA2MlfM
Arizona,"retail shop in Arizona, USA",Urban Collective,"702 E Coronado Rd, Phoenix, AZ 85006, United States",+16024604491,,5.0,,https://www.google.com/maps/place/Urban+Collective/data=!4m7!3m6!1s0x872b1328041dd2c9:0xb96bd60a87d6fcd2!8m2!3d33.4673865!4d-112.0648931!16s%2Fg%2F11lv72cydn!19sChIJydIdBCgTK4cR0vzWhwrWa7k
Arizona,"retail shop in Arizona, USA",AZ Fashion Tailors,"Shop 4, New Mullpur, Satellite Town, Pindora, Rawalpindi, 46000, Pakistan",,,,,https://www.google.com/maps/place/AZ+Fashion+Tailors/data=!4m7!3m6!1s0x38df9524d0c8f54d:0x8e7e4d8bc17dd1cb!8m2!3d33.6483482!4d73.0726174!16s%2Fg%2F12mkzk935!19sChIJTfXI0CSV3zgRy9F9wYtNfo4
Arizona,"retail shop in Arizona, USA",Jakes Corner General Store,"57510 AZ-188, Payson, AZ 85541, United States",+16233299923,https://www.facebook.com/Jakes-Corner-General-Store-111207957462985,4.4,,https://www.google.com/maps/place/Jakes+Corner+General+Store/data=!4m7!3m6!1s0x872c0827c1e94185:0x880b7c08336eed95!8m2!3d34.0098364!4d-111.319022!16s%2Fg%2F11c6cgqnzp!19sChIJhUHpwScILIcRle1uMwh8C4g
