State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
California,"retail shop in California, USA",Camarillo Premium Outlets,"740 Ventura Blvd, Camarillo, CA 93010, United States",+18054458520,https://www.premiumoutlets.com/outlet/camarillo,4.5,,https://www.google.com/maps/place/Camarillo+Premium+Outlets/data=!4m7!3m6!1s0x80e849efaa3f4887:0x709dad60ac132c4d!8m2!3d34.2163173!4d-119.0618583!16s%2Fm%2F03l_xpf!19sChIJh0g_qu9J6IARTSwTrGCtnXA
California,"retail shop in California, USA",Fashion Valley,"7007 Friars Rd, San Diego, CA 92108, United States",+16196889113,https://www.simon.com/mall/fashion-valley,4.5,,https://www.google.com/maps/place/Fashion+Valley/data=!4m7!3m6!1s0x80d9553162b758f9:0x246bc0db149ab1c2!8m2!3d32.7681182!4d-117.1667284!16zL20vMGc5XzBs!19sChIJ-Vi3YjFV2YARwrGaFNvAayQ
California,"retail shop in California, USA",Sierra Vista Mall,"1050 Shaw Ave, Clovis, CA 93612, United States",+15592990660,http://www.sierravistamall.com/,4.2,,https://www.google.com/maps/place/Sierra+Vista+Mall/data=!4m7!3m6!1s0x80945b89f956ef67:0x2aa15347b5e8771e!8m2!3d36.8066982!4d-119.6957744!16s%2Fg%2F1s05l568l!19sChIJZ-9W-YlblIARHnfotUdToSo
California,"retail shop in California, USA",The Forum Carlsbad,"1923 Calle Barcelona, Carlsbad, CA 92009, United States",+17604790166,http://www.theforumcarlsbad.com/,4.5,,https://www.google.com/maps/place/The+Forum+Carlsbad/data=!4m7!3m6!1s0x80dc0c68139f9a8d:0x669123dee4160035!8m2!3d33.0706843!4d-117.2664916!16s%2Fg%2F1tht1rdr!19sChIJjZqfE2gM3IARNQAW5N4jkWY
California,"retail shop in California, USA",Downtown Santa Monica,"1351 3rd Street Promenade, Santa Monica, CA 90401, United States",+13103938355,http://www.downtownsm.com/,4.6,,https://www.google.com/maps/place/Downtown+Santa+Monica/data=!4m7!3m6!1s0x80c2a4cfc4670c17:0xc552fab1a532027b!8m2!3d34.0160639!4d-118.4962272!16zL20vMDYzYmZr!19sChIJFwxnxM-kwoARewIypbH6UsU
California,"retail shop in California, USA",The Rodeo Collection,"421 N Rodeo Dr, Beverly Hills, CA 90210, United States",+13102769600,http://www.rodeocollection.com/,4.7,,https://www.google.com/maps/place/The+Rodeo+Collection/data=!4m7!3m6!1s0x80c2bc07ee68dc0d:0x4937a474da0d9d3d!8m2!3d34.0696398!4d-118.4038963!16s%2Fg%2F11b771hdz4!19sChIJDdxo7ge8woARPZ0N2nSkN0k
California,"retail shop in California, USA",Westfield Plaza Bonita,"3030 Plaza Bonita Rd #2075, National City, CA 91950, United States",+16192672850,https://www.westfield.com/en/united-states/plazabonita,4.5,,https://www.google.com/maps/place/Westfield+Plaza+Bonita/data=!4m7!3m6!1s0x80d951fb495fe7f1:0xf67bc8a99bedc791!8m2!3d32.656186!4d-117.065741!16zL20vMGc5ejI1!19sChIJ8edfSftR2YARkcftm6nIe_Y
California,"retail shop in California, USA",Discount Place,"2006 W 6th St, Los Angeles, CA 90057, United States",+12134846321,,4.4,,https://www.google.com/maps/place/Discount+Place/data=!4m7!3m6!1s0x80c2c7a069e115d3:0x930b5f00f5450ee5!8m2!3d34.0590293!4d-118.274207!16s%2Fg%2F1tdrxl3q!19sChIJ0xXhaaDHwoAR5Q5F9QBfC5M
California,"retail shop in California, USA",World Market,"7662 N Blackstone Ave Suite A, Fresno, CA 93720, United States",+15594324100,https://www.worldmarket.com/stores/store?id=CP161,4.5,,https://www.google.com/maps/place/World+Market/data=!4m7!3m6!1s0x8094681dc305a2b9:0x5dc4478245265cbb!8m2!3d36.8479795!4d-119.7896452!16s%2Fg%2F1tfsc2fh!19sChIJuaIFwx1olIARu1wmRYJHxF0
California,"retail shop in California, USA",COACH Outlet,"1469 Retherford St Space 060, Tulare, CA 93274, United States",+15596880283,https://www.coach.com/stores/ca/tulare/1469-retherford-street?utm_medium=organic&utm_source=google&utm_campaign=stores,4.5,,https://www.google.com/maps/place/COACH+Outlet/data=!4m7!3m6!1s0x80952bf2176936c5:0x85fdc9aba90ad84f!8m2!3d36.2285894!4d-119.3338897!16s%2Fg%2F1260f00yf!19sChIJxTZpF_IrlYART9gKqavJ_YU
California,"retail shop in California, USA",Retail California,"7480 N Palm Ave STE 101, Fresno, CA 93711, United States",+15592561700,http://www.retailcalifornia.com/,2.8,,https://www.google.com/maps/place/Retail+California/data=!4m7!3m6!1s0x80946815b8b8195f:0x398672f735116071!8m2!3d36.8453285!4d-119.8078416!16s%2Fg%2F1tg_xbbw!19sChIJXxm4uBVolIARcWARNfdyhjk
California,"retail shop in California, USA",Buckle,"573 E Shaw Ave, Fresno, CA 93710, United States",+15592227215,https://local.buckle.com/ca/fresno/clothing-258.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,4.6,,https://www.google.com/maps/place/Buckle/data=!4m7!3m6!1s0x80945d6553e2b9f5:0x635d22323236799d!8m2!3d36.8064449!4d-119.7772755!16s%2Fg%2F1th6f2dl!19sChIJ9bniU2VdlIARnXk2MjIiXWM
