State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Colorado,"retail shop in Colorado, USA",Colorado Mills,"14500 W Colfax Ave, Lakewood, CO 80401, United States",+13033843000,https://www.simon.com/mall/colorado-mills,4.3,,https://www.google.com/maps/place/Colorado+Mills/data=!4m7!3m6!1s0x876b8468fc5c6e2b:0x4b583ef6d4e74244!8m2!3d39.7321119!4d-105.1583783!16s%2Fm%2F025wxty!19sChIJK25c_GiEa4cRRELn1PY-WEs
Colorado,"retail shop in Colorado, USA",Outlets at Castle Rock,"5050 Factory Shops Blvd #437, Castle Rock, CO 80108, United States",+13036884495,https://www.outletsatcastlerock.com/,4.5,,https://www.google.com/maps/place/Outlets+at+Castle+Rock/data=!4m7!3m6!1s0x876c9993ebd826ab:0xe5c22e325189977a!8m2!3d39.4139383!4d-104.8727642!16s%2Fg%2F11d_7971jl!19sChIJqybY65OZbIcRepeJUTIuwuU
Colorado,"retail shop in Colorado, USA",Outlets at Silverthorne,"246 V Rainbow Dr, Silverthorne, CO 80498, United States",+19704685780,https://www.outletsatsilverthorne.com/,4.2,,https://www.google.com/maps/place/Outlets+at+Silverthorne/data=!4m7!3m6!1s0x876a5c7ed5415c57:0xa5396fa0b6c70b85!8m2!3d39.6304872!4d-106.0701331!16s%2Fg%2F1tdkh3z2!19sChIJV1xB1X5caocRhQvHtqBvOaU
Colorado,"retail shop in Colorado, USA",Denver Premium Outlets,"13801 Grant St, Thornton, CO 80023, United States",+13032003805,https://www.premiumoutlets.com/outlet/denver,4.5,,https://www.google.com/maps/place/Denver+Premium+Outlets/data=!4m7!3m6!1s0x876c75fc3194736f:0x4a1b53997ef6b169!8m2!3d39.9448195!4d-104.9846842!16s%2Fg%2F11f6y90xtx!19sChIJb3OUMfx1bIcRabH2fplTG0o
Colorado,"retail shop in Colorado, USA",Cherry Creek Shopping Center,"3000 E 1st Ave, Denver, CO 80206, United States",+13033883900,https://www.simon.com/mall/cherry-creek-shopping-center,4.2,,https://www.google.com/maps/place/Cherry+Creek+Shopping+Center/data=!4m7!3m6!1s0x876c7e908f66825f:0x1d8dbff56812c7e3!8m2!3d39.7166735!4d-104.9529928!16zL20vMGN6dHE0!19sChIJX4Jmj5B-bIcR48cSaPW_jR0
Colorado,"retail shop in Colorado, USA",Mershops Town Center at Aurora,"14200 E Alameda Ave, Aurora, CO 80012, United States",+17208187062,https://towncenterataurora.com/,4.0,,https://www.google.com/maps/place/Mershops+Town+Center+at+Aurora/data=!4m7!3m6!1s0x876c62c2bf7d1e69:0x331569f9bb120abd!8m2!3d39.7082577!4d-104.823209!16s%2Fm%2F0gg5zjp!19sChIJaR59v8JibIcRvQoSu_lpFTM
Colorado,"retail shop in Colorado, USA",FlatIron Crossing,"1 W Flatiron Crossing Dr, Broomfield, CO 80021, United States",+17208879900,https://www.flatironcrossing.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,4.4,,https://www.google.com/maps/place/FlatIron+Crossing/data=!4m7!3m6!1s0x876b8c9ad53162e9:0xd34d65f5c9c4d62b!8m2!3d39.9329826!4d-105.1331166!16s%2Fm%2F02q15xz!19sChIJ6WIx1ZqMa4cRK9bEyfVlTdM
Colorado,"retail shop in Colorado, USA",Colorado Concept,"221 S Main St, Breckenridge, CO 80424, United States",,https://www.mountainstyleshops.com/,4.9,,https://www.google.com/maps/place/Colorado+Concept/data=!4m7!3m6!1s0x876af7d6470e80df:0xf483bd9a94c94a11!8m2!3d39.4799634!4d-106.0461771!16s%2Fg%2F11h4n2p202!19sChIJ34AOR9b3aocREUrJlJq9g_Q
Colorado,"retail shop in Colorado, USA",Larkridge Shopping Center,"16542 Washington St, Thornton, CO 80023, United States",+13035959919,http://www.shoplarkridge.com/,4.2,,https://www.google.com/maps/place/Larkridge+Shopping+Center/data=!4m7!3m6!1s0x876c0b2261e80157:0x1a0642117baaacc1!8m2!3d39.995065!4d-104.9778748!16s%2Fg%2F1tdbx7cd!19sChIJVwHoYSILbIcRwayqexFCBho
Colorado,"retail shop in Colorado, USA",Colorado Limited,"8500 Peña Blvd, Denver, CO 80249, United States",+17203236125,https://www.coloradolimited.com/pages/about-us,4.2,,https://www.google.com/maps/place/Colorado+Limited/data=!4m7!3m6!1s0x876c67e463bff21f:0xfe16dd96d7d1cdab!8m2!3d39.8586652!4d-104.6712047!16s%2Fg%2F11ggbbfc42!19sChIJH_K_Y-RnbIcRq83R15bdFv4
