State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Hawaii,"retail shop in Hawaii, USA",The Shops at Mauna Lani,"68-1330 Mauna Lani Dr #100, Waimea, HI 96743, United States",+18088859501,https://theshopsatmaunalani.com/,4.3,,https://www.google.com/maps/place/The+Shops+at+Mauna+Lani/data=!4m7!3m6!1s0x79547809b9124539:0xbf9f9dfe45ad9c93!8m2!3d19.9413464!4d-155.8578675!16s%2Fg%2F1262gyqln!19sChIJOUUSuQl4VHkRk5ytRf6dn78
Hawaii,"retail shop in Hawaii, USA",The Hawaii Store,"55-370 Kamehameha Hwy Bldg 5, Laie, HI 96762, United States",+18442993024,https://thehawaiistore.com/,4.5,,https://www.google.com/maps/place/The+Hawaii+Store/data=!4m7!3m6!1s0x7c00456e56f5d5bd:0x960ed180a858f330!8m2!3d21.6383046!4d-157.9208941!16s%2Fg%2F1q62jk9kp!19sChIJvdX1Vm5FAHwRMPNYqIDRDpY
Hawaii,"retail shop in Hawaii, USA",Ala Moana Center,"1450 Ala Moana Blvd, Honolulu, HI 96814, United States",+18089559517,https://www.alamoanacenter.com/,4.5,,https://www.google.com/maps/place/Ala+Moana+Center/data=!4m7!3m6!1s0x7c006df0ab626f53:0x227f311d471df768!8m2!3d21.2911038!4d-157.8434622!16zL20vMDJ6cndj!19sChIJU29iq_BtAHwRaPcdRx0xfyI
Hawaii,"retail shop in Hawaii, USA",Patagonia,"535 Ward Ave, Honolulu, HI 96814, United States",+18085937502,https://www.patagonia.com/stores/hi/honolulu/535-ward-ave/store_honolulu.html,4.2,,https://www.google.com/maps/place/Patagonia/data=!4m7!3m6!1s0x7c006de2afc083a5:0xc3567189cd93fb79!8m2!3d21.2979696!4d-157.8531129!16s%2Fg%2F1v26m9tp!19sChIJpYPAr-JtAHwRefuTzYlxVsM
Hawaii,"retail shop in Hawaii, USA",International Market Place,"2330 Kalākaua Ave, Honolulu, HI 96815, United States",+18089316105,https://www.simon.com/mall/international-market-place,4.4,,https://www.google.com/maps/place/International+Market+Place/data=!4m7!3m6!1s0x7c00727674992159:0x40e2f485033e58ed!8m2!3d21.2782454!4d-157.8262949!16s%2Fg%2F11cr_s9z4_!19sChIJWSGZdHZyAHwR7Vg-A4X04kA
Hawaii,"retail shop in Hawaii, USA",Kings' Shops,"250 Waikōloa Beach Dr, Waikoloa Village, HI 96738, United States",+18088868811,http://www.kingsshops.com/,4.2,,https://www.google.com/maps/place/Kings%27+Shops/data=!4m7!3m6!1s0x79547792fad87489:0xb2bd16cf8e269d0b!8m2!3d19.9163493!4d-155.8827389!16s%2Fg%2F1tf7b987!19sChIJiXTY-pJ3VHkRC50mjs8WvbI
Hawaii,"retail shop in Hawaii, USA",Haleiwa Store Lots,"66-111 Kamehameha Hwy, Haleiwa, HI 96712, United States",,http://www.haleiwastorelots.com/,4.4,,https://www.google.com/maps/place/Haleiwa+Store+Lots/data=!4m7!3m6!1s0x7c0058d31004ae41:0x6c9342744e72554!8m2!3d21.5913632!4d-158.1031103!16s%2Fg%2F11bwf7qm6l!19sChIJQa4EENNYAHwRVCXnRCc0yQY
Hawaii,"retail shop in Hawaii, USA",Luxury Row,"2100 Kalākaua Ave, Honolulu, HI 96815, United States",+18089222246,http://www.shopluxuryrow.com/,4.3,,https://www.google.com/maps/place/Luxury+Row/data=!4m7!3m6!1s0x7c00727588941365:0xe4ae7d6c91d790b8!8m2!3d21.2821015!4d-157.8304484!16s%2Fg%2F1tg5zvrb!19sChIJZROUiHVyAHwRuJDXkWx9ruQ
Hawaii,"retail shop in Hawaii, USA",Avanti Hawaii,"2164 Kalākaua Ave, Honolulu, HI 96815, United States",+18089262323,https://www.avantihawaii.com/,4.9,,https://www.google.com/maps/place/Avanti+Hawaii/data=!4m7!3m6!1s0x7c006d8a70efab43:0x506d4531066188d5!8m2!3d21.280762!4d-157.829989!16s%2Fg%2F1tk67xgp!19sChIJQ6vvcIptAHwR1YhhBjFFbVA
Hawaii,"retail shop in Hawaii, USA",CocoNene - International Market Place,"2330 Kalākaua Ave #182, Honolulu, HI 96815, United States",+18087397500,http://coconene.com/,4.8,,https://www.google.com/maps/place/CocoNene+-+International+Market+Place/data=!4m7!3m6!1s0x7c00727673ec3707:0x80e1a562bc7fb016!8m2!3d21.2781731!4d-157.8266275!16s%2Fg%2F11dzdkclcb!19sChIJBzfsc3ZyAHwRFrB_vGKl4YA
Hawaii,"retail shop in Hawaii, USA",Route 99 Hawaii Container Store,"56-505 Kamehameha Hwy, Kahuku, HI 96731, United States",+18087265769,https://www.route99hawaii.com/,4.9,,https://www.google.com/maps/place/Route+99+Hawaii+Container+Store/data=!4m7!3m6!1s0x7c004fb2525c6365:0x72a859516c1103bb!8m2!3d21.6781886!4d-157.9488815!16s%2Fg%2F11p5lrnm5j!19sChIJZWNcUrJPAHwRuwMRbFFZqHI
Hawaii,"retail shop in Hawaii, USA",Poipu Shopping Village,"2360 Kiahuna Plantation Dr, Koloa, HI 96756, United States",+18087422831,http://www.poipushoppingvillage.com/,4.4,,https://www.google.com/maps/place/Poipu+Shopping+Village/data=!4m7!3m6!1s0x7c071abf59f3701f:0xcf0c0d9d6b18dece!8m2!3d21.8793263!4d-159.4592063!16s%2Fg%2F1tfg7wym!19sChIJH3DzWb8aB3wRzt4Ya50NDM8
Hawaii,"retail shop in Hawaii, USA",Parker Ranch Center,"67-1185 Hawaiʻi Belt Rd, Waimea, HI 96743, United States",+18088857178,http://parkerranchcenter.com/,4.4,,https://www.google.com/maps/place/Parker+Ranch+Center/data=!4m7!3m6!1s0x795383329b649c3b:0xa7b55188a150634c!8m2!3d20.020523!4d-155.6683348!16s%2Fg%2F11f08qtlms!19sChIJO5xkmzKDU3kRTGNQoYhRtac
Hawaii,"retail shop in Hawaii, USA",Hawaii gift shop,"159 Kaʻiulani Ave, Honolulu, HI 96815, United States",,,4.8,,https://www.google.com/maps/place/Hawaii+gift+shop/data=!4m7!3m6!1s0x7c0073031d8786b1:0xd158a03aad629f4!8m2!3d21.2772622!4d-157.8242391!16s%2Fg%2F11h3kzy_4b!19sChIJsYaHHQNzAHwR9CnWqgOKFQ0
Hawaii,"retail shop in Hawaii, USA",North Shore Marketplace,"66-250 Kamehameha Hwy, Haleiwa, HI 96712, United States",+18086374416,https://northshoremarketplacehawaii.com/,4.5,,https://www.google.com/maps/place/North+Shore+Marketplace/data=!4m7!3m6!1s0x7c0058d374949f85:0x517e4a49ed604aeb!8m2!3d21.5856087!4d-158.1032786!16s%2Fg%2F1tcz_r5_!19sChIJhZ-UdNNYAHwR60pg7UlKflE
Hawaii,"retail shop in Hawaii, USA",Queens' Marketplace,"69-201 Waikōloa Beach Dr, Waikoloa Village, HI 96738, United States",+18088868822,http://queensmarketplace.com/,4.4,,https://www.google.com/maps/place/Queens%27+Marketplace/data=!4m7!3m6!1s0x7954779353c8376f:0x6588039e8494f157!8m2!3d19.9132707!4d-155.8805031!16s%2Fg%2F1v46_kd2!19sChIJbzfIU5N3VHkRV_GUhJ4DiGU
Hawaii,"retail shop in Hawaii, USA",88 Tees Hawaii Inc.,"2168 Kalākaua Ave #2, Honolulu, HI 96815, United States",+18089228832,http://88tees.com/,4.4,,https://www.google.com/maps/place/88+Tees+Hawaii+Inc./data=!4m7!3m6!1s0x7c006d8a7dbc9599:0xedc981d4d967a7f8!8m2!3d21.2806678!4d-157.8298644!16s%2Fg%2F1tdb4hcs!19sChIJmZW8fYptAHwR-Kdn2dSBye0
Hawaii,"retail shop in Hawaii, USA",Nani Aloha Shirt Outlet,"2500 Kalākaua Ave # F, Honolulu, HI 96815, United States",+18089221800,,2.5,,https://www.google.com/maps/place/Nani+Aloha+Shirt+Outlet/data=!4m7!3m6!1s0x7c00727731f85ecd:0x71057501a214e6bd!8m2!3d21.273694!4d-157.8237007!16s%2Fg%2F1tmkl5ll!19sChIJzV74MXdyAHwRveYUogF1BXE
Hawaii,"retail shop in Hawaii, USA",Kalepa’s Store,"92 Aliinui Dr, Kapolei, HI 96707, United States",+18664434763,https://www.disneyaulani.com/activities/kalepas-store/?CMP=OKC-15557226_GM_AUL_MerchandiseFacility_kalepasstore_NA,4.6,,https://www.google.com/maps/place/Kalepa%E2%80%99s+Store/data=!4m7!3m6!1s0x7c0062bef0ef9e61:0x3bebb6cd9a3737e7!8m2!3d21.338835!4d-158.1233014!16s%2Fg%2F11f29xys6y!19sChIJYZ7v8L5iAHwR5zc3ms226zs
Hawaii,"retail shop in Hawaii, USA",Hawaii Beachwear & Fashion,"2156 Kalākaua Ave, Honolulu, HI 96815, United States",+18089265883,http://favant.com/,4.1,,https://www.google.com/maps/place/Hawaii+Beachwear+%26+Fashion/data=!4m7!3m6!1s0x7c006d8a62471805:0x77cac638e4f5e573!8m2!3d21.2809588!4d-157.8300577!16s%2Fg%2F11b5wlkt2h!19sChIJBRhHYoptAHwRc-X15DjGync
Hawaii,"retail shop in Hawaii, USA",Hawaiian South Shore,"320 Ward Ave #111, Honolulu, HI 96814, United States",+18085979055,https://www.hawaiiansouthshore.com/,4.8,,https://www.google.com/maps/place/Hawaiian+South+Shore/data=!4m7!3m6!1s0x7c006de2a2eb8ae3:0x56488313323a8b98!8m2!3d21.2963791!4d-157.8562799!16s%2Fg%2F1vfp3vp3!19sChIJ44rrouJtAHwRmIs6MhODSFY
