State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Illinois,"retail shop in Illinois, USA",Fashion Outlets of Chicago,"5220 Fashion Outlets Way, Rosemont, IL 60018, United States",+18479287500,https://www.fashionoutletsofchicago.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,4.4,,https://www.google.com/maps/place/Fashion+Outlets+of+Chicago/data=!4m7!3m6!1s0x880fb5e39fb164ad:0x49b39b2c62c11dd6!8m2!3d41.9749898!4d-87.8671181!16s%2Fm%2F0yp0zhv!19sChIJrWSxn-O1D4gR1h3BYiybs0k
Illinois,"retail shop in Illinois, USA",Block 37,"108 N State St, Chicago, IL 60602, United States",+13122614700,https://www.blockthirtyseven.com/,4.3,,https://www.google.com/maps/place/Block+37/data=!4m7!3m6!1s0x880e2ca5324c060d:0x3634e94212afd5bb!8m2!3d41.8834734!4d-87.6282109!16zL20vMGRibTB4!19sChIJDQZMMqUsDogRu9WvEkLpNDY
Illinois,"retail shop in Illinois, USA",The Shops at North Bridge,"520 N Michigan Ave, Chicago, IL 60611, United States",+13122221622,https://www.theshopsatnorthbridge.com/,4.4,,https://www.google.com/maps/place/The+Shops+at+North+Bridge/data=!4m7!3m6!1s0x880e2cac6e03efd5:0xa329b750d5b7ff36!8m2!3d41.8914765!4d-87.6249183!16zL20vMGc5dnRn!19sChIJ1e8DbqwsDogRNv-31VC3KaM
Illinois,"retail shop in Illinois, USA",Water Tower Place,"835 N Michigan Ave, Chicago, IL 60611, United States",+13124403580,https://www.shopwatertower.com/,4.5,,https://www.google.com/maps/place/Water+Tower+Place/data=!4m7!3m6!1s0x880fd35383aa0379:0xe132dc09c888b814!8m2!3d41.8979303!4d-87.6228927!16zL20vMDJtOThi!19sChIJeQOqg1PTD4gRFLiIyAncMuE
Illinois,"retail shop in Illinois, USA",Woodfield Mall,"5 Woodfield Mall, Schaumburg, IL 60173, United States",+18473301537,https://www.simon.com/mall/woodfield-mall,4.5,,https://www.google.com/maps/place/Woodfield+Mall/data=!4m7!3m6!1s0x880faf96a2bee711:0x969586b6ff3af7c7!8m2!3d42.0464163!4d-88.0371252!16zL20vMDZfeGpm!19sChIJEee-opavD4gRx_c6_7aGlZY
Illinois,"retail shop in Illinois, USA",True North,"1338 Clay St, Morris, IL 60450, United States",+18156669951,http://www.shoptruenorth.com/,4.7,,https://www.google.com/maps/place/True+North/data=!4m7!3m6!1s0x880e9917928b558f:0x980e797e8f2e38fb!8m2!3d41.3702343!4d-88.4297942!16s%2Fg%2F11b6jjqndp!19sChIJj1WLkheZDogR-zguj355Dpg
Illinois,"retail shop in Illinois, USA",White Oaks Mall,"2501 Wabash Ave, Springfield, IL 62704, United States",+12177870110,https://www.simon.com/mall/white-oaks-mall,3.9,,https://www.google.com/maps/place/White+Oaks+Mall/data=!4m7!3m6!1s0x8875477cf7022f6b:0x69cf613b5af53395!8m2!3d39.767244!4d-89.703614!16s%2Fm%2F09gcn75!19sChIJay8C93xHdYgRlTP1Wjthz2k
Illinois,"retail shop in Illinois, USA",Smitten Boutique,"1047 W Madison St Suite 2, Chicago, IL 60607, United States",+13122267777,http://www.smittenboutique.com/,4.4,,https://www.google.com/maps/place/Smitten+Boutique/data=!4m7!3m6!1s0x880e2cd950f770d1:0x8f91bb2fb58817a3!8m2!3d41.8815494!4d-87.6539926!16s%2Fg%2F1tkp0cdr!19sChIJ0XD3UNksDogRoxeItS-7kY8
Illinois,"retail shop in Illinois, USA",Neighborly,"1554 N Milwaukee Ave, Chicago, IL 60622, United States",+17738402456,http://neighborlyshop.com/,4.8,,https://www.google.com/maps/place/Neighborly/data=!4m7!3m6!1s0x880fd39e191f1f61:0x5b69885594a9a6e4!8m2!3d41.9096839!4d-87.6765874!16s%2Fg%2F11tn5f5bhk!19sChIJYR8fGZ7TD4gR5KaplFWIaVs
Illinois,"retail shop in Illinois, USA",Metro Centre,"4700 N University St, Peoria, IL 61614, United States",,http://www.shopmetrocentre.com/,4.3,,https://www.google.com/maps/place/Metro+Centre/data=!4m7!3m6!1s0x880a5b977e6015e7:0x164f82ebad05a5cc!8m2!3d40.745178!4d-89.6090196!16s%2Fg%2F1tf2yckd!19sChIJ5xVgfpdbCogRzKUFreuCTxY
