State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Indiana,"retail shop in Indiana, USA",The Shops at River Crossing,"8605 River Crossing Blvd, Indianapolis, IN 46240, United States",,,4.4,,https://www.google.com/maps/place/The+Shops+at+River+Crossing/data=!4m7!3m6!1s0x886b52b2327af7e1:0xe6e567fe411f7bbd!8m2!3d39.9130931!4d-86.1056162!16s%2Fg%2F1v4ptrhx!19sChIJ4fd6MrJSa4gRvXsfQf5n5eY
Indiana,"retail shop in Indiana, USA",Indiana Premium Outlets,"11622 NE Executive Dr, Edinburgh, IN 46124, United States",+18125269764,https://www.premiumoutlets.com/outlet/indiana,4.4,,https://www.google.com/maps/place/Indiana+Premium+Outlets/data=!4m7!3m6!1s0x886b74ed8792ae57:0x354374864520dd05!8m2!3d39.3100284!4d-85.960819!16s%2Fm%2F03l_y2d!19sChIJV66Sh-10a4gRBd0gRYZ0QzU
Indiana,"retail shop in Indiana, USA",The Shops at Perry Crossing,"2499 Perry Crossing Way, Plainfield, IN 46168, United States",+13172034555,http://www.perry-crossing.com/,4.4,,https://www.google.com/maps/place/The+Shops+at+Perry+Crossing/data=!4m7!3m6!1s0x886ca44a091ddcc5:0xc445905759c1fd0b!8m2!3d39.7110073!4d-86.3587489!16s%2Fg%2F1jlk0hkz7!19sChIJxdwdCUqkbIgRC_3BWVeQRcQ
Indiana,"retail shop in Indiana, USA",Edinburgh Premium Outlets,"Horizon Dr, Edinburgh, IN 46124, United States",,https://www.premiumoutlets.com/outlet/indiana,4.4,,https://www.google.com/maps/place/Edinburgh+Premium+Outlets/data=!4m7!3m6!1s0x886b74edbb53b1ff:0x7a38aba0373cd327!8m2!3d39.3085079!4d-85.9608279!16s%2Fg%2F11c1p7pj8g!19sChIJ_7FTu-10a4gRJ9M8N6CrOHo
Indiana,"retail shop in Indiana, USA",Indiana Discount Mall,"3585 Commercial Dr, Indianapolis, IN 46222, United States",+18332011970,https://www.indiscountmall.com/,4.2,,https://www.google.com/maps/place/Indiana+Discount+Mall/data=!4m7!3m6!1s0x886b56688aaf4247:0x6930a1a67fbed173!8m2!3d39.8180315!4d-86.2270159!16s%2Fg%2F1tdg3z9r!19sChIJR0KvimhWa4gRc9G-f6ahMGk
Indiana,"retail shop in Indiana, USA",Hamilton Town Center,"13901 Town Center Blvd, Noblesville, IN 46060, United States",+13177705996,https://www.simon.com/mall/hamilton-town-center/,4.6,,https://www.google.com/maps/place/Hamilton+Town+Center/data=!4m7!3m6!1s0x8814ca00028f51db:0xd3f01fe5636eae3a!8m2!3d39.9928925!4d-85.9317447!16s%2Fm%2F0s8z1rd!19sChIJ21GPAgDKFIgROq5uY-Uf8NM
Indiana,"retail shop in Indiana, USA",The Fashion Mall at Keystone,"8702 Keystone Crossing, Indianapolis, IN 46240, United States",+13175744000,https://www.simon.com/mall/the-fashion-mall-at-keystone,4.4,,https://www.google.com/maps/place/The+Fashion+Mall+at+Keystone/data=!4m7!3m6!1s0x886b52b4619a2e51:0xc2fb84d84b70b63c!8m2!3d39.9143974!4d-86.1094837!16s%2Fm%2F0270rdw!19sChIJUS6aYbRSa4gRPLZwS9iE-8I
Indiana,"retail shop in Indiana, USA",United State of Indiana,"1051 E 54th St Ste B, Indianapolis, IN 46220, United States",+13174262552,http://www.unitedstateofindiana.com/,5.0,,https://www.google.com/maps/place/United+State+of+Indiana/data=!4m7!3m6!1s0x886b535aa64f1be3:0xff2e0d8821ca5fe2!8m2!3d39.8508017!4d-86.1402298!16s%2Fg%2F11tsk5lp89!19sChIJ4xtPplpTa4gR4l_KIYgNLv8
Indiana,"retail shop in Indiana, USA",Lafayette Square Mall - Pop Up Market,"3919 Lafayette Rd, Indianapolis, IN 46254, United States",+13179830485,,3.4,,https://www.google.com/maps/place/Lafayette+Square+Mall+-+Pop+Up+Market/data=!4m7!3m6!1s0x886b5672ad3983cf:0x5f7e8226de504a9a!8m2!3d39.8285543!4d-86.2359694!16zL20vMGR0a2N0!19sChIJz4M5rXJWa4gRmkpQ3iaCfl8
Indiana,"retail shop in Indiana, USA",Silver In the City,"434 Massachusetts Ave, Indianapolis, IN 46204, United States",+13179559925,http://www.silverinthecity.com/,4.7,,https://www.google.com/maps/place/Silver+In+the+City/data=!4m7!3m6!1s0x886b5094cfb4ad3d:0x89447a9e7e291a07!8m2!3d39.7733855!4d-86.1517062!16s%2Fg%2F1tddsyp8!19sChIJPa20z5RQa4gRBxopfp56RIk
