State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Iowa,"retail shop in Iowa, USA",Shops At Roosevelt,"833 42nd St, Des Moines, IA 50312, United States",,http://rooseveltculturaldistrict.org/business-directory/#Shop,4.4,,https://www.google.com/maps/place/Shops+At+Roosevelt/data=!4m7!3m6!1s0x87ee9ec53959a60b:0x543519d14d5ec97e!8m2!3d41.5935563!4d-93.6741515!16s%2Fg%2F1hc1w2_0_!19sChIJC6ZZOcWe7ocRfsleTdEZNVQ
Iowa,"retail shop in Iowa, USA",Pedestrian Mall,"210 S Dubuque St, Iowa City, IA 52240, United States",+13193540863,http://downtowniowacity.com/,4.5,,https://www.google.com/maps/place/Pedestrian+Mall/data=!4m7!3m6!1s0x87e441ee5282872f:0xcafb151271465a24!8m2!3d41.6585598!4d-91.5330435!16s%2Fm%2F03c9m6l!19sChIJL4eCUu5B5IcRJFpGcRIV-8o
Iowa,"retail shop in Iowa, USA",The Shops at Williamsburg,"1991 O'Donnell Rd Ste 150, Williamsburg, IA 52361, United States",+18332600877,https://shopsatwilliamsburg.com/,4.2,,https://www.google.com/maps/place/The+Shops+at+Williamsburg/data=!4m7!3m6!1s0x87e5ba69c6212701:0x72642ca50f6660df!8m2!3d41.6905744!4d-92.0039834!16s%2Fg%2F1tjy216q!19sChIJASchxmm65YcR32BmD6UsZHI
Iowa,"retail shop in Iowa, USA",Coral Ridge Mall,"1451 Coral Ridge Ave, Coralville, IA 52241, United States",+13196255522,https://www.coralridgemall.com/en.html,4.4,,https://www.google.com/maps/place/Coral+Ridge+Mall/data=!4m7!3m6!1s0x87e4446d7f284ddb:0x20fa378ea7ee0186!8m2!3d41.6909086!4d-91.6025877!16zL20vMDU1OHFq!19sChIJ200of21E5IcRhgHup443-iA
Iowa,"retail shop in Iowa, USA",,,,,,,https://www.google.com/maps/place/Jordan+Creek+Town+Center/data=!4m7!3m6!1s0x87ec2199d9e7709d:0xbfbd375dd70501d7!8m2!3d41.5697412!4d-93.8041753!16s%2Fg%2F1hc10wrtk!19sChIJnXDn2Zkh7IcR1wEF1103vb8
Iowa,"retail shop in Iowa, USA",Iowa City Marketplace,"1660 Sycamore St, Iowa City, IA 52240, United States",+13193386111,,4.1,,https://www.google.com/maps/place/Iowa+City+Marketplace/data=!4m7!3m6!1s0x87e46a70188d4039:0x665dc4dda4f10d60!8m2!3d41.6420626!4d-91.5094671!16s%2Fg%2F1tjs5h5q!19sChIJOUCNGHBq5IcRYA3xpN3EXWY
Iowa,"retail shop in Iowa, USA",Bass Pro Shops,"1000 Bass Pro Dr NW, Altoona, IA 50009, United States",+15159575500,https://stores.basspro.com/us/ia/altoona/1000-bass-pro-dr-nw.html?y_source=1_MzAxMTU0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,,https://www.google.com/maps/place/Bass+Pro+Shops/data=!4m7!3m6!1s0x87ee9171a1f4e2bd:0x33faeeb6bb1e7c01!8m2!3d41.659455!4d-93.5146969!16s%2Fg%2F1tm1r076!19sChIJveL0oXGR7ocRAXweu7bu-jM
Iowa,"retail shop in Iowa, USA",The Shop Iowa City,"4 S Dubuque St, Iowa City, IA 52240, United States",+13195196305,http://www.theshopiowacity.com/,4.5,,https://www.google.com/maps/place/The+Shop+Iowa+City/data=!4m7!3m6!1s0x87e4410e1c321585:0x5ced97718664da33!8m2!3d41.660971!4d-91.532971!16s%2Fg%2F11gmysd3pv!19sChIJhRUyHA5B5IcRM9pkhnGX7Vw
Iowa,"retail shop in Iowa, USA",Merle Hay Mall,"3800 Merle Hay Rd, Des Moines, IA 50310, United States",+15152768551,http://www.merlehaymall.com/,4.0,,https://www.google.com/maps/place/Merle+Hay+Mall/data=!4m7!3m6!1s0x87ee9c2d620e7557:0xf5871fc5b8748162!8m2!3d41.6314264!4d-93.6998227!16zL20vMDg5OW1f!19sChIJV3UOYi2c7ocRYoF0uMUfh_U
Iowa,"retail shop in Iowa, USA",North Grand Mall,"2801 Grand Ave, Ames, IA 50010, United States",+15152323679,http://www.northgrandmall.com/,4.0,,https://www.google.com/maps/place/North+Grand+Mall/data=!4m7!3m6!1s0x87ee70f7c6d83181:0x27f752d1df82d9f2!8m2!3d42.0493583!4d-93.6224417!16s%2Fm%2F04gp0tb!19sChIJgTHYxvdw7ocR8tmC39FS9yc
