State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Maine,"retail shop in Maine, USA",The Maine Souvenir Shop - Portland,"2 Exchange St, Portland, ME 04101, United States",+12078006449,https://www.themainesouvenirshop.com/,4.9,,https://www.google.com/maps/place/The+Maine+Souvenir+Shop+-+Portland/data=!4m7!3m6!1s0x4cb29d654442141d:0x48dafbb4605c473b!8m2!3d43.6565001!4d-70.2534717!16s%2Fg%2F11n7m05b0_!19sChIJHRRCRGWdskwRO0dcYLT72kg
Maine,"retail shop in Maine, USA",Freeport Outlets,"1 Freeport Farms, Freeport, ME 04032, United States",,,4.4,,https://www.google.com/maps/place/Freeport+Outlets/data=!4m7!3m6!1s0x4cb27e38a461aed5:0xf0dd41aa91e8812a!8m2!3d43.8562275!4d-70.1026687!16s%2Fg%2F11b_3h1k22!19sChIJ1a5hpDh-skwRKoHokapB3fA
Maine,"retail shop in Maine, USA",Freeport Village Station,"1 Freeport Village Station, Freeport, ME 04032, United States",,http://www.onefreeportvillagestation.com/,4.4,,https://www.google.com/maps/place/Freeport+Village+Station/data=!4m7!3m6!1s0x4cb27e38a490ac1b:0x827542daf1178263!8m2!3d43.8561252!4d-70.1026822!16s%2Fg%2F1td7ssy8!19sChIJG6yQpDh-skwRY4IX8dpCdYI
Maine,"retail shop in Maine, USA",Maine Crossing,"200 Running Hill Rd, South Portland, ME 04106, United States",+16179658700,http://nedevelopment.com/projects/maine-crossing,4.1,,https://www.google.com/maps/place/Maine+Crossing/data=!4m7!3m6!1s0x4cb2990a48f6ce21:0x27cfa4bcb110e5cb!8m2!3d43.6340026!4d-70.3476562!16s%2Fg%2F113gb8925!19sChIJIc72SAqZskwRy-UQsbykzyc
Maine,"retail shop in Maine, USA",Wells Fashion Outlet N' More,"75 Wells Plaza, Wells, ME 04090, United States",+12076467786,http://wellsfashionoutlet.com/,4.2,,https://www.google.com/maps/place/Wells+Fashion+Outlet+N%27+More/data=!4m7!3m6!1s0x89e2a848b71080a3:0x17884f4bc0ca86ce!8m2!3d43.300603!4d-70.5831981!16s%2Fg%2F1v7pzg_v!19sChIJo4AQt0io4okRzobKwEtPiBc
Maine,"retail shop in Maine, USA",Maine Coast Mall,"225 High St, Ellsworth, ME 04605, United States",+12076679905,https://www.mainecoastmall.com/,3.9,,https://www.google.com/maps/place/Maine+Coast+Mall/data=!4m7!3m6!1s0x4caef1c2d08f507f:0x77ee6a721093ce95!8m2!3d44.5312279!4d-68.4082268!16s%2Fg%2F1ttywbgv!19sChIJf1CP0MLxrkwRlc6TEHJq7nc
Maine,"retail shop in Maine, USA",Kittery Premium Outlets,"375 US-1, Kittery, ME 03904, United States",+12074396548,https://www.premiumoutlets.com/outlet/kittery,4.3,,https://www.google.com/maps/place/Kittery+Premium+Outlets/data=!4m7!3m6!1s0x89b1a6732acee86d:0x8a6fd5e43af413d0!8m2!3d43.115225!4d-70.7308096!16s%2Fm%2F03l_zhp!19sChIJbejOKnOmsYkR0BP0OuTVb4o
Maine,"retail shop in Maine, USA",Origin Factory Store,"248 Broadway, Farmington, ME 04938, United States",+12075785027,http://originmaine.com/,4.5,,https://www.google.com/maps/place/Origin+Factory+Store/data=!4m7!3m6!1s0x4cb19b54cfec093b:0x9160d0d35429c556!8m2!3d44.6711887!4d-70.1496605!16s%2Fg%2F11hkdjjvq1!19sChIJOwnsz1SbsUwRVsUpVNPQYJE
Maine,"retail shop in Maine, USA",Duluth Trading Company,"55 Maine Mall Rd, South Portland, ME 04106, United States",+12076188166,https://www.duluthtrading.com/locations/?StoreID=045&street-address=55MaineMallRd&city=SouthPortland&srccode=WBGMB19,4.5,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x88531b88f1477905:0x52791cd8d7a41dbf!8m2!3d43.6440419!4d-70.3318308!16s%2Fg%2F11gvy14hbm!19sChIJBXlH8YgbU4gRvx2k19gceVI
Maine,"retail shop in Maine, USA",Outlets at Kittery,"283 US-1, Kittery, ME 03904, United States",+12074396822,https://www.thekitteryoutlets.com/,4.4,,https://www.google.com/maps/place/Outlets+at+Kittery/data=!4m7!3m6!1s0x89e2bf209592fdd7:0x7f1863b0c098f132!8m2!3d43.1107498!4d-70.736786!16s%2Fg%2F11gfbx2vf0!19sChIJ1_2SlSC_4okRMvGYwLBjGH8
