State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Massachusetts,"retail shop in Massachusetts, USA",Primark,"10 Summer St, Boston, MA 02110, United States",+16173505232,https://www.primark.com/en-us/stores/boston-ma/10-summer-street?y_source=1_ODU3OTM0MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,4.5,,https://www.google.com/maps/place/Primark/data=!4m7!3m6!1s0x89e370831a20027b:0x3e605f0e8ad396c4!8m2!3d42.3555378!4d-71.0600949!16s%2Fg%2F11g9q4brps!19sChIJewIgGoNw44kRxJbTig5fYD4
Massachusetts,"retail shop in Massachusetts, USA",The Longmeadow Shops,"690 Bliss Rd, Longmeadow, MA 01106, United States",,https://thelongmeadowshops.com/,4.4,,https://www.google.com/maps/place/The+Longmeadow+Shops/data=!4m7!3m6!1s0x89e6e5d0c4629d5b:0xcb048079dc801451!8m2!3d42.0569069!4d-72.5551654!16s%2Fg%2F1hc1vn1t5!19sChIJW51ixNDl5okRURSA3HmABMs
Massachusetts,"retail shop in Massachusetts, USA",Shops at Saugus,"334 Broadway #1, Saugus, MA 01906, United States",+16107471200,https://www.regencycenters.com/property/detail/60056/Shops-at-Saugus,4.3,,https://www.google.com/maps/place/Shops+at+Saugus/data=!4m7!3m6!1s0x89e372bb90f255a1:0xa8bd699e9a39b69f!8m2!3d42.4847693!4d-71.017701!16s%2Fg%2F1hc300nyv!19sChIJoVXykLty44kRn7Y5mp5pvag
Massachusetts,"retail shop in Massachusetts, USA",Natick Mall,"1245 Worcester St, Natick, MA 01760, United States",+15086554800,https://www.natickmall.com/en.html,4.5,,https://www.google.com/maps/place/Natick+Mall/data=!4m7!3m6!1s0x89e38882bff354a1:0x79faae67261fc5f!8m2!3d42.3009186!4d-71.384274!16s%2Fm%2F026z3_b!19sChIJoVTzv4KI44kRX_xhcuaqnwc
Massachusetts,"retail shop in Massachusetts, USA",Wonderland Marketplace,"151 Veterans Of Foreign Wars Pkwy, Revere, MA 02151, United States",+12015713500,https://locations.uedge.com/wonderland-marketplace?utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website,4.3,,https://www.google.com/maps/place/Wonderland+Marketplace/data=!4m7!3m6!1s0x89e36e04140f4a47:0x5ba6ef37939b2ed0!8m2!3d42.4106723!4d-70.995173!16s%2Fg%2F1v9411q9!19sChIJR0oPFARu44kR0C6bkzfvpls
Massachusetts,"retail shop in Massachusetts, USA",The Shops at Putterham,"1004 W Roxbury Pkwy, Chestnut Hill, MA 02467, United States",+16174699241,,4.3,,https://www.google.com/maps/place/The+Shops+at+Putterham/data=!4m7!3m6!1s0x89e378da386ff971:0x60a516bc463dea7d!8m2!3d42.3038296!4d-71.1521557!16s%2Fg%2F11c71c6xw8!19sChIJcflvONp444kRfeo9RrwWpWA
Massachusetts,"retail shop in Massachusetts, USA",Urban Outfitters,"361 Newbury St, Boston, MA 02115, United States",+16172360088,https://www.urbanoutfitters.com/stores/newbury?utm_medium=organic&utm_source=google&utm_campaign=local&utm_content=9,3.5,,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x89e37a052fd62a7d:0x762830c2896cf2f4!8m2!3d42.3483422!4d-71.0878748!16s%2Fg%2F1tg3c2_y!19sChIJfSrWLwV644kR9PJsicIwKHY
Massachusetts,"retail shop in Massachusetts, USA",Arlington Village Shops,"1406 Massachusetts Ave, Arlington, MA 02476, United States",+17818631800,http://bierbrierdevelopment.com/,3.8,,https://www.google.com/maps/place/Arlington+Village+Shops/data=!4m7!3m6!1s0x89e3776a718bca39:0x7adb8ddb6c84cb3a!8m2!3d42.4244591!4d-71.1856969!16s%2Fg%2F11h4tbxt5p!19sChIJOcqLcWp344kROsuEbNuN23o
Massachusetts,"retail shop in Massachusetts, USA",Duluth Trading Company,"112 Burlington Mall Road Unit 2, Burlington, MA 01803, United States",+17812620901,https://www.duluthtrading.com/locations/?StoreID=019&street-address=112BurlingtonMallRd.Unit#2&city=Burlington&srccode=WBGMB19,4.6,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x89e39e485c3953df:0xfdfba039a4600ce3!8m2!3d42.4853066!4d-71.2180928!16s%2Fg%2F11dxc7tz1n!19sChIJ31M5XEie44kR4wxgpDmg-_0
Massachusetts,"retail shop in Massachusetts, USA",Flat of the Hill,"60 Charles St, Boston, MA 02114, United States",+16176199977,http://www.flatofthehill.com/,4.7,,https://www.google.com/maps/place/Flat+of+the+Hill/data=!4m7!3m6!1s0x89e3709ee3a705d3:0xdbc3d204c9767c2f!8m2!3d42.357513!4d-71.070331!16s%2Fg%2F1thxrnbn!19sChIJ0wWn455w44kRL3x2yQTSw9s
