State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Minnesota,"retail shop in Minnesota, USA",I Love Minnesota,"372 West Market, Bloomington, MN 55425, United States",+19528549100,https://lovefromcompanies.com/pages/i-love,4.4,,https://www.google.com/maps/place/I+Love+Minnesota/data=!4m7!3m6!1s0x87f62f6cc03a4105:0xb6f1edf8033591fe!8m2!3d44.8545364!4d-93.2432822!16s%2Fg%2F1trxf7zw!19sChIJBUE6wGwv9ocR_pE1A_jt8bY
Minnesota,"retail shop in Minnesota, USA",Parc Shop,"212 N 2nd St #102, Minneapolis, MN 55401, United States",+16123534966,http://www.parcboutique.com/,4.8,,https://www.google.com/maps/place/Parc+Shop/data=!4m7!3m6!1s0x52b32d79061061ab:0xe3833b7ef48ea35f!8m2!3d44.9850336!4d-93.2706103!16s%2Fg%2F1tfzx3xv!19sChIJq2EQBnkts1IRX6OO9H47g-M
Minnesota,"retail shop in Minnesota, USA",Albertville Premium Outlets,"6415 Labeaux Ave NE, Albertville, MN 55301, United States",+17634971911,https://www.premiumoutlets.com/outlet/albertville,4.3,,https://www.google.com/maps/place/Albertville+Premium+Outlets/data=!4m7!3m6!1s0x52b3677c7fd77877:0xb854fb031ff2e955!8m2!3d45.2466426!4d-93.6692834!16s%2Fm%2F09rtrjm!19sChIJd3jXf3xns1IRVenyHwP7VLg
Minnesota,"retail shop in Minnesota, USA",14 Hill gift shop,"4737 Chicago Ave Suite 2, Minneapolis, MN 55407, United States",+16128863606,https://www.14hill.com/,4.9,,https://www.google.com/maps/place/14+Hill+gift+shop/data=!4m7!3m6!1s0x87f627d4bdab4781:0x148799f76a7b2e25!8m2!3d44.9165103!4d-93.2624379!16s%2Fg%2F11g718tr17!19sChIJgUervdQn9ocRJS57aveZhxQ
Minnesota,"retail shop in Minnesota, USA",Mall of America®,"60 E Broadway, Bloomington, MN 55425, United States",+19528838800,https://mallofamerica.com/,4.6,,https://www.google.com/maps/place/Mall+of+America%C2%AE/data=!4m7!3m6!1s0x87f62f6c393c612d:0xb3c6f1806e78286b!8m2!3d44.8548651!4d-93.2422148!16zL20vMHB2MXk!19sChIJLWE8OWwv9ocRayh4boDxxrM
Minnesota,"retail shop in Minnesota, USA",Medford Outlet Center,"6750 Frontage Rd W, Medford, MN 55049, United States",+15074554111,http://ultraoutlets.com/,3.8,,https://www.google.com/maps/place/Medford+Outlet+Center/data=!4m7!3m6!1s0x87f6e587a1447499:0x5c04ca7782444392!8m2!3d44.17019!4d-93.2618144!16s%2Fg%2F1td72kh4!19sChIJmXREoYfl9ocRkkNEgnfKBFw
Minnesota,"retail shop in Minnesota, USA",SHOP in the CITY,"3921 Market St, Edina, MN 55424, United States",+19526586551,http://www.shopinthecity.com/,4.4,,https://www.google.com/maps/place/SHOP+in+the+CITY/data=!4m7!3m6!1s0x87f626d7ba50febf:0x964e004ff1184358!8m2!3d44.9133601!4d-93.3302788!16s%2Fg%2F11g8lhcqys!19sChIJv_5Qutcm9ocRWEMY8U8ATpY
Minnesota,"retail shop in Minnesota, USA",Minnesota State of Nice,"St Paul, MN 55111, United States",+16127266294,https://www.mspairport.com/eat-shop-relax/minnesota-state-nice,2.9,,https://www.google.com/maps/place/Minnesota+State+of+Nice/data=!4m7!3m6!1s0x87f6292c45b5ed6b:0x56cea7d31b926036!8m2!3d44.8834733!4d-93.2114172!16s%2Fg%2F11gdtq9m_2!19sChIJa-21RSwp9ocRNmCSG9OnzlY
Minnesota,"retail shop in Minnesota, USA",BoxLunch,"134 N Garden, Bloomington, MN 55425, United States",+19528549953,https://www.boxlunch.com/stores-details?StoreId=4544,4.6,,https://www.google.com/maps/place/BoxLunch/data=!4m7!3m6!1s0x87f62f6c405a6cbf:0x5142f749528a7ab2!8m2!3d44.8556761!4d-93.2414697!16s%2Fg%2F11c5z_32ym!19sChIJv2xaQGwv9ocRsnqKUkn3QlE
Minnesota,"retail shop in Minnesota, USA",Shops at Gateway North,"38500 Tanger Dr, North Branch, MN 55056, United States",+16129009663,,5.0,,https://www.google.com/maps/place/Shops+at+Gateway+North/data=!4m7!3m6!1s0x52b2f9c1598b3fa7:0xe4f938e72a0f48e1!8m2!3d45.5067243!4d-92.9947547!16s%2Fg%2F11m9wvsrkr!19sChIJpz-LWcH5slIR4UgPKuc4-eQ
