State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Missouri,"retail shop in Missouri, USA",Grand Village Shops,"2800 W 76 Country Blvd, Branson, MO 65616, United States",+14173364300,http://grandvillageshops.com/,4.6,,https://www.google.com/maps/place/Grand+Village+Shops/data=!4m7!3m6!1s0x87cf03f3a9f0817b:0x95521756e41c4613!8m2!3d36.6370866!4d-93.269857!16s%2Fg%2F1td4vtc9!19sChIJe4HwqfMDz4cRE0Yc5FYXUpU
Missouri,"retail shop in Missouri, USA",Branson Landing,"100 Branson Landing Blvd, Branson, MO 65616, United States",+14172393002,https://bransonlanding.com/,4.6,,https://www.google.com/maps/place/Branson+Landing/data=!4m7!3m6!1s0x87cf039d9fd6f70f:0x8c2a9fca18e3e9b1!8m2!3d36.6440054!4d-93.2142141!16s%2Fg%2F1tz71y84!19sChIJD_fWn50Dz4cRsenjGMqfKow
Missouri,"retail shop in Missouri, USA",Osage Beach Outlet Marketplace,"4540 Osage Beach Pkwy, Osage Beach, MO 65065, United States",+15733482065,https://www.osagebeachoutletmarketplace.com/,3.9,,https://www.google.com/maps/place/Osage+Beach+Outlet+Marketplace/data=!4m7!3m6!1s0x87c4c540e524f65d:0xe8b0fa5c9027478e!8m2!3d38.1439485!4d-92.6270602!16s%2Fg%2F1hf6y84nb!19sChIJXfYk5UDFxIcRjkcnkFz6sOg
Missouri,"retail shop in Missouri, USA",Uranus Fudge Factory And General Store - Uranus Missouri,"14400 State Hwy Z, St Robert, MO 65584, United States",+18334872687,https://www.uranusgeneralstore.com/,4.7,,https://www.google.com/maps/place/Uranus+Fudge+Factory+And+General+Store+-+Uranus+Missouri/data=!4m7!3m6!1s0x87dae654c3139c31:0xb48346fe60abadc4!8m2!3d37.8287218!4d-92.1053864!16s%2Fg%2F11bw47m4r5!19sChIJMZwTw1Tm2ocRxK2rYP5Gg7Q
Missouri,"retail shop in Missouri, USA",Dick's 5 & 10,"103 W Main St, Branson, MO 65616, United States",+14177595220,https://www.dicks5and10.com/,4.6,,https://www.google.com/maps/place/Dick%27s+5+%26+10/data=!4m7!3m6!1s0x87cf038289b65cbf:0xdc4a49fcedb94abd!8m2!3d36.6444055!4d-93.2173108!16s%2Fg%2F1vh_8xns!19sChIJv1y2iYIDz4cRvUq57fxJStw
Missouri,"retail shop in Missouri, USA",Mansion Mall,"1319 N Westwood Blvd, Poplar Bluff, MO 63901, United States",+15737789000,,4.2,,https://www.google.com/maps/place/Mansion+Mall/data=!4m7!3m6!1s0x87d7b06343f77b5b:0xde766462ce3b96ca!8m2!3d36.7697896!4d-90.4179942!16s%2Fg%2F1tmxrkh2!19sChIJW3v3Q2Ow14cRypY7zmJkdt4
Missouri,"retail shop in Missouri, USA",Old Village Mercantile,"219 MO-21, Caledonia, MO 63631, United States",+15737793907,http://www.oldvillagemercantile.com/,4.8,,https://www.google.com/maps/place/Old+Village+Mercantile/data=!4m7!3m6!1s0x87d9ba5fc32c4a39:0x2441a4310ca467ec!8m2!3d37.7632139!4d-90.7726132!16s%2Fg%2F11b61qdc81!19sChIJOUosw1-62YcR7GekDDGkQSQ
Missouri,"retail shop in Missouri, USA",JCPenney,"1050 S Bishop Ave, Rolla, MO 65401, United States",+15733641611,https://www.jcpenney.com/locations/mo/rolla/clothing-stores-rolla-mo-2629.html,4.0,,https://www.google.com/maps/place/JCPenney/data=!4m7!3m6!1s0x87da54f1482d9a97:0x80dbfa9899684bf0!8m2!3d37.928586!4d-91.7809567!16s%2Fg%2F1thvytxf!19sChIJl5otSPFU2ocR8EtomZj624A
Missouri,"retail shop in Missouri, USA",Bear Ridge - vintage & antiques,"17984 MO-17, Crocker, MO 65452, United States",+15737365858,https://www.facebook.com/share/18ffzuEJ7T/?mibextid=wwXIfr,4.8,,https://www.google.com/maps/place/Bear+Ridge+-+vintage+%26+antiques/data=!4m7!3m6!1s0x87dad910ff4816f5:0x9a2ec2bfd4df75c8!8m2!3d37.901685!4d-92.250658!16s%2Fg%2F1tddbd1f!19sChIJ9RZI_xDZ2ocRyHXf1L_CLpo
Missouri,"retail shop in Missouri, USA",The Copper Coin,"106 S Commercial St, Branson, MO 65616, United States",+14175511208,http://thecoppercoin.com/,4.9,,https://www.google.com/maps/place/The+Copper+Coin/data=!4m7!3m6!1s0x87cf03828ae5ce05:0xd2c92cd62491ad43!8m2!3d36.6438801!4d-93.2168111!16s%2Fg%2F1hhvxv337!19sChIJBc7lioIDz4cRQ62RJNYsydI
Missouri,"retail shop in Missouri, USA",Sweet boutique,"8115a - 8117, Maryland Ave, Clayton, MO 63105, United States",+13149321222,http://www.sweetboutiquegifts.com/,3.9,,https://www.google.com/maps/place/Sweet+boutique/data=!4m7!3m6!1s0x87d8cb2ca97b2d7b:0x36bac902634ae595!8m2!3d38.6523631!4d-90.3420765!16s%2Fg%2F11r9sz4xs!19sChIJey17qSzL2IcRleVKYwLJujY
Missouri,"retail shop in Missouri, USA",Never Enough BOUTIQUE,"24 N Gore Ave, Webster Groves, MO 63119, United States",+13145785203,http://www.neverenoughstl.com/,5.0,,https://www.google.com/maps/place/Never+Enough+BOUTIQUE/data=!4m7!3m6!1s0x87d8cb96a8e6b331:0x73988034dd8b3a3c!8m2!3d38.5937723!4d-90.3594085!16s%2Fg%2F11bx1z84ck!19sChIJMbPmqJbL2IcRPDqL3TSAmHM
Missouri,"retail shop in Missouri, USA",Brant's Clothing,"15 E Kansas St, Liberty, MO 64068, United States",+18167816234,https://www.brantsclothing.com/,4.5,,https://www.google.com/maps/place/Brant%27s+Clothing/data=!4m7!3m6!1s0x87c05567bee76907:0x35dc52cba9a93601!8m2!3d39.2459521!4d-94.4197449!16s%2Fg%2F1tflb56w!19sChIJB2nnvmdVwIcRATapqctS3DU
Missouri,"retail shop in Missouri, USA",STYLE HOUSE Boutique,"14 W Kansas St, Liberty, MO 64068, United States",+18169723401,https://www.stylehouse.boutique/,4.8,,https://www.google.com/maps/place/STYLE+HOUSE+Boutique/data=!4m7!3m6!1s0x87c055eae04b3e21:0x938e5b1ab892f7ce!8m2!3d39.2462597!4d-94.4210323!16s%2Fg%2F11nnvydvzv!19sChIJIT5L4OpVwIcRzveSuBpbjpM
Missouri,"retail shop in Missouri, USA",Colorful Vibes,"1415 Forum Dr, Rolla, MO 65401, United States",+15734263330,http://www.mycolorfulvibes.com/,4.8,,https://www.google.com/maps/place/Colorful+Vibes/data=!4m7!3m6!1s0x87da53cd74bb65b5:0x7004708a4bbcf76f!8m2!3d37.9544179!4d-91.7528155!16s%2Fg%2F11fmb4lnz9!19sChIJtWW7dM1T2ocRb_e8S4pwBHA
Missouri,"retail shop in Missouri, USA",B. Unique,"408 S Bishop Ave, Rolla, MO 65401, United States",+15735785448,http://www.beuniqueshopunique.etsy.com/,4.1,,https://www.google.com/maps/place/B.+Unique/data=!4m7!3m6!1s0x87da54f6b5e36985:0x67185dacd0ab4cf6!8m2!3d37.9397408!4d-91.777641!16s%2Fg%2F11c468l4ml!19sChIJhWnjtfZU2ocR9kyr0KxdGGc
Missouri,"retail shop in Missouri, USA",Hillock's - A Man's Store,"2777 Tucker Rd, Poplar Bluff, MO 63901, United States",+15737128811,https://blufftowndistrict.com/,5.0,,https://www.google.com/maps/place/Hillock%27s+-+A+Man%27s+Store/data=!4m7!3m6!1s0x87d7b10848939d59:0x35cb2551edea2fb9!8m2!3d36.7685961!4d-90.4348557!16s%2Fg%2F11r3mpvl91!19sChIJWZ2TSAix14cRuS_q7VElyzU
Missouri,"retail shop in Missouri, USA",Ck Custom Creations and Craft Supply,"896 Missouri Ave ste 2, St Robert, MO 65584, United States",+13022647121,http://creationsbykeisha.com/,5.0,,https://www.google.com/maps/place/Ck+Custom+Creations+and+Craft+Supply/data=!4m7!3m6!1s0x854b3021b453145d:0x54464e2b22cf40fd!8m2!3d37.8009906!4d-92.1403545!16s%2Fg%2F11r3whb89q!19sChIJXRRTtCEwS4UR_UDPIitORlQ
Missouri,"retail shop in Missouri, USA",Walmart Supercenter,"185 St Robert Blvd, St Robert, MO 65584, United States",+15733365103,https://www.walmart.com/store/21-saint-robert-mo/?veh=seo_loc,4.0,,https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x87dadd7b0a011823:0x4138258202f87679!8m2!3d37.8250486!4d-92.1522346!16s%2Fg%2F1tgdcz65!19sChIJIxgBCnvd2ocReXb4AoIlOEE
Missouri,"retail shop in Missouri, USA",Breaking Chains Custom Creations,"105 Bosa Dr, St Robert, MO 65584, United States",+15736312660,http://breakingchains22.square.site/,5.0,,https://www.google.com/maps/place/Breaking+Chains+Custom+Creations/data=!4m7!3m6!1s0x87dac5d1f6ccdf0d:0xeb6fac75a609a2cb!8m2!3d37.8077373!4d-92.1419155!16s%2Fg%2F11vwxqp3zv!19sChIJDd_M9tHF2ocRy6IJpnWsb-s
Missouri,"retail shop in Missouri, USA",Table Rock Tee Shirt Co.,"1316 State Hwy 76, Branson, MO 65616, United States",+14173378337,https://www.facebook.com/TableRockTshirtCompany?mibextid=LQQJ4d,4.5,,https://www.google.com/maps/place/Table+Rock+Tee+Shirt+Co./data=!4m7!3m6!1s0x87cf03433bff19b3:0xd6184cd1d2872bab!8m2!3d36.6400719!4d-93.2416758!16s%2Fg%2F11f3rhy9fc!19sChIJsxn_O0MDz4cRqyuH0tFMGNY
Missouri,"retail shop in Missouri, USA",Nike Factory Store - Branson,"300 Tanger Blvd, Branson, MO 65616, United States",+14173320522,https://www.nike.com/retail/s/nike-factory-store-branson?cp=84620811901_seo_%3Fcp%3D84620811901_seo_&y_source=1_NTQzNzM1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,,https://www.google.com/maps/place/Nike+Factory+Store+-+Branson/data=!4m7!3m6!1s0x87cf1caeb34f2a11:0x592e74b820c1f3d2!8m2!3d36.6448467!4d-93.2639419!16s%2Fg%2F1tf1c8jl!19sChIJESpPs64cz4cR0vPBILh0Llk
Missouri,"retail shop in Missouri, USA",The Official Missouri State University Bookstore,"717 S Florence Ave, Springfield, MO 65807, United States",+14178365403,http://shop.missouristatebookstore.com/,4.5,,https://www.google.com/maps/place/The+Official+Missouri+State+University+Bookstore/data=!4m7!3m6!1s0x87cf63228461fe87:0xdbfb927a57a33609!8m2!3d37.20068!4d-93.278088!16s%2Fg%2F1hf1ns04g!19sChIJh_5hhCJjz4cRCTajV3qS-9s
Missouri,"retail shop in Missouri, USA",Cleveland MO Shops,"120 W Cleveland Ave, Cleveland, MO 64734, United States",+19137062448,https://www.facebook.com/profile.php?id=61565736500521&mibextid=LQQJ4d,5.0,,https://www.google.com/maps/place/Cleveland+MO+Shops/data=!4m7!3m6!1s0x87c0cf94efe412a7:0x79ade0ebfe73fa68!8m2!3d38.6805093!4d-94.5917277!16s%2Fg%2F11ln_ys__z!19sChIJpxLk75TPwIcRaPpz_uvgrXk
Missouri,"retail shop in Missouri, USA",Plato's Closet,"2609 E Broadway, Columbia, MO 65201, United States",+15738178100,https://www.platoscloset.com/locations/columbia-mo,4.0,,https://www.google.com/maps/place/Plato%27s+Closet/data=!4m7!3m6!1s0x87dcb8192e4d792f:0xca5bd8620f208be9!8m2!3d38.947604!4d-92.2979!16s%2Fg%2F1tk8p3xr!19sChIJL3lNLhm43IcR6YsgD2LYW8o
Missouri,"retail shop in Missouri, USA",Good Day Farm Dispensary Cape Girardeau,"1330 Broadway St, Cape Girardeau, MO 63701, United States",+15732006882,https://gooddayfarmdispensary.com/good-day-farm-cape-girardeau/,4.8,,https://www.google.com/maps/place/Good+Day+Farm+Dispensary+Cape+Girardeau/data=!4m7!3m6!1s0x887787acd3461f17:0x58bae08aa8418701!8m2!3d37.3103734!4d-89.5348352!16s%2Fg%2F11rjqc1wgv!19sChIJFx9G06yHd4gRAYdBqIrgulg
Missouri,"retail shop in Missouri, USA",Bass Pro Shops,"3101 Bass Pro Dr, Columbia, MO 65202, United States",+15738867100,https://stores.basspro.com/us/mo/columbia/3101-bass-pro-dr.html?y_source=1_MzAxMTQ5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,,https://www.google.com/maps/place/Bass+Pro+Shops/data=!4m7!3m6!1s0x87dcc7f0a4cc7947:0x497e587d974ce7b5!8m2!3d38.9714608!4d-92.2920227!16s%2Fg%2F11b6sw1nk0!19sChIJR3nMpPDH3IcRtedMl31Yfkk
Missouri,"retail shop in Missouri, USA","Root 66 Dispensary - St. Peters, MO","3004 S St Peters Pkwy, St Charles, MO 63303, United States",+16363738329,https://root66cannabis.com/st-peters-location/,4.6,,"https://www.google.com/maps/place/Root+66+Dispensary+-+St.+Peters,+MO/data=!4m7!3m6!1s0x87df29c23ae5c21b:0xed3c4fd5bbfe55d4!8m2!3d38.7498737!4d-90.5642704!16s%2Fg%2F11ll94lvdk!19sChIJG8LlOsIp34cR1FX-u9VPPO0"
Missouri,"retail shop in Missouri, USA",Great American Flea Market in Union MO,"1539 State Hwy AT, Union, MO 63084, United States",+16365380351,,4.0,,https://www.google.com/maps/place/Great+American+Flea+Market+in+Union+MO/data=!4m7!3m6!1s0x87d947786d708e69:0x1cbdb6c5e50d53cd!8m2!3d38.438676!4d-90.913889!16s%2Fg%2F11btxgnb26!19sChIJaY5wbXhH2YcRzVMN5cW2vRw
Missouri,"retail shop in Missouri, USA",Missouri Furniture,"8050 Interstate 70 Dr SE #7044, Columbia, MO 65202, United States",+15734749699,http://www.missourifurniture.com/,4.8,,https://www.google.com/maps/place/Missouri+Furniture/data=!4m7!3m6!1s0x87dcbf5067889c0f:0xcb22b5ce2966093!8m2!3d38.9579461!4d-92.2155147!16s%2Fg%2F1thzvbhr!19sChIJD5yIZ1C_3IcRk2CW4lwrsgw
