State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Nebraska,"retail shop in Nebraska, USA",Nebraska Crossing,"21209 Nebraska Crossing Dr, Gretna, NE 68028, United States",+14023325650,https://nexcrossing.com/,4.5,,https://www.google.com/maps/place/Nebraska+Crossing/data=!4m7!3m6!1s0x879407ef0627de7f:0x6a19072b53dc437f!8m2!3d41.0986868!4d-96.2499989!16s%2Fm%2F012r5lvj!19sChIJf94nBu8HlIcRf0PcUysHGWo
Nebraska,"retail shop in Nebraska, USA",GROW Nebraska® Buy Nebraska Store,"421 W Talmadge Rd #1, Kearney, NE 68845, United States",+13083383520,http://buynebraska.com/,4.6,,https://www.google.com/maps/place/GROW+Nebraska%C2%AE+Buy+Nebraska+Store/data=!4m7!3m6!1s0x87994e61ec76e6fb:0x31d9198db19f779e!8m2!3d40.6739139!4d-99.0889917!16s%2Fg%2F1tj2nzhm!19sChIJ--Z27GFOmYcRnnefsY0Z2TE
Nebraska,"retail shop in Nebraska, USA",L Street Marketplace,"12240 K Plaza, Omaha, NE 68137, United States",,http://google.com/url?q=https://business.google.com/website_shared/launch_bw.html?f=https://amzn.to/4cTaXMY,4.4,,https://www.google.com/maps/place/L+Street+Marketplace/data=!4m7!3m6!1s0x8793f37407b32ac7:0xb11779b830963636!8m2!3d41.2140873!4d-96.1060893!16s%2Fg%2F11h55nnvzl!19sChIJxyqzB3Tzk4cRNjaWMLh5F7E
Nebraska,"retail shop in Nebraska, USA",Hilltop Mall,"5011 2nd Ave #56, Kearney, NE 68847, United States",+13082369798,https://www.shophilltopmall.com/,4.0,,https://www.google.com/maps/place/Hilltop+Mall/data=!4m7!3m6!1s0x87994e61ec76e765:0xaae16a4e6fc1314f!8m2!3d40.7233907!4d-99.0813438!16s%2Fg%2F1tjwj7pk!19sChIJZed27GFOmYcRTzHBb05q4ao
Nebraska,"retail shop in Nebraska, USA",Village Pointe,"17305 Davenport St, Omaha, NE 68118, United States",+14025059773,https://www.reddevelopment.com/village-pointe/?utm_source=google&utm_medium=gmb,4.5,,https://www.google.com/maps/place/Village+Pointe/data=!4m7!3m6!1s0x8793f1c67d82871b:0x60834ad59180f9f3!8m2!3d41.2608538!4d-96.1822385!16s%2Fg%2F1td00_63!19sChIJG4eCfcbxk4cR8_mAkdVKg2A
Nebraska,"retail shop in Nebraska, USA",Shops of Legacy,"W Center Rd & 168th Street, S 168th St, Omaha, NE 68130, United States",+14024989660,http://bear.properties/properties/the-shops-of-legacy/,4.3,,https://www.google.com/maps/place/Shops+of+Legacy/data=!4m7!3m6!1s0x8793f10a59bbb01b:0x48f52d09fb25a166!8m2!3d41.2331861!4d-96.1786156!16s%2Fg%2F1tfbtcx3!19sChIJG7C7WQrxk4cRZqEl-wkt9Ug
Nebraska,"retail shop in Nebraska, USA",Gateway Mall,"6100 O St, Lincoln, NE 68505, United States",+14024643196,https://shoppinggatewaymall.com/,4.2,,https://www.google.com/maps/place/Gateway+Mall/data=!4m7!3m6!1s0x8796bc49ef6eb79d:0xa920b092199b5837!8m2!3d40.8153677!4d-96.6361372!16s%2Fm%2F03h5dvs!19sChIJnbdu70m8locRN1ibGZKwIKk
Nebraska,"retail shop in Nebraska, USA",Shadow Lake Towne Center,"7775 Olson Dr, Papillion, NE 68046, United States",+14025370046,http://www.shadowlaketownecenter.com/,4.4,,https://www.google.com/maps/place/Shadow+Lake+Towne+Center/data=!4m7!3m6!1s0x87938a8914561551:0x9d6cdfdeb6acaa5e!8m2!3d41.1354331!4d-96.0282584!16s%2Fg%2F1yl45jkss!19sChIJURVWFImKk4cRXqqstt7fbJ0
Nebraska,"retail shop in Nebraska, USA",Rockbrook Village,"2800 S 110th Ct, Omaha, NE 68144, United States",+14023900890,http://www.rockbrookvillage.com/,4.4,,https://www.google.com/maps/place/Rockbrook+Village/data=!4m7!3m6!1s0x8793f3237d0bb2d3:0x9de66d24178ae728!8m2!3d41.2326841!4d-96.0835682!16s%2Fg%2F1yg4fch4r!19sChIJ07ILfSPzk4cRKOeKFyRt5p0
Nebraska,"retail shop in Nebraska, USA",the Odd Lot Store,"5140 S 24th St, Omaha, NE 68107, United States",+14027346721,https://oddlot.us/,4.6,,https://www.google.com/maps/place/the+Odd+Lot+Store/data=!4m7!3m6!1s0x8793892c8dd5e865:0x7fd93143b0b05d32!8m2!3d41.205728!4d-95.947302!16s%2Fg%2F1263jtr3p!19sChIJZejVjSyJk4cRMl2wsEMx2X8
Nebraska,"retail shop in Nebraska, USA",Nebraska Cornhuskers Team Shop,"321 N 8th St, Lincoln, NE 68508, United States",+14029045700,https://shop.huskers.com/,4.1,,https://www.google.com/maps/place/Nebraska+Cornhuskers+Team+Shop/data=!4m7!3m6!1s0x8796bf07dfe65347:0xc7a56d05cb96faae!8m2!3d40.8174268!4d-96.7120336!16s%2Fg%2F11g7zf0x36!19sChIJR1Pm3we_locRrvqWywVtpcc
Nebraska,"retail shop in Nebraska, USA",North Ridge Shopping Center,"1401 Superior St, Lincoln, NE 68521, United States",,,4.3,,https://www.google.com/maps/place/North+Ridge+Shopping+Center/data=!4m7!3m6!1s0x8796b98f9bb445fb:0x2186cfd8c3cc806f!8m2!3d40.8565515!4d-96.7001843!16s%2Fg%2F11h27x6sg1!19sChIJ-0W0m4-5locRb4DMw9jPhiE
Nebraska,"retail shop in Nebraska, USA",The Local Shop LLC,"811 Central Ave, Nebraska City, NE 68410, United States",+16053511385,http://thelocalshop.shop/,4.9,,https://www.google.com/maps/place/The+Local+Shop+LLC/data=!4m7!3m6!1s0x87945b9b097771bf:0x739b03c1e20647!8m2!3d40.6763472!4d-95.8556413!16s%2Fg%2F11vbs1rp6m!19sChIJv3F3CZtblIcRRwbiwQObcwA
Nebraska,"retail shop in Nebraska, USA",Boys Town Gift Shop,"13628 Flanagan Blvd, Boys Town, NE 68010, United States",+18006251400,https://boystowngiftshop.org/,4.9,,https://www.google.com/maps/place/Boys+Town+Gift+Shop/data=!4m7!3m6!1s0x8793f26be8b2e76d:0xc11ff764305ddf38!8m2!3d41.2626586!4d-96.1268527!16s%2Fg%2F1ptw_25d6!19sChIJbeey6Gvyk4cRON9dMGT3H8E
Nebraska,"retail shop in Nebraska, USA",City Limits,"1114 Howard St, Omaha, NE 68102, United States",+14023453570,https://www.instagram.com/city.limits.omaha/,4.7,,https://www.google.com/maps/place/City+Limits/data=!4m7!3m6!1s0x87938faf6e02c4a7:0xfafd5cb4a6d85f7d!8m2!3d41.2556247!4d-95.9312419!16s%2Fg%2F1td25ysy!19sChIJp8QCbq-Pk4cRfV_YprRc_fo
Nebraska,"retail shop in Nebraska, USA",Duluth Trading Company,"151 N 78th St #151, Omaha, NE 68114, United States",+14022530887,"https://www.duluthtrading.com/locations/?StoreID=012&street-address=151N.78thSt.,Suite151&city=Omaha&srccode=WBGMB19",4.5,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x87938d0d9bd4659f:0x4b8c9bbfd695dad4!8m2!3d41.2603217!4d-96.0350203!16s%2Fg%2F11byyq611w!19sChIJn2XUmw2Nk4cR1NqV1r-bjEs
Nebraska,"retail shop in Nebraska, USA",Westroads Mall,"10000 California St Suite 1221, Omaha, NE 68114, United States",+14023933107,https://www.westroadsmall.com/en.html,4.3,,https://www.google.com/maps/place/Westroads+Mall/data=!4m7!3m6!1s0x8793f2b346633f71:0xaccaec99b53076b4!8m2!3d41.2655817!4d-96.0683096!16s%2Fm%2F03d8f1q!19sChIJcT9jRrPyk4cRtHYwtZnsyqw
Nebraska,"retail shop in Nebraska, USA",Park Drive Shopping Center,"8430 Park Dr, Omaha, NE 68127, United States",,,4.1,,https://www.google.com/maps/place/Park+Drive+Shopping+Center/data=!4m7!3m6!1s0x87938b61a583dc23:0xb7ffef04e8bde691!8m2!3d41.202105!4d-96.0440155!16s%2Fg%2F1v_nc_rg!19sChIJI9yDpWGLk4cRkea96ATv_7c
Nebraska,"retail shop in Nebraska, USA",Westwood Plaza,"12125 W Center Rd, Omaha, NE 68144, United States",+14026978899,http://www.westwoodplazaomaha.com/,4.2,,https://www.google.com/maps/place/Westwood+Plaza/data=!4m7!3m6!1s0x8793f304657d9fd5:0xf5c7f528d461216a!8m2!3d41.2324843!4d-96.1031314!16s%2Fg%2F1v8j0yl2!19sChIJ1Z99ZQTzk4cRaiFh1Cj1x_U
