State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Nevada,"retail shop in Nevada, USA",The Outlets at Legends,"1310 Scheels Drive, Sparks, NV 89434, United States",+17753583800,https://www.reddevelopment.com/outlets-at-legends/?utm_source=google&utm_medium=gmb,4.5,,https://www.google.com/maps/place/The+Outlets+at+Legends/data=!4m7!3m6!1s0x80993eeb123568c9:0x7ffb18d5d22be717!8m2!3d39.5316589!4d-119.7208903!16s%2Fm%2F080j_3_!19sChIJyWg1Eus-mYARF-cr0tUY-38
Nevada,"retail shop in Nevada, USA",Grand Bazaar Shops,"3635 S Las Vegas Blvd, Las Vegas, NV 89109, United States",+17027364988,http://grandbazaarshops.com/,4.3,,https://www.google.com/maps/place/Grand+Bazaar+Shops/data=!4m7!3m6!1s0x80c8c4309e324aab:0x71a9c48cb505eba9!8m2!3d36.1141946!4d-115.1721411!16s%2Fg%2F11btsvgs65!19sChIJq0oynjDEyIARqesFtYzEqXE
Nevada,"retail shop in Nevada, USA",Miracle Mile Shops,"3663 Las Vegas Blvd S, Las Vegas, NV 89109, United States",+17028660703,https://www.miraclemileshopslv.com/,4.5,,https://www.google.com/maps/place/Miracle+Mile+Shops/data=!4m7!3m6!1s0x80c8c430de578f0b:0xc3b3e34dd5965bce!8m2!3d36.1093404!4d-115.1725728!16zL20vMGQ5YzY3!19sChIJC49X3jDEyIARzluW1U3js8M
Nevada,"retail shop in Nevada, USA",Bonanza Gift Shop,"2400 Las Vegas Blvd S, Las Vegas, NV 89104, United States",+17023857359,https://bonanzagiftshopvegas.com/,4.1,,https://www.google.com/maps/place/Bonanza+Gift+Shop/data=!4m7!3m6!1s0x80c8c476f0d43673:0x60021d724d454aa5!8m2!3d36.1444439!4d-115.1573217!16s%2Fm%2F02q12_q!19sChIJczbU8HbEyIARpUpFTXIdAmA
Nevada,"retail shop in Nevada, USA",NEVADA MARKETPLACE,"4001 S Virginia St, Reno, NV 89502, United States",+17758701700,,4.4,,https://www.google.com/maps/place/NEVADA+MARKETPLACE/data=!4m7!3m6!1s0x8099409fa2dd4dc1:0xc9e8bdffd16ad536!8m2!3d39.4861871!4d-119.7953048!16s%2Fg%2F1tzgjwr4!19sChIJwU3dop9AmYARNtVq0f-96Mk
Nevada,"retail shop in Nevada, USA",Patagonia Outlet,"130 S Center St, Reno, NV 89501, United States",+17757466878,https://www.patagonia.com/stores/nv/reno/130-south-center-street/store_reno.html,4.3,,https://www.google.com/maps/place/Patagonia+Outlet/data=!4m7!3m6!1s0x8099440bf01d9705:0x540070c01d94f6c7!8m2!3d39.5240081!4d-119.8104639!16s%2Fg%2F1tf163hg!19sChIJBZcd8AtEmYARx_aUHcBwAFQ
Nevada,"retail shop in Nevada, USA",Sparks Galleria Shopping Center,"H7G5+6R, Sparks, NV 89436, United States",+17756266565,http://google.com/url?q=https://business.google.com/website_shared/launch_bw.html?f=https://amzn.to/3KPxlKI,4.4,,https://www.google.com/maps/place/Sparks+Galleria+Shopping+Center/data=!4m7!3m6!1s0x809939030b5d977f:0xc520eef74bc409f0!8m2!3d39.5755625!4d-119.7404375!16s%2Fg%2F1tkb5bz7!19sChIJf5ddCwM5mYAR8AnES_fuIMU
Nevada,"retail shop in Nevada, USA",Nevada Day Gift Shop,"508 N Curry St, Carson City, NV 89703, United States",+17758822600,http://www.nevadaday.com/,4.3,,https://www.google.com/maps/place/Nevada+Day+Gift+Shop/data=!4m7!3m6!1s0x80990aa2ec4e7967:0xcbe9f79b67c2858c!8m2!3d39.1668937!4d-119.768172!16s%2Fg%2F11bz_7z19r!19sChIJZ3lO7KIKmYARjIXCZ5v36cs
Nevada,"retail shop in Nevada, USA",Grand Canal Shoppes at The Venetian Resort Las Vegas,"3377 Las Vegas Blvd S Suite 2600, Las Vegas, NV 89109, United States",+17024144525,https://www.grandcanalshoppes.com/en.html,4.6,,https://www.google.com/maps/place/Grand+Canal+Shoppes+at+The+Venetian+Resort+Las+Vegas/data=!4m7!3m6!1s0x80c8c43dd68e55e5:0x4b555ef66f741be9!8m2!3d36.1223898!4d-115.1674242!16s%2Fm%2F03m6h_w!19sChIJ5VWO1j3EyIAR6Rt0b_ZeVUs
Nevada,"retail shop in Nevada, USA",TeNo Outlet Store,"4520 S Hualapai Wy #106, Las Vegas, NV 89147, United States",+17027366006,http://teno.com/,4.5,,https://www.google.com/maps/place/TeNo+Outlet+Store/data=!4m7!3m6!1s0x80c8c6807932236b:0x1f96df43e315a87!8m2!3d36.1070125!4d-115.3144014!16s%2Fg%2F1tdmvxdw!19sChIJayMyeYDGyIARh1oxPvRt-QE
