State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
New Hampshire,"retail shop in New Hampshire, USA",Settlers Green Outlet Village,"2 Common Ct, North Conway, NH 03860, United States",+18886679636,http://www.settlersgreen.com/,4.4,,https://www.google.com/maps/place/Settlers+Green+Outlet+Village/data=!4m7!3m6!1s0x4cb3a0b27a1b66f9:0x75709d7dbbb353a7!8m2!3d44.0236117!4d-71.1121912!16s%2Fm%2F0b77c7p!19sChIJ-WYberKgs0wRp1Ozu32dcHU
New Hampshire,"retail shop in New Hampshire, USA",The Mall of New Hampshire,"1500 S Willow St, Manchester, NH 03103, United States",+16036690433,https://www.simon.com/mall/the-mall-of-new-hampshire,4.2,,https://www.google.com/maps/place/The+Mall+of+New+Hampshire/data=!4m7!3m6!1s0x89e24e85e1b4ce49:0xa62ab93ad69fcebc!8m2!3d42.9556215!4d-71.4319254!16zL20vMDJtOWtk!19sChIJSc604YVO4okRvM6f1jq5KqY
New Hampshire,"retail shop in New Hampshire, USA",Merrimack Premium Outlets,"80 Premium Outlets Blvd, Merrimack, NH 03054, United States",+16034240050,https://www.premiumoutlets.com/outlet/merrimack,4.5,,https://www.google.com/maps/place/Merrimack+Premium+Outlets/data=!4m7!3m6!1s0x89e3b5be0b9ba2fb:0x6130f29c2c91693a!8m2!3d42.82641!4d-71.5005448!16s%2Fg%2F11scqth4y6!19sChIJ-6KbC76144kROmmRLJzyMGE
New Hampshire,"retail shop in New Hampshire, USA",The Country Store,"120 Laconia Rd Suite 214, Tilton, NH 03276, United States",+16037290122,http://thecountrystorenh.com/,4.7,,https://www.google.com/maps/place/The+Country+Store/data=!4m7!3m6!1s0x89e2751ca7507a73:0xc12c783f5b9e471e!8m2!3d43.4596378!4d-71.5617418!16s%2Fg%2F11qn8rs8l0!19sChIJc3pQpxx14okRHkeeWz94LME
New Hampshire,"retail shop in New Hampshire, USA",Lincoln Square Mall Shopping Center,"165 Main St, Lincoln, NH 03251, United States",,,4.7,,https://www.google.com/maps/place/Lincoln+Square+Mall+Shopping+Center/data=!4m7!3m6!1s0x4cb481908cffffff:0x4bf67d8e72844b12!8m2!3d44.0455235!4d-71.6677314!16s%2Fg%2F11txv1vtwv!19sChIJ____jJCBtEwREkuEco599ks
New Hampshire,"retail shop in New Hampshire, USA",New Hampshire Made Store-Southbound,"I-95 Southbound Between Exit 1 and 2, Hampton, NH 03843, United States",+16039267788,http://www.nhmade.com/,4.4,,https://www.google.com/maps/place/New+Hampshire+Made+Store-Southbound/data=!4m7!3m6!1s0x89e2e8897c2506d1:0x81302f2469b3561b!8m2!3d42.9372207!4d-70.8627781!16s%2Fg%2F1tdm9b7x!19sChIJ0QYlfIno4okRG1azaSQvMIE
New Hampshire,"retail shop in New Hampshire, USA",Pheasant Lane Mall,"310 Daniel Webster Hwy, Nashua, NH 03060, United States",+16038882331,https://www.simon.com/mall/pheasant-lane-mall,4.3,,https://www.google.com/maps/place/Pheasant+Lane+Mall/data=!4m7!3m6!1s0x89e3ba675a27778f:0xae3aaad0339c335!8m2!3d42.7011248!4d-71.4373646!16zL20vMDhjaHoz!19sChIJj3cnWme644kRNcM5A62q4wo
New Hampshire,"retail shop in New Hampshire, USA",Tanger Outlets Tilton,"120 Laconia Rd, Tilton, NH 03276, United States",+16032867880,https://www.tanger.com/tilton,4.4,,https://www.google.com/maps/place/Tanger+Outlets+Tilton/data=!4m7!3m6!1s0x89e2752f30000043:0xe525a6830d366fbe!8m2!3d43.4586888!4d-71.5608505!16s%2Fg%2F1hm2w33n7!19sChIJQwAAMC914okRvm82DYOmJeU
New Hampshire,"retail shop in New Hampshire, USA",The Depot,"Depot Shopping Center, NH-112, Lincoln, NH 03251, United States",,,4.5,,https://www.google.com/maps/place/The+Depot/data=!4m7!3m6!1s0x4cb48196759e6f7f:0xdff4aebd592384b7!8m2!3d44.0494501!4d-71.6598568!16s%2Fg%2F11j0jhq722!19sChIJf2-edZaBtEwRt4QjWb2u9N8
New Hampshire,"retail shop in New Hampshire, USA",Settlers Green Streetside,"1699 White Mountain Hwy, North Conway, NH 03860, United States",+16033567031,http://www.settlersgreen.com/,4.6,,https://www.google.com/maps/place/Settlers+Green+Streetside/data=!4m7!3m6!1s0x4cb3a0afe2e43e7f:0xe2689a6e11dc1db0!8m2!3d44.0260708!4d-71.1174486!16s%2Fg%2F11c75w87tq!19sChIJfz7k4q-gs0wRsB3cEW6aaOI
