State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
New Jersey,"retail shop in New Jersey, USA",The Mills at Jersey Gardens,"651 Kapkowski Rd, Elizabeth, NJ 07201, United States",+19083545900,https://www.simon.com/mall/the-mills-at-jersey-gardens,4.5,,https://www.google.com/maps/place/The+Mills+at+Jersey+Gardens/data=!4m7!3m6!1s0x89c24d80341e148b:0x342ea3cb57d4d522!8m2!3d40.6600427!4d-74.1714766!16s%2Fm%2F026g_v3!19sChIJixQeNIBNwokRItXUV8ujLjQ
New Jersey,"retail shop in New Jersey, USA",Route 22 Retail Center,"2700 US-22, Union, NJ 07083, United States",+18772255337,https://www.sitecenters.com/properties/route-22-retail-center,4.2,,https://www.google.com/maps/place/Route+22+Retail+Center/data=!4m7!3m6!1s0x89c3adfe7b7a20b5:0xe70bbe8a50276cd9!8m2!3d40.6868037!4d-74.3094309!16s%2Fg%2F1td4w69b!19sChIJtSB6e_6tw4kR2WwnUIq-C-c
New Jersey,"retail shop in New Jersey, USA",Mercer On One,"3357 Brunswick Pike, Lawrenceville, NJ 08648, United States",+18772657417,http://www.federalrealty.com/mercer/,4.3,,https://www.google.com/maps/place/Mercer+On+One/data=!4m7!3m6!1s0x89c3e180b0f216f3:0x279e4a043dd75e12!8m2!3d40.297796!4d-74.6837199!16s%2Fg%2F1tm8fy55!19sChIJ8xbysIDhw4kREl7XPQRKnic
New Jersey,"retail shop in New Jersey, USA",Just Jersey,"163 South St, Morristown, NJ 07960, United States",+19735902820,http://justjerseygoods.com/,4.7,,https://www.google.com/maps/place/Just+Jersey/data=!4m7!3m6!1s0x89c3a6a28110a04b:0x9ee124dea29038cb!8m2!3d40.7920611!4d-74.4762553!16s%2Fg%2F11bwn9s54l!19sChIJS6AQgaKmw4kRyziQot4k4Z4
New Jersey,"retail shop in New Jersey, USA",Shore Store,"1209 Boardwalk, Seaside Heights, NJ 08751, United States",+17328306122,http://www.shorestore.com/,4.4,,https://www.google.com/maps/place/Shore+Store/data=!4m7!3m6!1s0x89c19a3141055555:0x5070d4dde105a71c!8m2!3d39.9455338!4d-74.0699514!16s%2Fg%2F11dxf4cvcz!19sChIJVVUFQTGawYkRHKcF4d3UcFA
New Jersey,"retail shop in New Jersey, USA",Jackson Premium Outlets,"537 Monmouth Rd, Jackson Township, NJ 08527, United States",+17328330503,https://www.premiumoutlets.com/outlet/jackson,4.4,,https://www.google.com/maps/place/Jackson+Premium+Outlets/data=!4m7!3m6!1s0x89c16341ba13932d:0x373e7ac657176123!8m2!3d40.1616896!4d-74.4173523!16s%2Fm%2F03m00tz!19sChIJLZMTukFjwYkRI2EXV8Z6Pjc
New Jersey,"retail shop in New Jersey, USA",Freehold Raceway Mall,"3710 US-9, Freehold, NJ 07728, United States",+17325771144,https://www.freeholdracewaymall.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,4.5,,https://www.google.com/maps/place/Freehold+Raceway+Mall/data=!4m7!3m6!1s0x89c3d42ff95382e3:0x2155915aa268ac15!8m2!3d40.253299!4d-74.300234!16zL20vMGQ4cTBy!19sChIJ44JT-S_Uw4kRFaxoolqRVSE
New Jersey,"retail shop in New Jersey, USA",The Shoppes at Cross Keys,"611 Berlin - Cross Keys Rd, Sicklerville, NJ 08081, United States",+12122900378,,4.3,,https://www.google.com/maps/place/The+Shoppes+at+Cross+Keys/data=!4m7!3m6!1s0x89c6d483ae6724c9:0xfeb02150f524a681!8m2!3d39.7358084!4d-75.0061637!16s%2Fg%2F1td59kzf!19sChIJySRnroPUxokRgaYk9VAhsP4
New Jersey,"retail shop in New Jersey, USA",Washington Street Mall,"401 Washington St, Cape May, NJ 08204, United States",,http://www.heartofcapemay.com/,4.7,,https://www.google.com/maps/place/Washington+Street+Mall/data=!4m7!3m6!1s0x89bf548a56602f59:0x8d5d982a641f3b1c!8m2!3d38.932633!4d-74.9229328!16s%2Fg%2F1w15_bh6!19sChIJWS9gVopUv4kRHDsfZCqYXY0
New Jersey,"retail shop in New Jersey, USA",American Dream,"1 American Dream Wy, East Rutherford, NJ 07073, United States",+18332637326,https://www.americandream.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,4.5,,https://www.google.com/maps/place/American+Dream/data=!4m7!3m6!1s0x89c2f98d2dc94ddd:0x41e8d13cd9b43e7c!8m2!3d40.8091292!4d-74.0685673!16zL20vMGI0dHk2!19sChIJ3U3JLY35wokRfD602TzR6EE
