State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
New Mexico,"retail shop in New Mexico, USA",Old Town Emporium,"204 San Felipe St NW, Albuquerque, NM 87104, United States",+15058428102,,4.5,,https://www.google.com/maps/place/Old+Town+Emporium/data=!4m7!3m6!1s0x87220cd3723f2191:0x55e1021051737854!8m2!3d35.095707!4d-106.6693179!16s%2Fg%2F1tfl0nwm!19sChIJkSE_ctMMIocRVHhzURAC4VU
New Mexico,"retail shop in New Mexico, USA",New Mexico Look,"6611 Menaul Blvd NE, Albuquerque, NM 87110, United States",+15058808880,http://www.nmlook.com/,4.4,,https://www.google.com/maps/place/New+Mexico+Look/data=!4m7!3m6!1s0x87220acd7d979d83:0x511518a3936736d2!8m2!3d35.1094906!4d-106.5701697!16s%2Fg%2F1td_z1f_!19sChIJg52Xfc0KIocR0jZnk6MYFVE
New Mexico,"retail shop in New Mexico, USA",Cottonwood Mall,"10000 Coors Bypass NW, Albuquerque, NM 87114, United States",+15058976571,https://cottonwoodmall.com/,4.2,,https://www.google.com/maps/place/Cottonwood+Mall/data=!4m7!3m6!1s0x872271688d36229b:0x60141c87d64d41ca!8m2!3d35.1982569!4d-106.6569471!16s%2Fm%2F02q9h9s!19sChIJmyI2jWhxIocRykFN1occFGA
New Mexico,"retail shop in New Mexico, USA",Original Trading Post,"201 W San Francisco St, Santa Fe, NM 87501, United States",+15059840759,https://www.originaltradingpost.com/,4.4,,https://www.google.com/maps/place/Original+Trading+Post/data=!4m7!3m6!1s0x87185040ccd104eb:0xa3f6f1cc454dd108!8m2!3d35.6876153!4d-105.9406186!16s%2Fg%2F1vyn49r6!19sChIJ6wTRzEBQGIcRCNFNRczx9qM
New Mexico,"retail shop in New Mexico, USA",,,,,,,https://www.google.com/maps/place/New+Mexico+Look/data=!4m7!3m6!1s0x87220b67acfaf9f1:0xd1f683837a66c63a!8m2!3d35.0807854!4d-106.6198238!16s%2Fg%2F11bztb07pl!19sChIJ8fn6rGcLIocROsZmeoOD9tE
New Mexico,"retail shop in New Mexico, USA",Burro Street Exchange,"505 Burro Ave, Cloudcroft, NM 88317, United States",+12253137443,http://facebook.com/burrostreetexchange,4.7,,https://www.google.com/maps/place/Burro+Street+Exchange/data=!4m7!3m6!1s0x86e1ad7a56d7ae19:0x8137925a8afb6466!8m2!3d32.9585426!4d-105.7438099!16s%2Fg%2F11g9h2j70d!19sChIJGa7XVnqt4YYRZmT7ilqSN4E
New Mexico,"retail shop in New Mexico, USA",Santa Fe Place Mall,"4250 Cerrillos Rd, Santa Fe, NM 87507, United States",+15054734253,https://santafeplacemall.com/,4.1,,https://www.google.com/maps/place/Santa+Fe+Place+Mall/data=!4m7!3m6!1s0x87185a357c966da7:0x117776d3be790c30!8m2!3d35.6360956!4d-106.0146848!16s%2Fm%2F0413xk8!19sChIJp22WfDVaGIcRMAx5vtN2dxE
New Mexico,"retail shop in New Mexico, USA",DeVargas Center,"564 N Guadalupe St, Santa Fe, NM 87501, United States",+15059822655,https://www.frpltd.com/properties/devargas-center/directory,4.2,,https://www.google.com/maps/place/DeVargas+Center/data=!4m7!3m6!1s0x87185016864bfc67:0x25a58864adebdad3!8m2!3d35.69256!4d-105.9504965!16s%2Fg%2F11gbxbpb6n!19sChIJZ_xLhhZQGIcR09rrrWSIpSU
New Mexico,"retail shop in New Mexico, USA",New Mexico Treasures,"303 Romero St NW N-114, Albuquerque, NM 87104, United States",+15055733861,,4.2,,https://www.google.com/maps/place/New+Mexico+Treasures/data=!4m7!3m6!1s0x87220d3fd4b13f01:0xfcf3d9c330438ff6!8m2!3d35.0964596!4d-106.6706266!16s%2Fg%2F11rhp131z7!19sChIJAT-x1D8NIocR9o9DMMPZ8_w
New Mexico,"retail shop in New Mexico, USA",Retail Therapy ABQ,"107 Amherst Dr SE, Albuquerque, NM 87106, United States",+15052193761,http://retailtherapyabq.com/,4.6,,https://www.google.com/maps/place/Retail+Therapy+ABQ/data=!4m7!3m6!1s0x87220b6caec05c77:0x323f023cdf6923d!8m2!3d35.079507!4d-106.606021!16s%2Fg%2F11bx4760y_!19sChIJd1zArmwLIocRPZL2zSPwIwM
