State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
New York,"retail shop in New York, USA",ONS Clothing • Multi-brand Retail Shop,"201 Mulberry St, New York, NY 10012, United States",+16466092626,https://onsclothing.com/,4.8,,https://www.google.com/maps/place/ONS+Clothing+%E2%80%A2+Multi-brand+Retail+Shop/data=!4m7!3m6!1s0x89c259360715ec8b:0x2e13d2fbd563389c!8m2!3d40.7215521!4d-73.9967131!16s%2Fg%2F11jj344fc2!19sChIJi-wVBzZZwokRnDhj1fvSEy4
New York,"retail shop in New York, USA",Shopping Girlfriend NYC,"315 W 39th St, New York, NY 10018, United States",+19178252564,,5.0,,https://www.google.com/maps/place/Shopping+Girlfriend+NYC/data=!4m7!3m6!1s0x89c259be35d2da51:0x9058d70389d83b2!8m2!3d40.7559712!4d-73.9920452!16s%2Fg%2F1tffkptj!19sChIJUdrSNb5ZwokRsoOdOHCNBQk
New York,"retail shop in New York, USA",One Direction World,"2 Pennsylvania Plaza, New York, NY 10001, United States",,,4.4,,https://www.google.com/maps/place/One+Direction+World/data=!4m7!3m6!1s0x89c259ae6192d1f5:0xa84542ebbe4b499f!8m2!3d40.7500679!4d-73.992193!16s%2Fg%2F1hhjl1ksd!19sChIJ9dGSYa5ZwokRn0lLvutCRag
New York,"retail shop in New York, USA",Lot-Less,"206 W 40th St, New York, NY 10018, United States",+12127049856,http://www.lot-less.com/locations,4.3,,https://www.google.com/maps/place/Lot-Less/data=!4m7!3m6!1s0x89c259ab588f3829:0x5d0346d36ae67070!8m2!3d40.7548644!4d-73.9887236!16s%2Fg%2F1hhwvjlln!19sChIJKTiPWKtZwokRcHDmatNGA10
New York,"retail shop in New York, USA",CityStore,"1 Centre St, New York, NY 10007, United States",+12123860007,https://a856-citystore.nyc.gov/,4.4,,https://www.google.com/maps/place/CityStore/data=!4m7!3m6!1s0x89c25a222d8686ad:0xa1c2f0de562120f1!8m2!3d40.71341!4d-74.0035208!16s%2Fg%2F125_skv4q!19sChIJrYaGLSJawokR8SAhVt7wwqE
New York,"retail shop in New York, USA",Pilgrim New York,"70 Orchard St, New York, NY 10002, United States",+12124637720,http://www.pilgrimnyc.com/,4.4,,https://www.google.com/maps/place/Pilgrim+New+York/data=!4m7!3m6!1s0x89c2598769902a55:0x71fd52f9b1747c54!8m2!3d40.7175067!4d-73.9903041!16s%2Fg%2F1tdh9c2x!19sChIJVSqQaYdZwokRVHx0sflS_XE
New York,"retail shop in New York, USA",NC outlet,"472 Broadway, New York, NY 10013, United States",,,3.7,,https://www.google.com/maps/place/NC+outlet/data=!4m7!3m6!1s0x89c2592640f04f59:0x46aed9b2ce281c80!8m2!3d40.7211167!4d-74.0001023!16s%2Fg%2F11q2r9rr92!19sChIJWU_wQCZZwokRgBwozrLZrkY
New York,"retail shop in New York, USA",Lot-Less,"97 Chambers St #1805, New York, NY 10007, United States",+12122330607,https://lot-less.com/locations,4.4,,https://www.google.com/maps/place/Lot-Less/data=!4m7!3m6!1s0x89c25a1f4686c461:0x363919968af78cea!8m2!3d40.7148895!4d-74.0076218!16s%2Fg%2F1tjdxtsk!19sChIJYcSGRh9awokR6oz3ipYZOTY
New York,"retail shop in New York, USA",Lot-Less,"299 Broadway #4, New York, NY 10007, United States",+12122332146,http://www.lot-less.com/,4.3,,https://www.google.com/maps/place/Lot-Less/data=!4m7!3m6!1s0x89c25a21dd71e303:0x9a67ef1b2a6d8241!8m2!3d40.7152166!4d-74.0055893!16s%2Fg%2F1tr9pb8z!19sChIJA-Nx3SFawokRQYJtKhvvZ5o
New York,"retail shop in New York, USA",November 19 Shop,"37 Orchard St, New York, NY 10002, United States",+16468388386,http://www.november19market.com/,4.8,,https://www.google.com/maps/place/November+19+Shop/data=!4m7!3m6!1s0x89c259894ea3b6a7:0xb781136400f2d0fa!8m2!3d40.7158248!4d-73.9915253!16s%2Fg%2F11g232rcjz!19sChIJp7ajTolZwokR-tDyAGQTgbc
