State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
North Carolina,"retail shop in North Carolina, USA",Specialty Shops SouthPark,"6401 Carnegie Blvd, Charlotte, NC 28211, United States",,http://www.specialtyshopssouthpark.com/,4.6,,https://www.google.com/maps/place/Specialty+Shops+SouthPark/data=!4m7!3m6!1s0x88569e3f66abf005:0x642977fb731adb8f!8m2!3d35.155974!4d-80.8308802!16s%2Fg%2F11b73nqtrr!19sChIJBfCrZj-eVogRj9sac_t3KWQ
North Carolina,"retail shop in North Carolina, USA",Tanger Outlets Mebane,"4000 Arrowhead Blvd, Mebane, NC 27302, United States",+19193041520,https://www.tangeroutlet.com/mebane,4.4,,https://www.google.com/maps/place/Tanger+Outlets+Mebane/data=!4m7!3m6!1s0x89acd68d5b028d75:0x4c0e856586f5126d!8m2!3d36.0747704!4d-79.2663547!16s%2Fg%2F1w6668p4!19sChIJdY0CW43WrIkRbRL1hmWFDkw
North Carolina,"retail shop in North Carolina, USA",Concord Mills,"8111 Concord Mills Boulevard, Concord, NC 28027, United States",+17048865000,https://www.simon.com/mall/concord-mills,4.4,,https://www.google.com/maps/place/Concord+Mills/data=!4m7!3m6!1s0x88541ca764634ea5:0xd409693265fc8190!8m2!3d35.3690086!4d-80.7219706!16zL20vMDY2ZGhj!19sChIJpU5jZKccVIgRkIH8ZTJpCdQ
North Carolina,"retail shop in North Carolina, USA",Lafayette Village,"8450 Honeycutt Rd, Raleigh, NC 27615, United States",+19197147447,http://lafayettevillageraleigh.com/,4.6,,https://www.google.com/maps/place/Lafayette+Village/data=!4m7!3m6!1s0x89ac5787def03e6f:0x44825b909f88d1f0!8m2!3d35.8950953!4d-78.6216362!16s%2Fg%2F1t_wq6nv!19sChIJbz7w3odXrIkR8NGIn5BbgkQ
North Carolina,"retail shop in North Carolina, USA",Carr Mill Mall,"200 N Greensboro St, Carrboro, NC 27510, United States",,http://www.carrmillmall.com/,4.0,,https://www.google.com/maps/place/Carr+Mill+Mall/data=!4m7!3m6!1s0x89acc31924e86f9d:0xa9fbf79afacaca6c!8m2!3d35.9115361!4d-79.0711972!16zL20vMGgycXJs!19sChIJnW_oJBnDrIkRbMrK-pr3-6k
North Carolina,"retail shop in North Carolina, USA",Outlets Nags Head,"7100 S Croatan Hwy, Nags Head, NC 27959, United States",+12524415634,https://www.outletsnagshead.com/,4.3,,https://www.google.com/maps/place/Outlets+Nags+Head/data=!4m7!3m6!1s0x89a4e4b48fffffe3:0x36935d841158f5b3!8m2!3d35.9119444!4d-75.6019444!16s%2Fg%2F1hm44y9tr!19sChIJ4___j7TkpIkRs_VYEYRdkzY
North Carolina,"retail shop in North Carolina, USA",Shops at Erwin Mill,"737 9th St, Durham, NC 27705, United States",+19198314900,http://www.theshopsaterwinmill.com/,4.4,,https://www.google.com/maps/place/Shops+at+Erwin+Mill/data=!4m7!3m6!1s0x89ace407461a2083:0xd9fe0060f9ca90ab!8m2!3d36.0097191!4d-78.9233675!16s%2Fg%2F11b76tvkwn!19sChIJgyAaRgfkrIkRq5DK-WAA_tk
North Carolina,"retail shop in North Carolina, USA",SouthPark,"4400 Sharon Rd, Charlotte, NC 28211, United States",+17043644411,https://www.simon.com/mall/southpark,4.5,,https://www.google.com/maps/place/SouthPark/data=!4m7!3m6!1s0x88569e155165deab:0x5b16e18d81884f66!8m2!3d35.150945!4d-80.831569!16zL20vMDUzMnZr!19sChIJq95lURWeVogRZk-IgY3hFls
North Carolina,"retail shop in North Carolina, USA",Mayfaire Town Center,"6835 Conservation Way, Wilmington, NC 28405, United States",+19102565131,https://www.mayfaire.com/,4.5,,https://www.google.com/maps/place/Mayfaire+Town+Center/data=!4m7!3m6!1s0x89a9f35a03f7c359:0x179c4047cbc6f2be!8m2!3d34.2436717!4d-77.8305121!16s%2Fg%2F1vb9dy2p!19sChIJWcP3A1rzqYkRvvLGy0dAnBc
North Carolina,"retail shop in North Carolina, USA",Shoppes of Hope Valley,"3825 S Roxboro St, Durham, NC 27713, United States",,,4.2,,https://www.google.com/maps/place/Shoppes+of+Hope+Valley/data=!4m7!3m6!1s0x89ace5dc73259a2d:0x64c5c60ce612c0c0!8m2!3d35.9489037!4d-78.9218195!16s%2Fg%2F12q4wt5xs!19sChIJLZolc9zlrIkRwMAS5gzGxWQ
