State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
North Dakota,"retail shop in North Dakota, USA",Dakota Square Mall,"2400 10th St SW, Minot, ND 58701, United States",+17018397500,https://www.shopdakotasquare.com/,4.0,,https://www.google.com/maps/place/Dakota+Square+Mall/data=!4m7!3m6!1s0x52df2a5151d1cd6d:0xd0820db5a7f66c0a!8m2!3d48.2075797!4d-101.3121897!16zL20vMDlrczVm!19sChIJbc3RUVEq31IRCmz2p7UNgtA
North Dakota,"retail shop in North Dakota, USA",West Acres Mall,"3902 13th Ave S, Fargo, ND 58103, United States",+17012822222,http://www.westacres.com/,4.3,,https://www.google.com/maps/place/West+Acres+Mall/data=!4m7!3m6!1s0x52c8cb7bec61c587:0xe3e99eac67823267!8m2!3d46.859307!4d-96.8466936!16zL20vMDlrczg2!19sChIJh8Vh7HvLyFIRZzKCZ6ye6eM
North Dakota,"retail shop in North Dakota, USA",Kirkwood Mall,"706 Kirkwood Mall, Bismarck, ND 58504, United States",+17012233500,https://www.shopkirkwoodmall.com/,4.2,,https://www.google.com/maps/place/Kirkwood+Mall/data=!4m7!3m6!1s0x52d7833c03e46d69:0xc61eb66507a89fba!8m2!3d46.7988141!4d-100.7848258!16zL20vMDlrczlu!19sChIJaW3kAzyD11IRup-oB2W2HsY
North Dakota,"retail shop in North Dakota, USA",Columbia Mall,"2800 S Columbia Rd, Grand Forks, ND 58201, United States",+17017467383,http://www.shopcolumbiamall.com/,3.7,,https://www.google.com/maps/place/Columbia+Mall/data=!4m7!3m6!1s0x52c680de32dd3a4f:0xd08b368acb7996bd!8m2!3d47.8931466!4d-97.0714754!16zL20vMDlkMDBm!19sChIJTzrdMt6AxlIRvZZ5y4o2i9A
North Dakota,"retail shop in North Dakota, USA",Gateway Mall,"2700 State St, Bismarck, ND 58501, United States",+17012228350,http://www.gatewaymallbismarck.com/,3.4,,https://www.google.com/maps/place/Gateway+Mall/data=!4m7!3m6!1s0x52d783b33118e93d:0xd72163c773a711a6!8m2!3d46.836414!4d-100.775558!16zL20vMGd2c3ho!19sChIJPekYMbOD11IRphGnc8djIdc
North Dakota,"retail shop in North Dakota, USA",Duluth Trading Company,"2261 Rustad Ln E, West Fargo, ND 58078, United States",+17015405040,https://www.duluthtrading.com/locations/?StoreID=035&street-address=2261RustadLaneEast&city=WestFargo&srccode=WBGMB19,4.5,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x52cf3350bf6d8c39:0x8e0204c8b936106f!8m2!3d46.8460696!4d-96.8889357!16s%2Fg%2F11f4lmyt8b!19sChIJOYxtv1Azz1IRbxA2ucgEAo4
North Dakota,"retail shop in North Dakota, USA",Prairie Creek Pride of Dakota Store,"2700 State St, Bismarck, ND 58503, United States",+17017511710,http://prairiecreekprideofdakota.com/,4.4,,https://www.google.com/maps/place/Prairie+Creek+Pride+of+Dakota+Store/data=!4m7!3m6!1s0x52d783b2d80c4669:0x2ee66ade51fd3c51!8m2!3d46.8361!4d-100.7769033!16s%2Fg%2F1tp26ydg!19sChIJaUYM2LKD11IRUTz9Ud5q5i4
North Dakota,"retail shop in North Dakota, USA",Town & Country Shopping Center,"831 S Broadway, Minot, ND 58701, United States",+17018525188,,4.1,,https://www.google.com/maps/place/Town+%26+Country+Shopping+Center/data=!4m7!3m6!1s0x52df2a15bfe7e303:0x19895f92efdf44cb!8m2!3d48.2268595!4d-101.2941183!16s%2Fg%2F1tftwm7f!19sChIJA-PnvxUq31IRy0Tf75JfiRk
North Dakota,"retail shop in North Dakota, USA",Maple Mall,"1st Ave S, Jamestown, ND 58401, United States",,,5.0,,https://www.google.com/maps/place/Maple+Mall/data=!4m7!3m6!1s0x52d013c3f1958d11:0x44ee147966e66394!8m2!3d46.9067517!4d-98.7082668!16s%2Fg%2F11g9g3zw2h!19sChIJEY2V8cMT0FIRlGPmZnkU7kQ
North Dakota,"retail shop in North Dakota, USA",Buffalo Mall,"2400 8th Ave SW, Jamestown, ND 58401, United States",+17012512237,http://www.shopbuffalomall.com/,3.6,,https://www.google.com/maps/place/Buffalo+Mall/data=!4m7!3m6!1s0x52d01477e5dada51:0xbbe8b2bc13115754!8m2!3d46.8835972!4d-98.7199698!16s%2Fg%2F1tg78pzx!19sChIJUdra5XcU0FIRVFcRE7yy6Ls
North Dakota,"retail shop in North Dakota, USA",Pinehurst Square,"1207 W Interstate Ave, Bismarck, ND 58503, United States",+17012583936,,4.3,,https://www.google.com/maps/place/Pinehurst+Square/data=!4m7!3m6!1s0x52d7839115a537b1:0x15e8d376140774a2!8m2!3d46.8314854!4d-100.8114232!16s%2Fg%2F1vr3ctx_!19sChIJsTelFZGD11IRonQHFHbT6BU
North Dakota,"retail shop in North Dakota, USA",Scheels,"800 Kirkwood Mall STE 72, Bismarck, ND 58504, United States",+17012557255,https://www.scheels.com/store/bismarck/072?utm_source=google&utm_medium=yext,4.5,,https://www.google.com/maps/place/Scheels/data=!4m7!3m6!1s0x52d78338cce14e1d:0x6500cc08bcd85963!8m2!3d46.7967536!4d-100.786437!16s%2Fg%2F1wb8tbpb!19sChIJHU7hzDiD11IRY1nYvAjMAGU
North Dakota,"retail shop in North Dakota, USA",Scheels,"2400 10th St SW, Minot, ND 58701, United States",+17018521010,https://www.scheels.com/store/minot/006?utm_source=google&utm_medium=yext,4.4,,https://www.google.com/maps/place/Scheels/data=!4m7!3m6!1s0x52df2a5151d1cd6d:0x6f43ca2ce81a8c4c!8m2!3d48.2057592!4d-101.3132073!16s%2Fg%2F1tmqfwfz!19sChIJbc3RUVEq31IRTIwa6CzKQ28
North Dakota,"retail shop in North Dakota, USA",Park Plaza Shopping Center,"410 10th St SE, Jamestown, ND 58401, United States",,,3.9,,https://www.google.com/maps/place/Park+Plaza+Shopping+Center/data=!4m7!3m6!1s0x52d013e8de8a25bd:0xdb02e1b83ba06a7b!8m2!3d46.8979815!4d-98.7031894!16s%2Fg%2F1tdfbs1r!19sChIJvSWK3ugT0FIRe2qgO7jhAts
North Dakota,"retail shop in North Dakota, USA",Boutique 23,"201 W Main Ave, Bismarck, ND 58501, United States",+17012389192,https://www.shopboutique23.com/,5.0,,https://www.google.com/maps/place/Boutique+23/data=!4m7!3m6!1s0x52d7830d815c010b:0xbe1f3232a3447b5c!8m2!3d46.8053936!4d-100.7925511!16s%2Fg%2F11h207f573!19sChIJCwFcgQ2D11IRXHtEozIyH74
North Dakota,"retail shop in North Dakota, USA",Kohl's,"1129 W Century Ave, Bismarck, ND 58503, United States",+17012246745,https://www.kohls.com/stores/nd/bismarck-184.shtml?utm_source=google&utm_medium=organic&utm_campaign=local,4.2,,https://www.google.com/maps/place/Kohl%27s/data=!4m7!3m6!1s0x52d78391cf9d3701:0x4cb21765ae6533d6!8m2!3d46.8313956!4d-100.8092261!16s%2Fg%2F1tvq3sdt!19sChIJATedz5GD11IR1jNlrmUXskw
North Dakota,"retail shop in North Dakota, USA",701 Print & Design Co.,"1214 10th St SE, Jamestown, ND 58401, United States",+17012511266,http://701print.com/,5.0,,https://www.google.com/maps/place/701+Print+%26+Design+Co./data=!4m7!3m6!1s0x52d0132fd36fe56b:0x53d9b4f5693aaeb8!8m2!3d46.8987294!4d-98.6905609!16s%2Fg%2F11hzp0lwn8!19sChIJa-Vv0y8T0FIRuK46afW02VM
North Dakota,"retail shop in North Dakota, USA",Kohl's,"1905 22nd Ave SW, Minot, ND 58701, United States",+17018371905,https://www.kohls.com/stores/nd/minot-1497.shtml?utm_source=google&utm_medium=organic&utm_campaign=local,4.3,,https://www.google.com/maps/place/Kohl%27s/data=!4m7!3m6!1s0x52df2bb1fd5e2207:0x10ae43e1d2da962!8m2!3d48.209701!4d-101.322512!16s%2Fg%2F1260hry2w!19sChIJByJe_bEr31IRYqktHT7kCgE
