State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Ohio,"retail shop in Ohio, USA",The Shops at Worthington,"7227 N High St, Worthington, OH 43085, United States",,http://www.experienceworthington.com/shopping,4.2,,https://www.google.com/maps/place/The+Shops+at+Worthington/data=!4m7!3m6!1s0x8838f33715e20af3:0x50048192285f64ed!8m2!3d40.1078198!4d-83.0193311!16s%2Fg%2F1tz76n5q!19sChIJ8wriFTfzOIgR7WRfKJKBBFA
Ohio,"retail shop in Ohio, USA",The Red Stable German Village Souvenirs & Gifts,"223 E Kossuth St, Columbus, OH 43206, United States",+16148675300,http://www.theredstable.com/,4.7,,https://www.google.com/maps/place/The+Red+Stable+German+Village+Souvenirs+%26+Gifts/data=!4m7!3m6!1s0x883888b2e367ea2d:0xfb414c2ae6576aa4!8m2!3d39.9460599!4d-82.9912459!16s%2Fg%2F11bbx0smkn!19sChIJLepn47KIOIgRpGpX5ipMQfs
Ohio,"retail shop in Ohio, USA",Shops On Lane Avenue,"1675 W Lane Ave, Upper Arlington, OH 43221, United States",+18338004343,https://theshopsonlaneavenue.shopkimco.com/,4.4,,https://www.google.com/maps/place/Shops+On+Lane+Avenue/data=!4m7!3m6!1s0x88388e6db2b5e9b5:0x69816dfcbcccf87c!8m2!3d40.0065964!4d-83.0541483!16s%2Fg%2F1tdhmh5c!19sChIJtem1sm2OOIgRfPjMvPxtgWk
Ohio,"retail shop in Ohio, USA",Destination Outlets,"8000 Factory Shops Blvd, Jeffersonville, OH 43128, United States",+18002139083,http://www.destinationoutlets.com/,4.1,,https://www.google.com/maps/place/Destination+Outlets/data=!4m7!3m6!1s0x8840b2c88e8c2b4d:0xd220734ff973899!8m2!3d39.6209562!4d-83.5992978!16s%2Fg%2F1v29cq4h!19sChIJTSuMjsiyQIgRmTiX_zQHIg0
Ohio,"retail shop in Ohio, USA",The Town Center at Levis Commons,"3201 Levis Commons Blvd, Perrysburg, OH 43551, United States",+14199318888,https://www.shopleviscommons.com/,4.5,,https://www.google.com/maps/place/The+Town+Center+at+Levis+Commons/data=!4m7!3m6!1s0x883c76f489ed4ed9:0x5bc3cc76c689eba0!8m2!3d41.527163!4d-83.6389164!16s%2Fg%2F11clvkctvx!19sChIJ2U7tifR2PIgRoOuJxnbMw1s
Ohio,"retail shop in Ohio, USA",Ohio Valley Outlet,"501 3rd Ave, Chesapeake, OH 45619, United States",+17402775708,https://www.ebay.com/str/ohiovalleyoutletchesapeake,5.0,,https://www.google.com/maps/place/Ohio+Valley+Outlet/data=!4m7!3m6!1s0x884609450a844293:0xcbbe9ccddce7978a!8m2!3d38.4275947!4d-82.4576349!16s%2Fg%2F11rfcz7n4g!19sChIJk0KECkUJRogRipfn3M2cvss
Ohio,"retail shop in Ohio, USA",Lebanon Peddlers Mall,"920 A Columbus Ave, Lebanon, OH 45036, United States",+15132281090,https://www.buypeddlersmall.com/,4.5,,https://www.google.com/maps/place/Lebanon+Peddlers+Mall/data=!4m7!3m6!1s0x8840f47503e955d9:0xbe430a6f9993c2dd!8m2!3d39.4490627!4d-84.1836274!16s%2Fg%2F1261xgz0j!19sChIJ2VXpA3X0QIgR3cKTmW8KQ74
Ohio,"retail shop in Ohio, USA",Shoppes of Grove City,"1760 Stringtown Rd, Grove City, OH 43123, United States",,,4.3,,https://www.google.com/maps/place/Shoppes+of+Grove+City/data=!4m7!3m6!1s0x883884f3b7612585:0xb5317a75275fa657!8m2!3d39.8794406!4d-83.0432327!16s%2Fg%2F12601d_hk!19sChIJhSVht_OEOIgRV6ZfJ3V6MbU
Ohio,"retail shop in Ohio, USA",The Greene,"4452 Buckeye Ln, Beavercreek, OH 45440, United States",+19374904990,http://www.thegreene.com/,4.5,,https://www.google.com/maps/place/The+Greene/data=!4m7!3m6!1s0x8840853351f76195:0x24f401ee4fd516a9!8m2!3d39.6928935!4d-84.1005141!16zL20vMGdmc3Ji!19sChIJlWH3UTOFQIgRqRbVT-4B9CQ
Ohio,"retail shop in Ohio, USA",The Shoppes at River Ridge,"4305 W Dublin-Granville Rd, Dublin, OH 43017, United States",+16147179002,https://www.theshoppesatriverridgedublin.com/,4.3,,https://www.google.com/maps/place/The+Shoppes+at+River+Ridge/data=!4m7!3m6!1s0x883892cc1803f7f7:0x9241e3063bb0b17f!8m2!3d40.0985682!4d-83.105163!16s%2Fg%2F113f316f5!19sChIJ9_cDGMySOIgRf7GwOwbjQZI
