State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Oklahoma,"retail shop in Oklahoma, USA",Shop Good,"1007 N Broadway Ave, Oklahoma City, OK 73102, United States",+14057020517,http://www.shopgoodokc.com/,4.6,,https://www.google.com/maps/place/Shop+Good/data=!4m7!3m6!1s0x87b2173a5e7942f3:0xdfefa45e5d87cb6a!8m2!3d35.477505!4d-97.51435!16s%2Fg%2F1td7zln3!19sChIJ80J5XjoXsocRasuHXV6k798
Oklahoma,"retail shop in Oklahoma, USA",OKC Outlets,"7624 W Reno Ave Suite 380, Oklahoma City, OK 73127, United States",+14057873700,https://www.okcoutlets.com/,4.4,,https://www.google.com/maps/place/OKC+Outlets/data=!4m7!3m6!1s0x87b20fafc38b6c75:0x189b4ca3f2a7442b!8m2!3d35.4625898!4d-97.6473972!16s%2Fm%2F0gmghkv!19sChIJdWyLw68PsocRK0Sn8qNMmxg
Oklahoma,"retail shop in Oklahoma, USA",Penn Square Mall,"1901 Northwest Expy, Oklahoma City, OK 73118, United States",+14058424424,https://www.simon.com/mall/penn-square-mall,4.3,,https://www.google.com/maps/place/Penn+Square+Mall/data=!4m7!3m6!1s0x87b21a156cf0dda9:0x2703ebeedbfef686!8m2!3d35.5249271!4d-97.5441961!16s%2Fm%2F02w4fn3!19sChIJqd3wbBUasocRhvb-2-7rAyc
Oklahoma,"retail shop in Oklahoma, USA",,,,,4.3,,https://www.google.com/maps/place/Shops+At+Moore/data=!4m7!3m6!1s0x87b26b23c18a8593:0x29a71ae81319f4f1!8m2!3d35.3176046!4d-97.4889351!16s%2Fg%2F11bw6fllf9!19sChIJk4WKwSNrsocR8fQZE-gapyk
Oklahoma,"retail shop in Oklahoma, USA",Plenty Mercantile - Gift Shop & Venue,"807 N Broadway Ave, Oklahoma City, OK 73102, United States",+14058887470,http://www.plentymercantile.com/,4.8,,https://www.google.com/maps/place/Plenty+Mercantile+-+Gift+Shop+%26+Venue/data=!4m7!3m6!1s0x87b217300d2a2419:0x5ad94ee9d3c1f582!8m2!3d35.4754295!4d-97.5146095!16s%2Fg%2F12hlzhn9c!19sChIJGSQqDTAXsocRgvXB0-lO2Vo
Oklahoma,"retail shop in Oklahoma, USA",Deals Outlet Bin Store,"2122 SW 59th St, Oklahoma City, OK 73119, United States",+14054939763,,4.3,,https://www.google.com/maps/place/Deals+Outlet+Bin+Store/data=!4m7!3m6!1s0x87b213b898117201:0xb5ea7f154f062b35!8m2!3d35.4052314!4d-97.5494079!16s%2Fg%2F11sgkw3cgh!19sChIJAXIRmLgTsocRNSsGTxV_6rU
Oklahoma,"retail shop in Oklahoma, USA",C Store & Novelty Outlet,"912 SE 44th St, Oklahoma City, OK 73129, United States",+14056322221,https://cstoreonlinewholesale.com/,4.4,,https://www.google.com/maps/place/C+Store+%26+Novelty+Outlet/data=!4m7!3m6!1s0x87b2169d8a44ea67:0x91f67f04f0172dc4!8m2!3d35.4201414!4d-97.4952841!16s%2Fg%2F1q67s7hqy!19sChIJZ-pEip0WsocRxC0X8AR_9pE
Oklahoma,"retail shop in Oklahoma, USA",Craig's Curious Emporium,"1209 NW 23rd St, Oklahoma City, OK 73106, United States",+14055249447,http://www.craigsemporium.com/,4.8,,https://www.google.com/maps/place/Craig%27s+Curious+Emporium/data=!4m7!3m6!1s0x87b217536c5b894b:0xb1b80b796938c123!8m2!3d35.4934678!4d-97.5323934!16s%2Fg%2F1z44b495c!19sChIJS4lbbFMXsocRI8E4aXkLuLE
Oklahoma,"retail shop in Oklahoma, USA",Nike Factory Store - Oklahoma City,"7654 W Reno Ave Suite 760, Oklahoma City, OK 73127, United States",+14054955935,https://www.nike.com/retail/s/nike-factory-store-oklahoma-city?cp=84620811901_seo_%3Fcp%3D84620811901_seo_&y_source=1_NTQzNzQ1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.4,,https://www.google.com/maps/place/Nike+Factory+Store+-+Oklahoma+City/data=!4m7!3m6!1s0x87b20fb2698efd07:0x4147deed77522136!8m2!3d35.4618552!4d-97.648372!16s%2Fg%2F11hxxhrv9c!19sChIJB_2OabIPsocRNiFSd-3eR0E
Oklahoma,"retail shop in Oklahoma, USA",Quail Springs Mall,"2501 W Memorial Rd, Oklahoma City, OK 73134, United States",+14052544979,https://www.quailspringsmall.com/en.html,4.3,,https://www.google.com/maps/place/Quail+Springs+Mall/data=!4m7!3m6!1s0x87b21c677c89fd4b:0x386c0eaa191ddfc!8m2!3d35.6130282!4d-97.5584437!16s%2Fm%2F02pvq5w!19sChIJS_2JfGccsocR_N2RoerAhgM
