State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Rhode Island,"retail shop in Rhode Island, USA",Garden City Center,"100 Midway Rd, Cranston, RI 02920, United States",+14019422800,https://gardencitycenter.com/,4.6,,https://www.google.com/maps/place/Garden+City+Center/data=!4m7!3m6!1s0x89e44edc42f7efc1:0xf6e1cb348d259fb!8m2!3d41.7612846!4d-71.4583116!16s%2Fg%2F1w0sdwxb!19sChIJwe_3QtxO5IkR-1nSSLMcbg8
Rhode Island,"retail shop in Rhode Island, USA",Warwick Mall,"400 Bald Hill Rd, Warwick, RI 02886, United States",+14017397500,http://www.warwickmall.com/,4.3,,https://www.google.com/maps/place/Warwick+Mall/data=!4m7!3m6!1s0x89e44c080c179af1:0xb44289636e1d00d5!8m2!3d41.7247227!4d-71.4762725!16zL20vMGg3cWpu!19sChIJ8ZoXDAhM5IkR1QAdbmOJQrQ
Rhode Island,"retail shop in Rhode Island, USA",The Shops at Quonset Point,"84 Gate Rd, North Kingstown, RI 02852, United States",,,4.5,,https://www.google.com/maps/place/The+Shops+at+Quonset+Point/data=!4m7!3m6!1s0x89e5b3a2905a03a5:0xc55d5c3e2d9dc01d!8m2!3d41.6067643!4d-71.4528184!16s%2Fg%2F1hc3hlq54!19sChIJpQNakKKz5YkRHcCdLT5cXcU
Rhode Island,"retail shop in Rhode Island, USA",Lincoln Shopping Center,"172-208 Front St, Lincoln, RI 02865, United States",+14017283570,http://www.lincolnshoppingcenterri.com/,4.3,,https://www.google.com/maps/place/Lincoln+Shopping+Center/data=!4m7!3m6!1s0x89e4431796e45fef:0x85782ead9c530d76!8m2!3d41.9042392!4d-71.4080198!16s%2Fg%2F1v1vf68t!19sChIJ71_klhdD5IkRdg1TnK0ueIU
Rhode Island,"retail shop in Rhode Island, USA",The Nest,"272 Carpenter St, Providence, RI 02909, United States",,http://www.thenestpvd.com/,4.8,,https://www.google.com/maps/place/The+Nest/data=!4m7!3m6!1s0x89e4459d301f8845:0x828fac76604c7097!8m2!3d41.8180287!4d-71.4279732!16s%2Fg%2F11rfq5qtym!19sChIJRYgfMJ1F5IkRl3BMYHasj4I
Rhode Island,"retail shop in Rhode Island, USA",Midland Commons,"650 Bald Hill Rd, Warwick, RI 02886, United States",+19142883330,https://www.acadiarealty.com/properties/search/property/160-midland-commons-warwick?utm_source=extnet&utm_medium=yext,4.1,,https://www.google.com/maps/place/Midland+Commons/data=!4m7!3m6!1s0x89e44bf42fa97133:0x2ea4781694709a74!8m2!3d41.719915!4d-71.4811392!16zL20vMGNuX3c3!19sChIJM3GpL_RL5IkRdJpwlBZ4pC4
Rhode Island,"retail shop in Rhode Island, USA",Branch Avenue Plaza Shopping Center,"Branch Ave, Providence, RI 02908, United States",,,3.9,,https://www.google.com/maps/place/Branch+Avenue+Plaza+Shopping+Center/data=!4m7!3m6!1s0x89e444f7a38857a5:0x8ef521fd69e8eae4!8m2!3d41.8526226!4d-71.4280811!16s%2Fg%2F1tdzbffh!19sChIJpVeIo_dE5IkR5Oroaf0h9Y4
Rhode Island,"retail shop in Rhode Island, USA",The Wakefield Mall,"160 Old Tower Hill Rd, Wakefield, RI 02879, United States",,https://www.wakefieldmall.com/,4.1,,https://www.google.com/maps/place/The+Wakefield+Mall/data=!4m7!3m6!1s0x89e5b95e7ccd93f3:0x260b702eafcc46e!8m2!3d41.443582!4d-71.4825981!16s%2Fg%2F1vzn6lb_!19sChIJ85PNfF655YkRbsT86gK3YAI
Rhode Island,"retail shop in Rhode Island, USA",The Crossing at Smithfield,"371 Putnam Pike, Smithfield, RI 02917, United States",+16172328900,https://crossingatsmithfield.com/,4.3,,https://www.google.com/maps/place/The+Crossing+at+Smithfield/data=!4m7!3m6!1s0x89e4413b5d766f8f:0xf60d01187ba27e71!8m2!3d41.8743938!4d-71.5187026!16s%2Fg%2F1vl5ht44!19sChIJj292XTtB5IkRcX6iexgBDfY
Rhode Island,"retail shop in Rhode Island, USA",Urban Outfitters,"285 Thayer St, Providence, RI 02906, United States",+14013514080,https://www.urbanoutfitters.com/stores/providence?utm_medium=organic&utm_source=google&utm_campaign=local&utm_content=40,4.0,,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x89e4452382655d27:0x42a9ead64c9a140b!8m2!3d41.82976!4d-71.400624!16s%2Fg%2F1vzn6l4m!19sChIJJ11lgiNF5IkRCxSaTNbqqUI
Rhode Island,"retail shop in Rhode Island, USA",Frog & Toad - East,"795 Hope St, Providence, RI 02906, United States",+14018313434,http://www.frogandtoadstore.com/,4.8,,https://www.google.com/maps/place/Frog+%26+Toad+-+East/data=!4m7!3m6!1s0x89e444c59ac7add1:0x21613ed8fd004a7d!8m2!3d41.8485036!4d-71.3950947!16s%2Fg%2F1pp2vhmvx!19sChIJ0a3HmsVE5IkRfUoA_dg-YSE
Rhode Island,"retail shop in Rhode Island, USA",Lincoln Commons,"622 George Washington Hwy, Lincoln, RI 02865, United States",+19142883330,https://acadiarealty.com/properties/lincoln-commons/,4.2,,https://www.google.com/maps/place/Lincoln+Commons/data=!4m7!3m6!1s0x89e441882451fb6f:0x988ee535e7e8a419!8m2!3d41.9352501!4d-71.4768033!16s%2Fg%2F11_t8c_d2!19sChIJb_tRJIhB5IkRGaTo5zXljpg
Rhode Island,"retail shop in Rhode Island, USA",Craftland,"212 Westminster St, Providence, RI 02903, United States",+14012724285,http://www.craftlandshop.com/,4.7,,https://www.google.com/maps/place/Craftland/data=!4m7!3m6!1s0x89e445138fc3b21d:0x37190e5473e082f4!8m2!3d41.823126!4d-71.4121655!16s%2Fg%2F1tdyb287!19sChIJHbLDjxNF5IkR9ILgc1QOGTc
Rhode Island,"retail shop in Rhode Island, USA",North Providence Marketplace,"41 Smithfield Rd, North Providence, RI 02904, United States",,https://google.com/url?q=https://business.google.com/website_shared/launch_bw.html?f=https://amzn.to/3Sl8wKJ,4.3,,https://www.google.com/maps/place/North+Providence+Marketplace/data=!4m7!3m6!1s0x89e44445dbdc8f7d:0x7e1c633d73247859!8m2!3d41.8552239!4d-71.4463186!16s%2Fg%2F1vspshzg!19sChIJfY_c20VE5IkRWXgkcz1jHH4
Rhode Island,"retail shop in Rhode Island, USA",Smithfield Commons,"400 Putnam Pike, Smithfield, RI 02917, United States",+17812023536,,4.4,,https://www.google.com/maps/place/Smithfield+Commons/data=!4m7!3m6!1s0x89e4471c9460f659:0x9375ef89a2c7e839!8m2!3d41.8698382!4d-71.5295271!16s%2Fg%2F1ptx66sy0!19sChIJWfZglBxH5IkROejHoonvdZM
Rhode Island,"retail shop in Rhode Island, USA",Modern Love,"220 Westminster St, Providence, RI 02903, United States",+14014211475,http://shopqueenofhearts.com/,4.2,,https://www.google.com/maps/place/Modern+Love/data=!4m7!3m6!1s0x89e445138bbba039:0x30cebfed745e3421!8m2!3d41.823042!4d-71.4123712!16s%2Fg%2F1tvm3sll!19sChIJOaC7ixNF5IkRITRedO2_zjA
Rhode Island,"retail shop in Rhode Island, USA",World Store,"16 Main St #5, North Kingstown, RI 02852, United States",+14012950081,,4.4,,https://www.google.com/maps/place/World+Store/data=!4m7!3m6!1s0x89e5b160b39aa2e7:0x3120ab8bb373110e!8m2!3d41.5713022!4d-71.4526514!16s%2Fg%2F1v_0ks2r!19sChIJ56Kas2Cx5YkRDhFzs4urIDE
Rhode Island,"retail shop in Rhode Island, USA",Duluth Trading Company,"1000 Bald Hill Rd, Warwick, RI 02886, United States",+14012505777,https://www.duluthtrading.com/locations/?StoreID=021&street-address=1000BaldHillRoad&city=Warwick&srccode=WBGMB19,4.5,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x89e44b8de07d18af:0x7f9c5e61cd5c3035!8m2!3d41.7116981!4d-71.4873371!16s%2Fg%2F11dxd3zngz!19sChIJrxh94I1L5IkRNTBczWFenH8
Rhode Island,"retail shop in Rhode Island, USA",Garden City Center,"100 Midway Rd, Cranston, RI 02920, United States",+14019422800,https://gardencitycenter.com/,4.6,,https://www.google.com/maps/place/Garden+City+Center/data=!4m7!3m6!1s0x89e44edc42f7efc1:0xf6e1cb348d259fb!8m2!3d41.761285!4d-71.458312!16s%2Fg%2F1w0sdwxb!19sChIJwe_3QtxO5IkR-1nSSLMcbg8
Rhode Island,"retail shop in Rhode Island, USA",Free People,"85 Hillside Rd, Cranston, RI 02920, United States",+14012715372,https://www.freepeople.com/stores/cranston?utm_medium=organic&utm_source=google&utm_campaign=local&utm_content=1887,3.3,,https://www.google.com/maps/place/Free+People/data=!4m7!3m6!1s0x89e44fdee17db449:0x3b8d3448f9a4453!8m2!3d41.761847!4d-71.458948!16s%2Fg%2F11vm9g_p9b!19sChIJSbR94d5P5IkRU0Saj0TTuAM
