State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
South Carolina,"retail shop in South Carolina, USA",Gaffney Outlet Marketplace,"1 Factory Shops Blvd, Gaffney, SC 29341, United States",+18649029900,https://www.premiumoutlets.com/outlet/gaffney-outlet-marketplace,4.1,,https://www.google.com/maps/place/Gaffney+Outlet+Marketplace/data=!4m7!3m6!1s0x88570f95bf66be97:0x867cf5ef9c0ea83e!8m2!3d35.0819733!4d-81.7121772!16s%2Fg%2F1wk6_gx1!19sChIJl75mv5UPV4gRPqgOnO_1fIY
South Carolina,"retail shop in South Carolina, USA",Village at Sandhill,"481 Town Center Pl, Columbia, SC 29229, United States",+18039730505,https://amzn.to/3VkoPc1,4.3,,https://www.google.com/maps/place/Village+at+Sandhill/data=!4m7!3m6!1s0x88f8aa35de1b4d01:0xc3f9b1ba3f497849!8m2!3d34.1294464!4d-80.8786538!16s%2Fm%2F04jbwbj!19sChIJAU0b3jWq-IgRSXhJP7qx-cM
South Carolina,"retail shop in South Carolina, USA",The Plaza at Carolina Forest,"4802 Edward E Burroughs Hwy, Myrtle Beach, SC 29579, United States",,,4.3,,https://www.google.com/maps/place/The+Plaza+at+Carolina+Forest/data=!4m7!3m6!1s0x89006c6492e50c7b:0x38aa19a12987824f!8m2!3d33.7593507!4d-78.9685145!16s%2Fg%2F1tfzssfd!19sChIJewzlkmRsAIkRT4KHKaEZqjg
South Carolina,"retail shop in South Carolina, USA",Columbiana Station,"150 Harbison Blvd, Columbia, SC 29212, United States",,https://edens.com/property/columbiana-station,4.4,,https://www.google.com/maps/place/Columbiana+Station/data=!4m7!3m6!1s0x88f8a270c8642047:0x99ccbd6d04d35d57!8m2!3d34.067567!4d-81.1644894!16s%2Fg%2F1tzgkhbx!19sChIJRyBkyHCi-IgRV13TBG29zJk
South Carolina,"retail shop in South Carolina, USA",Summerville Galleria,"975 Bacons Bridge Rd, Summerville, SC 29485, United States",+19293887922,https://www.phillipsedison.com/property/south-carolina/charleston-sc/summerville/summerville-galleria,4.2,,https://www.google.com/maps/place/Summerville+Galleria/data=!4m7!3m6!1s0x88fe8b87c22e99b5:0x7464a2a2d810c279!8m2!3d32.9964854!4d-80.1842102!16s%2Fg%2F1v6l8br_!19sChIJtZkuwoeL_ogRecIQ2KKiZHQ
South Carolina,"retail shop in South Carolina, USA",Crossings on Main,"102 Academy St, Fort Mill, SC 29715, United States",+18035480808,https://www.crossingsonmain.com/,4.9,,https://www.google.com/maps/place/Crossings+on+Main/data=!4m7!3m6!1s0x885685aa910c3055:0x3e2ad22a098a522c!8m2!3d35.0069111!4d-80.9446727!16s%2Fg%2F1tj927qm!19sChIJVTAMkaqFVogRLFKKCSrSKj4
South Carolina,"retail shop in South Carolina, USA",Lexington Pavilion,"5109 Sunset Blvd, Lexington, SC 29072, United States",,,4.4,,https://www.google.com/maps/place/Lexington+Pavilion/data=!4m7!3m6!1s0x88f8978fae41b2a1:0x1cc3843cbd8cb3f8!8m2!3d34.0066722!4d-81.1952694!16s%2Fg%2F1tkvbm84!19sChIJobJBro-X-IgR-LOMvTyEwxw
South Carolina,"retail shop in South Carolina, USA",Rosewood Crossing,"Fort Jackson Blvd, Columbia, SC 29209, United States",,,4.4,,https://www.google.com/maps/place/Rosewood+Crossing/data=!4m7!3m6!1s0x88f8b01bab5536df:0x197f1add2fc459db!8m2!3d33.9909459!4d-80.9729535!16s%2Fg%2F11f0l2sm3j!19sChIJ3zZVqxuw-IgR21nEL90afxk
South Carolina,"retail shop in South Carolina, USA",Sparkleberry Square,"2 Notch Rd, Columbia, SC 29204, United States",,https://www.bridge33capital.com/sparkleberry-square,4.3,,https://www.google.com/maps/place/Sparkleberry+Square/data=!4m7!3m6!1s0x88f8a56b60409d7b:0x6109b7d2d1577092!8m2!3d34.1164298!4d-80.8811804!16s%2Fg%2F113fym2kk!19sChIJe51AYGul-IgRknBX0dK3CWE
South Carolina,"retail shop in South Carolina, USA",South Carolina State Park Store,"1205 Pendleton St #253, Columbia, SC 29201, United States",+18037340156,http://scparkstore.com/,3.3,,https://www.google.com/maps/place/South+Carolina+State+Park+Store/data=!4m7!3m6!1s0x88f8bb2a0e6aaaa9:0x969845cf0ed5065a!8m2!3d33.9989843!4d-81.0319028!16s%2Fg%2F11g04mgddf!19sChIJqapqDiq7-IgRWgbVDs9FmJY
