State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
South Dakota,"retail shop in South Dakota, USA",Badlands Ranch Store,"21190 SD-240, Philip, SD 57567, United States",+16054335477,http://www.badlandsranchstore.com/,4.5,,https://www.google.com/maps/place/Badlands+Ranch+Store/data=!4m7!3m6!1s0x877e7cda76121a59:0xd33498b110069897!8m2!3d43.8211696!4d-101.9003141!16s%2Fg%2F11b60qwh7j!19sChIJWRoSdtp8focRl5gGELGYNNM
South Dakota,"retail shop in South Dakota, USA",Rushmore Crossing,"1225 Eglin St, Rapid City, SD 57701, United States",+16053484480,https://www.frpltd.com/properties/rushmore-crossing/directory,4.3,,https://www.google.com/maps/place/Rushmore+Crossing/data=!4m7!3m6!1s0x877d5d5a39621169:0x5159dec34b905b26!8m2!3d44.0981449!4d-103.1865696!16s%2Fg%2F1261myt43!19sChIJaRFiOVpdfYcRJluQS8PeWVE
South Dakota,"retail shop in South Dakota, USA",Bit Of Everything Discount Store,"2425 S Shirley Ave Unit 108, Sioux Falls, SD 57106, United States",+16059409666,http://boesd.square.site/,4.9,,https://www.google.com/maps/place/Bit+Of+Everything+Discount+Store/data=!4m7!3m6!1s0x878ecb46bb491439:0x5d7d933ff20bf2f1!8m2!3d43.5242408!4d-96.7773524!16s%2Fg%2F11tsg34_0y!19sChIJORRJu0bLjocR8fIL8j-TfV0
South Dakota,"retail shop in South Dakota, USA",Dawley Farm Village,"1000 S Highline Pl, Sioux Falls, SD 57110, United States",+16053232820,http://www.dawleyfarmvillage.com/,4.4,,https://www.google.com/maps/place/Dawley+Farm+Village/data=!4m7!3m6!1s0x878eb3ed5681b44b:0x28efff85685c867b!8m2!3d43.5396084!4d-96.6543515!16s%2Fg%2F1z44c59mk!19sChIJS7SBVu2zjocRe4ZcaIX_7yg
South Dakota,"retail shop in South Dakota, USA",Zandbroz Variety,"209 S Phillips Ave, Sioux Falls, SD 57104, United States",+16053315137,https://www.zandbroz.com/,4.7,,https://www.google.com/maps/place/Zandbroz+Variety/data=!4m7!3m6!1s0x878eb5a2b6ad097d:0xd92f53ffc3eca02c!8m2!3d43.5456022!4d-96.7269446!16s%2Fg%2F1tfqlws5!19sChIJfQmttqK1jocRLKDsw_9TL9k
South Dakota,"retail shop in South Dakota, USA",Old West Trading Post,"122 S Main St, Chamberlain, SD 57325, United States",+16057340770,http://www.oldwesttradingpost.net/,4.2,,https://www.google.com/maps/place/Old+West+Trading+Post/data=!4m7!3m6!1s0x87813a3f0499052b:0xbb4f044793dec15c!8m2!3d43.8103653!4d-99.3311052!16s%2Fg%2F1tkq_rxk!19sChIJKwWZBD86gYcRXMHek0cET7s
South Dakota,"retail shop in South Dakota, USA",Duluth Trading Company,"320 S Phillips Ave Suite 100, Sioux Falls, SD 57104, United States",+16059886043,"https://www.duluthtrading.com/locations/?StoreID=010&street-address=320S.PhillipsAve.,Suite100&city=SiouxFalls&srccode=WBGMB19",4.6,,https://www.google.com/maps/place/Duluth+Trading+Company/data=!4m7!3m6!1s0x878eb5bd144e6dc5:0xeb4672a57e9aa008!8m2!3d43.5439485!4d-96.7264312!16s%2Fg%2F11bwfmmh6g!19sChIJxW1OFL21jocRCKCafqVyRus
South Dakota,"retail shop in South Dakota, USA",Dakota Emporium Trading Post,"119 Deadwood St, Fort Pierre, SD 57532, United States",+16052248785,http://www.dakotaemporium.com/,4.6,,https://www.google.com/maps/place/Dakota+Emporium+Trading+Post/data=!4m7!3m6!1s0x8780119605b61803:0x33b72d0901a5385a!8m2!3d44.3550836!4d-100.3718!16s%2Fg%2F12hn_crq4!19sChIJAxi2BZYRgIcRWjilAQkttzM
South Dakota,"retail shop in South Dakota, USA",Park Ridge Shopping Center,"1714 S Western Ave, Sioux Falls, SD 57105, United States",+16053516911,http://www.parkridgegalleria.com/,4.2,,https://www.google.com/maps/place/Park+Ridge+Shopping+Center/data=!4m7!3m6!1s0x878eca0a24da3683:0xd64d2eb46cfbe43!8m2!3d43.5297279!4d-96.7507019!16s%2Fg%2F1v6l7_5x!19sChIJgzbaJArKjocRQ77PRuvSZA0
South Dakota,"retail shop in South Dakota, USA",Wall Discount Outlet,"529 Main St, Wall, SD 57790, United States",,,3.8,,https://www.google.com/maps/place/Wall+Discount+Outlet/data=!4m7!3m6!1s0x877ddcc59f79352b:0xa709ee6bda62ffef!8m2!3d43.9923957!4d-102.2420911!16s%2Fg%2F11d_7d6rfy!19sChIJKzV5n8XcfYcR7_9i2mvuCac
South Dakota,"retail shop in South Dakota, USA",Common Sense (49th St. Location),"3505 W 49th St, Sioux Falls, SD 57106, United States",+16053218420,,4.7,,https://www.google.com/maps/place/Common+Sense+%2849th+St.+Location%29/data=!4m7!3m6!1s0x878ecbfb23da2fed:0x82ca42b8e35cbe20!8m2!3d43.5071915!4d-96.7696186!16s%2Fg%2F11j4qy36w7!19sChIJ7S_aI_vLjocRIL5c47hCyoI
South Dakota,"retail shop in South Dakota, USA",Park Place Center,"3101 W 41st St, Sioux Falls, SD 57105, United States",,http://parkplacesf.com/,4.3,,https://www.google.com/maps/place/Park+Place+Center/data=!4m7!3m6!1s0x878eca1d8a2ce20b:0x3e7e377661cc8913!8m2!3d43.5140087!4d-96.7641152!16s%2Fg%2F11bw4708zl!19sChIJC-Isih3KjocRE4nMYXY3fj4
South Dakota,"retail shop in South Dakota, USA",Wall Drug Store,"510 Main St, Wall, SD 57790, United States",+16052792175,http://www.walldrug.com/,4.2,,https://www.google.com/maps/place/Wall+Drug+Store/data=!4m7!3m6!1s0x877ddcc512c38199:0xc4704065d277f5ac!8m2!3d43.9929209!4d-102.2415239!16zL20vMDM1MXpx!19sChIJmYHDEsXcfYcRrPV30mVAcMQ
South Dakota,"retail shop in South Dakota, USA",The Shoppes at Lake Lorraine,"2512 Lorraine Dr, Sioux Falls, SD 57106, United States",+16059299319,https://www.lakelorrainesiouxfalls.com/,4.3,,https://www.google.com/maps/place/The+Shoppes+at+Lake+Lorraine/data=!4m7!3m6!1s0x878ecb48fbf2e69d:0xf64bd7504584ff7b!8m2!3d43.5213878!4d-96.7825236!16s%2Fg%2F11h2fgvpxn!19sChIJneby-0jLjocRe_-ERVDXS_Y
South Dakota,"retail shop in South Dakota, USA","Real Deals - Sioux Falls, SD","2001 W 41st St, Sioux Falls, SD 57105, United States",+16052711980,https://realdeals.net/siouxfalls,5.0,,"https://www.google.com/maps/place/Real+Deals+-+Sioux+Falls,+SD/data=!4m7!3m6!1s0x878ecb1669c80203:0x426a61e5ba801b53!8m2!3d43.5144488!4d-96.7498322!16s%2Fg%2F11vqh3czn6!19sChIJAwLIaRbLjocRUxuAuuVhakI"
South Dakota,"retail shop in South Dakota, USA",River Plaza,"2425 S Shirley Ave, Sioux Falls, SD 57106, United States",,,4.3,,https://www.google.com/maps/place/River+Plaza/data=!4m7!3m6!1s0x878eca3b6a535775:0x9ea32d7f6fab1b42!8m2!3d43.524521!4d-96.7773183!16s%2Fg%2F11c1sk24j3!19sChIJdVdTajvKjocRQhurb38to54
South Dakota,"retail shop in South Dakota, USA",Empire Place,"4101 W 41st St, Sioux Falls, SD 57106, United States",,,4.4,,https://www.google.com/maps/place/Empire+Place/data=!4m7!3m6!1s0x878ecb91c6794745:0xa6f00c7e39171af6!8m2!3d43.514076!4d-96.7756919!16s%2Fg%2F11j600y4m5!19sChIJRUd5xpHLjocR9hoXOX4M8KY
South Dakota,"retail shop in South Dakota, USA",Cabela's,"601 Cabela Dr, Mitchell, SD 57301, United States",+16059960337,https://stores.cabelas.com/us/sd/mitchell/601-cabela-drive.html?y_source=1_Mzk4NjcwOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,,https://www.google.com/maps/place/Cabela%27s/data=!4m7!3m6!1s0x8786116df8d3b3e7:0x77e794c4ed37ecb6!8m2!3d43.689808!4d-98.017678!16s%2Fg%2F1tx1tpg1!19sChIJ57PT-G0RhocRtuw37cSU53c
South Dakota,"retail shop in South Dakota, USA",The Shops SD,"600 Main St Ste 4, Faulkton, SD 57438, United States",+16053801556,https://theshops-sd.com/,5.0,,https://www.google.com/maps/place/The+Shops+SD/data=!4m7!3m6!1s0x52d36fbf2a77b95d:0x682f15adbb6715c2!8m2!3d45.0352652!4d-99.1214506!16s%2Fg%2F11h2343fpm!19sChIJXbl3Kr9v01IRwhVnu60VL2g
South Dakota,"retail shop in South Dakota, USA",Northridge Plaza,"1615 N Harrison Ave, Pierre, SD 57501, United States",+16052246331,http://shopnorthridgeplaza.com/,3.8,,https://www.google.com/maps/place/Northridge+Plaza/data=!4m7!3m6!1s0x8780127298776a4f:0xc52574dd18ba9c3d!8m2!3d44.3786189!4d-100.3177989!16s%2Fg%2F1tdb4sgp!19sChIJT2p3mHISgIcRPZy6GN10JcU
South Dakota,"retail shop in South Dakota, USA",A Walk in the Woods,"508 Mt Rushmore Rd, Custer, SD 57730, United States",,https://www.walkwoods.com/,4.8,,https://www.google.com/maps/place/A+Walk+in+the+Woods/data=!4m7!3m6!1s0x8762cd000775ae71:0xfc1df54bd7af932d!8m2!3d43.7661008!4d-103.5997866!16s%2Fg%2F11y38jr_kr!19sChIJca51BwDNYocRLZOv10v1Hfw
South Dakota,"retail shop in South Dakota, USA",Prairie Oasis Mall,"Main St S, Faith, SD 57626, United States",,,4.4,,https://www.google.com/maps/place/Prairie+Oasis+Mall/data=!4m7!3m6!1s0x532b9ec1b2b23b7d:0x351a920e1366ed5c!8m2!3d45.022429!4d-102.0378271!16s%2Fg%2F1vxvhj66!19sChIJfTuyssGeK1MRXO1mEw6SGjU
South Dakota,"retail shop in South Dakota, USA",Midtown Plaza Mall,"362 N Main St, Mitchell, SD 57301, United States",,,4.4,,https://www.google.com/maps/place/Midtown+Plaza+Mall/data=!4m7!3m6!1s0x8786116ccf8c061f:0x455af08250844bf2!8m2!3d43.7110692!4d-98.0251053!16zL20vMGJiOTA1!19sChIJHwaMz2wRhocR8kuEUILwWkU
South Dakota,"retail shop in South Dakota, USA",Wall Food Center,"103 South Blvd, Wall, SD 57790, United States",+16052792331,,4.3,,https://www.google.com/maps/place/Wall+Food+Center/data=!4m7!3m6!1s0x877ddcc65e71b161:0xf9eb8444ef07487c!8m2!3d43.9886791!4d-102.2423396!16s%2Fg%2F1thw76sz!19sChIJYbFxXsbcfYcRfEgH70SE6_k
South Dakota,"retail shop in South Dakota, USA",Super Sweet Deals,"817 Main St, Centerville, SD 57014, United States",+16055632500,https://supersweetdealssd.com/,5.0,,https://www.google.com/maps/place/Super+Sweet+Deals/data=!4m7!3m6!1s0x878efbebdb183429:0xe5123ce0c0823b5e!8m2!3d43.1169706!4d-96.9603489!16s%2Fg%2F11x1q37_yx!19sChIJKTQY2-v7jocRXjuCwOA8EuU
South Dakota,"retail shop in South Dakota, USA",Shoppes on 7th,"3307 7th Ave SE, Aberdeen, SD 57401, United States",+16052251712,http://www.lamontcompanies.com/,4.7,,https://www.google.com/maps/place/Shoppes+on+7th/data=!4m7!3m6!1s0x52d243cb3b575a07:0x6b63bd3bcc35679c!8m2!3d45.4586439!4d-98.4418965!16s%2Fg%2F11h0_b2czg!19sChIJB1pXO8tD0lIRnGc1zDu9Y2s
South Dakota,"retail shop in South Dakota, USA",A Walk In the Woods Gallery & Gifts,"506 Mt Rushmore Rd, Custer, SD 57730, United States",+16056736400,http://walkwoods.com/,4.5,,https://www.google.com/maps/place/A+Walk+In+the+Woods+Gallery+%26+Gifts/data=!4m7!3m6!1s0x8762cdafb50e9a9b:0xd82f4f8bdc040301!8m2!3d43.76597!4d-103.5998299!16s%2Fg%2F1hc30n4hz!19sChIJm5oOta_NYocRAQME3ItPL9g
South Dakota,"retail shop in South Dakota, USA",Cahoy's General Store,"511 US-18, Bonesteel, SD 57317, United States",+16056542124,http://cahoys.com/,4.7,,https://www.google.com/maps/place/Cahoy%27s+General+Store/data=!4m7!3m6!1s0x87846c15f0382595:0x5e3deca0d51947d!8m2!3d43.0718089!4d-98.9465021!16s%2Fg%2F1hc5qksvl!19sChIJlSU48BVshIcRfZRRDcre4wU
South Dakota,"retail shop in South Dakota, USA",Runnings,"1600 N Harrison Ave, Pierre, SD 57501, United States",+16052241669,https://www.runnings.com/storelocator/store/pierre?utm_medium=organic&utm_source=google_local&utm_campaign=gmb_listing,4.5,,https://www.google.com/maps/place/Runnings/data=!4m7!3m6!1s0x8780127298057e49:0x127fad97d95eba95!8m2!3d44.3760174!4d-100.3187431!16s%2Fg%2F1pty61fg2!19sChIJSX4FmHISgIcRlbpe2ZetfxI
South Dakota,"retail shop in South Dakota, USA",Bruns Market,"734 Main St, Burke, SD 57523, United States",+16057752221,,4.7,,https://www.google.com/maps/place/Bruns+Market/data=!4m7!3m6!1s0x8783ef6bd42c2a11:0x317f17c48efb69d6!8m2!3d43.1828362!4d-99.2920327!16s%2Fg%2F1tfvhq60!19sChIJESos1Gvvg4cR1mn7jsQXfzE
South Dakota,"retail shop in South Dakota, USA",Southside Plaza,"1305 W Havens Ave, Mitchell, SD 57301, United States",+16052924000,,4.1,,https://www.google.com/maps/place/Southside+Plaza/data=!4m7!3m6!1s0x8786117eef385a9b:0xfaf3a14b4cc3d276!8m2!3d43.7012546!4d-98.0425506!16s%2Fg%2F1tlc8kl3!19sChIJm1o4734RhocRdtLDTEuh8_o
South Dakota,"retail shop in South Dakota, USA",Merchandise Outlet Store,"302 N Main St, Mitchell, SD 57301, United States",+16059963431,https://facebook.com/merchandise-outlet-western-wear-113737980076848/?tsid=0.9297603705486546&source=result,4.7,,https://www.google.com/maps/place/Merchandise+Outlet+Store/data=!4m7!3m6!1s0x8786116d2473107d:0x1d0aefab171364b!8m2!3d43.7116757!4d-98.0253717!16s%2Fg%2F1wn_6lt8!19sChIJfRBzJG0RhocRSzZxsfqu0AE
South Dakota,"retail shop in South Dakota, USA",Ward's Shopping Center,"104 N Main St, Estelline, SD 57234, United States",+16058732468,,5.0,,https://www.google.com/maps/place/Ward%27s+Shopping+Center/data=!4m7!3m6!1s0x8789c5e6dbfa3b5f:0x60eb49d30b9d4de1!8m2!3d44.5730691!4d-96.902253!16s%2Fg%2F1v831lrx!19sChIJXzv62-bFiYcR4U2dC9NJ62A
South Dakota,"retail shop in South Dakota, USA",Altar'd State The Empire Mall,"5000 West Empire Mall Space 0402B, Sioux Falls, SD 57106, United States",+16053054067,https://www.altardstate.com/?utm_source=google&utm_medium=organic&utm_campaign=website-link,4.5,,https://www.google.com/maps/place/Altar%27d+State+The+Empire+Mall/data=!4m7!3m6!1s0x878ec979e34b3c63:0xbc4ae388312e56b7!8m2!3d43.5108328!4d-96.776315!16s%2Fg%2F11hd_gqtbs!19sChIJYzxL43nJjocRt1YuMYjjSrw
South Dakota,"retail shop in South Dakota, USA",Giftport News Concourse,"Sioux Falls Regional Airport Terminal, 2801 N Jaycee Ln #6, Sioux Falls, SD 57104, United States",+16053314170,,4.5,,https://www.google.com/maps/place/Giftport+News+Concourse/data=!4m7!3m6!1s0x878eb5476feb91ab:0x65f53d34c3e11e3b!8m2!3d43.5804188!4d-96.731431!16s%2Fg%2F1ttdyyyy!19sChIJq5Hrb0e1jocROx7hwzQ99WU
South Dakota,"retail shop in South Dakota, USA",Emporium on 41st St.,"3709 W 41st St, Sioux Falls, SD 57106, United States",,,4.3,,https://www.google.com/maps/place/Emporium+on+41st+St./data=!4m7!3m6!1s0x878ecbb64a5abdcd:0xc18e78b4e8380f87!8m2!3d43.5143809!4d-96.7726224!16s%2Fg%2F11n__z61jf!19sChIJzb1aSrbLjocRhw846LR4jsE
South Dakota,"retail shop in South Dakota, USA",Dakotamart,"120 W Sioux Ave, Pierre, SD 57501, United States",+16052248871,https://dakotamartsd.com/,4.4,,https://www.google.com/maps/place/Dakotamart/data=!4m7!3m6!1s0x878011ff05447585:0xbc4b577e9c25e1fa!8m2!3d44.3678413!4d-100.3546159!16s%2Fg%2F11c20_r35k!19sChIJhXVEBf8RgIcR-uElnH5XS7w
South Dakota,"retail shop in South Dakota, USA",County Fair Food Store,"817 W 2nd St, Winner, SD 57580, United States",+16058421360,https://countyfairfoodstores.com/,4.5,,https://www.google.com/maps/place/County+Fair+Food+Store/data=!4m7!3m6!1s0x87817fc5814f5891:0xa5948498e6fbe964!8m2!3d43.3759231!4d-99.8685531!16s%2Fg%2F1tffdpqt!19sChIJkVhPgcV_gYcRZOn75piElKU
South Dakota,"retail shop in South Dakota, USA",Beef jerky Experience,"219 E Main St, Hill City, SD 57745, United States",+16055742210,https://www.beefjerkyoutlet.com/hill-city,4.3,,https://www.google.com/maps/place/Beef+jerky+Experience/data=!4m7!3m6!1s0x8762b585c013ee79:0xa51ac2d21824871f!8m2!3d43.9322176!4d-103.5756949!16s%2Fg%2F11h3qsfmlr!19sChIJee4TwIW1YocRH4ckGNLCGqU
South Dakota,"retail shop in South Dakota, USA","Then & Again Antiques, Vintage, Collectibles & Gifts","121 S Main St, Chamberlain, SD 57325, United States",+16052340123,,4.3,,"https://www.google.com/maps/place/Then+%26+Again+Antiques,+Vintage,+Collectibles+%26+Gifts/data=!4m7!3m6!1s0x878130e76ff5c6a9:0xb4077c3c3832c38d!8m2!3d43.8102879!4d-99.3304795!16s%2Fg%2F11c7t1q0xm!19sChIJqcb1b-cwgYcRjcMyODx8B7Q"
South Dakota,"retail shop in South Dakota, USA",Runnings,"326 US-18, Winner, SD 57580, United States",+16058422142,https://www.runnings.com/storelocator/store/winner?utm_medium=organic&utm_source=google_local&utm_campaign=gmb_listing,4.6,,https://www.google.com/maps/place/Runnings/data=!4m7!3m6!1s0x87817fc40f25f0d7:0x7a3cb2df1e8cb7de!8m2!3d43.3748705!4d-99.8438315!16s%2Fg%2F1tjz3wc1!19sChIJ1_AlD8R_gYcR3reMHt-yPHo
South Dakota,"retail shop in South Dakota, USA",Ragstock,"5000 W Empire Pl, Sioux Falls, SD 57106, United States",+16053622969,http://ragstock.com/stores/empire-mall-sioux-falls/,4.1,,https://www.google.com/maps/place/Ragstock/data=!4m7!3m6!1s0x878ec98bd64fe779:0xfaec66aa6c34a7c0!8m2!3d43.510642!4d-96.7756272!16s%2Fg%2F11bwf7_cb7!19sChIJeedP1ovJjocRwKc0bKpm7Po
South Dakota,"retail shop in South Dakota, USA",Runnings,"1313 S Burr St, Mitchell, SD 57301, United States",+16059968305,https://www.runnings.com/storelocator/store/mitchell?utm_medium=organic&utm_source=google_local&utm_campaign=gmb_listing,4.5,,https://www.google.com/maps/place/Runnings/data=!4m7!3m6!1s0x878611a671befe07:0x70b6042e659a4019!8m2!3d43.6970855!4d-98.0200124!16s%2Fg%2F1tdkmqs_!19sChIJB_6-caYRhocRGUCaZS4EtnA
South Dakota,"retail shop in South Dakota, USA",Runnings,"3061 Dakota Ave S, Huron, SD 57350, United States",+16053521448,https://www.runnings.com/storelocator/store/huron?utm_medium=organic&utm_source=google_local&utm_campaign=gmb_listing,4.6,,https://www.google.com/maps/place/Runnings/data=!4m7!3m6!1s0x8787beaccbac804b:0xc3ee5de8ecaf20d0!8m2!3d44.3300933!4d-98.2168121!16s%2Fg%2F1tdnfrq2!19sChIJS4Csy6y-h4cR0CCv7Ohd7sM
South Dakota,"retail shop in South Dakota, USA",Runnings,"115 Park Ave, Gregory, SD 57533, United States",+16055501020,https://www.runnings.com/storelocator/store/gregory?utm_medium=organic&utm_source=google_local&utm_campaign=gmb_listing,4.5,,https://www.google.com/maps/place/Runnings/data=!4m7!3m6!1s0x8783ef3fc718e2dd:0x1ffd0cac34bad8ac!8m2!3d43.2278316!4d-99.4342064!16s%2Fg%2F1v8j0ydp!19sChIJ3eIYxz_vg4cRrNi6NKwM_R8
South Dakota,"retail shop in South Dakota, USA",Second Edition,"325 S Pierre St, Pierre, SD 57501, United States",+16052240113,,4.2,,https://www.google.com/maps/place/Second+Edition/data=!4m7!3m6!1s0x878011f699c4cfa3:0x8a9c2a64c2782ac3!8m2!3d44.3664433!4d-100.3544143!16s%2Fg%2F1tdb05gq!19sChIJo8_EmfYRgIcRwyp4wmQqnIo
South Dakota,"retail shop in South Dakota, USA",Roosevelt Marketplace Stripmall,"3205 S Sertoma Ave, Sioux Falls, SD 57106, United States",,,4.4,,https://www.google.com/maps/place/Roosevelt+Marketplace+Stripmall/data=!4m7!3m6!1s0x878ecb7615f15d27:0x1a7cf9eff479bc30!8m2!3d43.5161595!4d-96.8117814!16s%2Fg%2F11q93knl4l!19sChIJJ13xFXbLjocRMLx59O_5fBo
South Dakota,"retail shop in South Dakota, USA",County Fair Food Store,"1305 W Havens Ave, Mitchell, SD 57301, United States",+16059968393,http://www.countyfairfoodstores.com/,4.5,,https://www.google.com/maps/place/County+Fair+Food+Store/data=!4m7!3m6!1s0x8786117eef385a9b:0xcd06f1b6b0d32ee3!8m2!3d43.7014052!4d-98.0423234!16s%2Fg%2F1tfh_2b1!19sChIJm1o4734RhocR4y7TsLbxBs0
