State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Tennessee,"retail shop in Tennessee, USA",Opry Mills,"433 Opry Mills Dr, Nashville, TN 37214, United States",+16155141000,https://www.simon.com/mall/opry-mills,4.5,,https://www.google.com/maps/place/Opry+Mills/data=!4m7!3m6!1s0x886469d76dda3f83:0xb6a192cee2870a41!8m2!3d36.2048497!4d-86.6930726!16zL20vMDZremc4!19sChIJgz_abddpZIgRQQqH4s6SobY
Tennessee,"retail shop in Tennessee, USA",The Mall at Green Hills,"2126 Abbott Martin Rd, Nashville, TN 37215, United States",+16152985478,https://www.simon.com/mall/the-mall-at-green-hills,4.4,,https://www.google.com/maps/place/The+Mall+at+Green+Hills/data=!4m7!3m6!1s0x88646507590406c1:0x3229fe22f561544b!8m2!3d36.1071913!4d-86.8156575!16s%2Fm%2F027pgx8!19sChIJwQYEWQdlZIgRS1Rh9SL-KTI
Tennessee,"retail shop in Tennessee, USA",The Crossings Of Spring Hill,"1001 Crossings Blvd, Spring Hill, TN 37174, United States",,https://www.springhillcrossings.com/,4.4,,https://www.google.com/maps/place/The+Crossings+Of+Spring+Hill/data=!4m7!3m6!1s0x88637853819df6b7:0xac1437bca0b6a4e7!8m2!3d35.7398415!4d-86.9397205!16s%2Fg%2F11nn1_k1sw!19sChIJt_adgVN4Y4gR56S2oLw3FKw
Tennessee,"retail shop in Tennessee, USA",Tanger Outlets Sevierville,"1645 Parkway #960, Sevierville, TN 37862, United States",+18654531053,https://www.tangeroutlet.com/sevierville,4.5,,https://www.google.com/maps/place/Tanger+Outlets+Sevierville/data=!4m7!3m6!1s0x885bf8ca7e324e57:0x5c132617c92c2a37!8m2!3d35.8327779!4d-83.5684623!16s%2Fg%2F1tcx7r2r!19sChIJV04yfsr4W4gRNyosyRcmE1w
Tennessee,"retail shop in Tennessee, USA",The Shops of Lee Village,"1640 Lee Victory Pkwy, Smyrna, TN 37167, United States",+16152239101,,4.6,,https://www.google.com/maps/place/The+Shops+of+Lee+Village/data=!4m7!3m6!1s0x88640b8fd9663ad1:0xa3203b61dea25f4d!8m2!3d35.9413604!4d-86.5276107!16s%2Fg%2F11rfmvshjj!19sChIJ0Tpm2Y8LZIgRTV-i3mE7IKM
Tennessee,"retail shop in Tennessee, USA",The Avenue Murfreesboro,"2615 Medical Center Pkwy, Murfreesboro, TN 37129, United States",+16158934207,https://theavenuemurfreesboro.com/,4.5,,https://www.google.com/maps/place/The+Avenue+Murfreesboro/data=!4m7!3m6!1s0x8863f7d93062e439:0x3f0fbe6dcf53db1d!8m2!3d35.8584298!4d-86.4451396!16s%2Fm%2F03bzzg9!19sChIJOeRiMNn3Y4gRHdtTz22-Dz8
Tennessee,"retail shop in Tennessee, USA",Lid'l Dolly's Factory Store,"2870 Parkway, Pigeon Forge, TN 37863, United States",+18654294867,http://www.lidldollys.com/,4.6,,https://www.google.com/maps/place/Lid%27l+Dolly%27s+Factory+Store/data=!4m7!3m6!1s0x885bff0d4a84ad39:0x9c62157455daedde!8m2!3d35.797006!4d-83.567782!16s%2Fg%2F1tywynq_!19sChIJOa2ESg3_W4gR3u3aVXQVYpw
Tennessee,"retail shop in Tennessee, USA",Broadway Boutique Mall,"107 W Broad St, Cookeville, TN 38501, United States",+19318540293,https://broadwayboutiquemall.square.site/,4.4,,https://www.google.com/maps/place/Broadway+Boutique+Mall/data=!4m7!3m6!1s0x88672210ec1a3f4d:0x29a81e3c7dc97ba9!8m2!3d36.1646852!4d-85.5081126!16s%2Fg%2F1w112y3p!19sChIJTT8a7BAiZ4gRqXvJfTweqCk
Tennessee,"retail shop in Tennessee, USA",White's Mercantile 12 South,"2400 12th Ave S, Nashville, TN 37204, United States",+16157505379,https://whitesmercantile.com/,4.4,,https://www.google.com/maps/place/White%27s+Mercantile+12+South/data=!4m7!3m6!1s0x8864643046f0832f:0x44356466bddb6eb5!8m2!3d36.1261681!4d-86.7890475!16s%2Fg%2F1pty2_t1t!19sChIJL4PwRjBkZIgRtW7bvWZkNUQ
Tennessee,"retail shop in Tennessee, USA",Fifth + Broadway,"5036 Broadway, Nashville, TN 37203, United States",+16154166400,https://fifthandb.com/?utm_source=2060digital&utm_medium=localseo&utm_campaign=gbp,4.7,,https://www.google.com/maps/place/Fifth+%2B+Broadway/data=!4m7!3m6!1s0x886467bc1a213215:0x8f115cdbf505b3d4!8m2!3d36.1605138!4d-86.7797514!16s%2Fg%2F11fhnk7mty!19sChIJFTIhGrxnZIgR1LMF9dtcEY8
Tennessee,"retail shop in Tennessee, USA",Hamilton Place,"2100 Hamilton Pl Blvd, Chattanooga, TN 37421, United States",+14238555282,https://www.hamiltonplace.com/,4.3,,https://www.google.com/maps/place/Hamilton+Place/data=!4m7!3m6!1s0x886063862d82314d:0x1ef766425bb30e43!8m2!3d35.0345452!4d-85.1587682!16zL20vMDhtcXNr!19sChIJTTGCLYZjYIgRQw6zW0Jm9x4
