State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Utah,"retail shop in Utah, USA",Everything Utah,"311 S State St, Salt Lake City, UT 84111, United States",+13852705957,http://www.everythingut.com/,4.8,,https://www.google.com/maps/place/Everything+Utah/data=!4m7!3m6!1s0x8752f5006a1ba88f:0x26757765517a8aaa!8m2!3d40.7624676!4d-111.8878103!16s%2Fg%2F11g01sqqlj!19sChIJj6gbagD1UocRqop6UWV3dSY
Utah,"retail shop in Utah, USA",The Shops at South Town,"10450 State St #2320, Sandy, UT 84070, United States",+18015721517,http://www.shopsatsouthtown.com/,4.3,,https://www.google.com/maps/place/The+Shops+at+South+Town/data=!4m7!3m6!1s0x875287c8ef9285a3:0x3525452386c99414!8m2!3d40.5620647!4d-111.8937235!16zL20vMGNxa2dm!19sChIJo4WS78iHUocRFJTJhiNFJTU
Utah,"retail shop in Utah, USA",Outlets at Traverse Mountain,"3700 Cabela's Blvd, Lehi, UT 84043, United States",+18019011200,https://www.outletsattraversemountain.com/,4.5,,https://www.google.com/maps/place/Outlets+at+Traverse+Mountain/data=!4m7!3m6!1s0x875280233a075a0f:0x60df99f574b09b2e!8m2!3d40.4352734!4d-111.8843297!16s%2Fg%2F11g69jd_m9!19sChIJD1oHOiOAUocRLpuwdPWZ32A
Utah,"retail shop in Utah, USA",Utah Souvenir & Gift Store,"300 State St, Salt Lake City, UT 84103, United States",+18015381398,https://utahsouvenirstore.com/,4.9,,https://www.google.com/maps/place/Utah+Souvenir+%26+Gift+Store/data=!4m7!3m6!1s0x8752f54aaee4150f:0x26ed9cab51160519!8m2!3d40.7755999!4d-111.8876698!16s%2Fg%2F11gjp3r80y!19sChIJDxXkrkr1UocRGQUWUauc7SY
Utah,"retail shop in Utah, USA",University of Utah Campus Store,"270 S 1500 E, Salt Lake City, UT 84112, United States",+18015816326,https://www.store.utah.edu/,4.3,,https://www.google.com/maps/place/University+of+Utah+Campus+Store/data=!4m7!3m6!1s0x87525f8d1b06ea91:0xf448be7d17627615!8m2!3d40.7638278!4d-111.8475542!16s%2Fg%2F1tcxvqk2!19sChIJkeoGG41fUocRFXZiF32-SPQ
Utah,"retail shop in Utah, USA",Fashion Place,"6191 S State St, Murray, UT 84107, United States",+18012629448,https://www.fashionplace.com/en.html,4.4,,https://www.google.com/maps/place/Fashion+Place/data=!4m7!3m6!1s0x875289bef87fcb6b:0x9e865a4dadee3648!8m2!3d40.6372542!4d-111.8868617!16s%2Fm%2F03gww0f!19sChIJa8t_-L6JUocRSDburU1ahp4
Utah,"retail shop in Utah, USA",Beehive State Souvenirs,"214 W 600 S suite b, Salt Lake City, UT 84101, United States",+13852294105,https://beehivestatesouvenirs.com/?utm_source=GMBlisting&utm_medium=organic,4.8,,https://www.google.com/maps/place/Beehive+State+Souvenirs/data=!4m7!3m6!1s0x8752f5d54e8bfccb:0xd42f2f75fb365211!8m2!3d40.7567451!4d-111.8970723!16s%2Fg%2F11fj135lw5!19sChIJy_yLTtX1UocREVI2-3UvL9Q
Utah,"retail shop in Utah, USA",Trolley Square,"602 E 500 S, Salt Lake City, UT 84102, United States",+18015219877,http://www.trolleysquare.com/,4.3,,https://www.google.com/maps/place/Trolley+Square/data=!4m7!3m6!1s0x8752f542777ee745:0xaa14335155925588!8m2!3d40.7572935!4d-111.8722972!16zL20vMDRwOWRk!19sChIJRed-d0L1UocRiFWSVVEzFKo
Utah,"retail shop in Utah, USA",City Creek Center,"50 S Main St, Salt Lake City, UT 84101, United States",+18015212012,https://shopcitycreekcenter.com/,4.5,,https://www.google.com/maps/place/City+Creek+Center/data=!4m7!3m6!1s0x8752f508b7dc56a9:0x13d77d6e854d7e79!8m2!3d40.768357!4d-111.8917171!16s%2Fm%2F0283mp1!19sChIJqVbctwj1UocReX5NhW591xM
Utah,"retail shop in Utah, USA",The Gateway,"400 W 200 S, Salt Lake City, UT 84101, United States",+18014560000,http://atthegateway.com/?y_source=1_MTg3MjA4MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,,https://www.google.com/maps/place/The+Gateway/data=!4m7!3m6!1s0x8752f50023b5e105:0xbf4b78f58640694f!8m2!3d40.7686366!4d-111.903931!16zL20vMDRmNjc5!19sChIJBeG1IwD1UocRT2lAhvV4S78
