State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Vermont,"retail shop in Vermont, USA",Maple Tree Place,"28 Walnut St, Williston, VT 05495, United States",+19142883330,https://acadiarealty.com/properties/maple-tree-place/,4.2,,https://www.google.com/maps/place/Maple+Tree+Place/data=!4m7!3m6!1s0x4cca78fa891d64f7:0x51320eefbe4dd691!8m2!3d44.4451629!4d-73.1093402!16s%2Fm%2F04zg_n0!19sChIJ92Qdifp4ykwRkdZNvu8OMlE
Vermont,"retail shop in Vermont, USA",Vermont Maple Outlet,"3929 VT-15, Jeffersonville, VT 05464, United States",+18026445482,http://www.vermontmapleoutlet.com/,4.5,,https://www.google.com/maps/place/Vermont+Maple+Outlet/data=!4m7!3m6!1s0x4cb5f47bbf4584e7:0x1f7161d7af0a3149!8m2!3d44.6457139!4d-72.8510611!16s%2Fg%2F1tl_l9wd!19sChIJ54RFv3v0tUwRSTEKr9dhcR8
Vermont,"retail shop in Vermont, USA",Essex Junction Shopping Center,"Pearl St, Essex Junction, VT 05452, United States",,,4.2,,https://www.google.com/maps/place/Essex+Junction+Shopping+Center/data=!4m7!3m6!1s0x4cca775e03b957bd:0x9afe71b144f1be34!8m2!3d44.4949332!4d-73.1202882!16s%2Fg%2F11h_v66_v_!19sChIJvVe5A153ykwRNL7xRLFx_po
Vermont,"retail shop in Vermont, USA",The Vermont Country Store Rockingham,"1292 Rockingham Rd, Bellows Falls, VT 05101, United States",+18024632224,http://www.vermontcountrystore.com/,4.6,,https://www.google.com/maps/place/The+Vermont+Country+Store+Rockingham/data=!4m7!3m6!1s0x89e1bab3af5a3f39:0x2d1e4e763ce85bbc!8m2!3d43.1973556!4d-72.505125!16s%2Fg%2F1v4k7j2l!19sChIJOT9ar7O64YkRvFvoPHZOHi0
Vermont,"retail shop in Vermont, USA",Manchester Designer Outlets,"65 Depot St, Manchester Center, VT 05255, United States",+18023623736,http://www.manchesterdesigneroutlets.com/,4.1,,https://www.google.com/maps/place/Manchester+Designer+Outlets/data=!4m7!3m6!1s0x89e05e4f7a23fb85:0xdc3027824906d61d!8m2!3d43.175982!4d-73.0557686!16s%2Fg%2F1vnrm05b!19sChIJhfsjek9e4IkRHdYGSYInMNw
Vermont,"retail shop in Vermont, USA",Quechee Gorge Village,"5573 Woodstock Rd, Quechee, VT 05059, United States",,,4.6,,https://www.google.com/maps/place/Quechee+Gorge+Village/data=!4m7!3m6!1s0x4cb4cb4645353fe3:0x2cd438250e1a396!8m2!3d43.638063!4d-72.397759!16s%2Fg%2F1tr1751p!19sChIJ4z81RUbLtEwRlqPhUIJDzQI
Vermont,"retail shop in Vermont, USA",Shaw's General Store,"54 Main St, Stowe, VT 05672, United States",+18022534040,http://www.shawsgeneralstore.com/,4.5,,https://www.google.com/maps/place/Shaw%27s+General+Store/data=!4m7!3m6!1s0x4cb59655b598b5b1:0xcb49557e12c712c0!8m2!3d44.465189!4d-72.686386!16s%2Fg%2F1tj6tf5_!19sChIJsbWYtVWWtUwRwBLHEn5VScs
Vermont,"retail shop in Vermont, USA",The Vermont Country Store Weston,"657 Main St, Weston, VT 05161, United States",+18028243184,http://www.vermontcountrystore.com/,4.6,,https://www.google.com/maps/place/The+Vermont+Country+Store+Weston/data=!4m7!3m6!1s0x89e04c24ac640ef3:0x9449e72fc8954335!8m2!3d43.2906801!4d-72.7927921!16s%2Fg%2F1tglz_6m!19sChIJ8w5krCRM4IkRNUOVyC_nSZQ
Vermont,"retail shop in Vermont, USA",The Great Moose Vermont Shop,"280 Vermont Rte 100, West Dover, VT 05356, United States",+16462292640,http://www.greatmoosevermont.com/,4.8,,https://www.google.com/maps/place/The+Great+Moose+Vermont+Shop/data=!4m7!3m6!1s0x89e0fab547c2c9eb:0x8b6287cf7c29cf80!8m2!3d42.9513545!4d-72.8765654!16s%2Fg%2F1thp8_42!19sChIJ68nCR7X64IkRgM8pfM-HYos
Vermont,"retail shop in Vermont, USA",University Mall,"155 Dorset St, South Burlington, VT 05403, United States",+18028631066,http://www.umallvt.com/,3.8,,https://www.google.com/maps/place/University+Mall/data=!4m7!3m6!1s0x4cca7a347f7ea7ed:0x8a7b0612d325a7b0!8m2!3d44.4658817!4d-73.184102!16zL20vMGJneGZf!19sChIJ7ad-fzR6ykwRsKcl0xIGe4o
Vermont,"retail shop in Vermont, USA",Saint Albans Shopping Center,"133 N Main St, St Albans City, VT 05478, United States",+18028638210,http://www.vermontrealestate.com/,4.2,,https://www.google.com/maps/place/Saint+Albans+Shopping+Center/data=!4m7!3m6!1s0x4cca1ac25a6b48a5:0x6af11439e97788d!8m2!3d44.815165!4d-73.0818696!16s%2Fg%2F1w0j3tw1!19sChIJpUhrWsIaykwRjXiXnkMRrwY
Vermont,"retail shop in Vermont, USA",Shelburne Road Shopping Plaza,"CQXR+V3, South Burlington, VT 05403, United States",,http://google.com/url?q=https://business.google.com/website_shared/launch_bw.html?f=https://amzn.to/4dtl37h,4.1,,https://www.google.com/maps/place/Shelburne+Road+Shopping+Plaza/data=!4m7!3m6!1s0x4cca7bbc6a2831ed:0x165746cd32112d8c!8m2!3d44.4496875!4d-73.2098125!16s%2Fg%2F1tdmpp74!19sChIJ7TEoarx7ykwRjC0RMs1GVxY
Vermont,"retail shop in Vermont, USA",Essex Experience,"21 Essex Way, Essex Junction, VT 05452, United States",+18028784200,https://www.essexresort.com/essex-experience-vermont,4.2,,https://www.google.com/maps/place/Essex+Experience/data=!4m7!3m6!1s0x4cca77a14da5956b:0xbf3f23f4ff8de114!8m2!3d44.5069978!4d-73.0820468!16s%2Fm%2F043vyzj!19sChIJa5WlTaF3ykwRFOGN__QjP78
Vermont,"retail shop in Vermont, USA",Gateway Shopping Center,"570 Shelburne Rd, South Burlington, VT 05403, United States",+19142883330,https://www.acadiarealty.com/properties/search/property/56-gateway-shopping-center-south-burlington?utm_source=extnet&utm_medium=yext,4.2,,https://www.google.com/maps/place/Gateway+Shopping+Center/data=!4m7!3m6!1s0x4cca7b273dec00b1:0x2d9b8549f58f66ca!8m2!3d44.4496407!4d-73.2077537!16s%2Fg%2F11qn9hx72d!19sChIJsQDsPSd7ykwRymaP9UmFmy0
