State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Washington,"retail shop in Washington, USA",CityCenterDC,"825 10th St NW, Washington, DC 20001, United States",+12022899000,http://www.citycenterdc.com/,4.5,,https://www.google.com/maps/place/CityCenterDC/data=!4m7!3m6!1s0x89b7b793da059bdf:0xd28041ff95c9e868!8m2!3d38.9005041!4d-77.0256605!16s%2Fm%2F0h55r60!19sChIJ35sF2pO3t4kRaOjJlf9BgNI
Washington,"retail shop in Washington, USA",Nordstrom Rack,"400 Pine St, Seattle, WA 98101, United States",+12064488522,https://stores.nordstromrack.com/us/wa/seattle/400-pine-st?utm_source=google&utm_medium=organic&utm_campaign=rack&utm_content=16&utm_channel=low_nd_seo_local&sp_source=google&sp_campaign=rack,4.2,,https://www.google.com/maps/place/Nordstrom+Rack/data=!4m7!3m6!1s0x54906ab33b541d4d:0xd8fd54b9cf2f2174!8m2!3d47.6117257!4d-122.3373069!16s%2Fg%2F1tdvzljv!19sChIJTR1UO7NqkFQRdCEvz7lU_dg
Washington,"retail shop in Washington, USA",Nordstrom Rack,"1800 L St NW, Washington, DC 20036, United States",+12026273650,https://stores.nordstromrack.com/us/dc/washington/1800-l-st-nw?utm_source=google&utm_medium=organic&utm_campaign=rack&utm_content=673&utm_channel=low_nd_seo_local&sp_source=google&sp_campaign=rack,4.1,,https://www.google.com/maps/place/Nordstrom+Rack/data=!4m7!3m6!1s0x89b7b7b906010efd:0xf5809602c074a474!8m2!3d38.9034451!4d-77.0419908!16s%2Fg%2F12cnvsb4m!19sChIJ_Q4BBrm3t4kRdKR0wAKWgPU
Washington,"retail shop in Washington, USA",DC USA,"3100 14th St NW, Washington, DC 20010, United States",+12022324047,http://shopdcusa.com/,4.3,,https://www.google.com/maps/place/DC+USA/data=!4m7!3m6!1s0x89b7c821d7205bad:0x6bd75c5465c0029c!8m2!3d38.9298212!4d-77.0329218!16s%2Fm%2F09gp6y_!19sChIJrVsg1yHIt4kRnALAZVRc12s
Washington,"retail shop in Washington, USA",Spokane Valley Mall,"14700 E Indiana Ave, Spokane Valley, WA 99216, United States",+15099265575,https://www.spokanevalleymall.com/en.html,4.3,,https://www.google.com/maps/place/Spokane+Valley+Mall/data=!4m7!3m6!1s0x5361dff2a70e8aab:0xb34e9636d940e0d6!8m2!3d47.6735502!4d-117.207748!16s%2Fm%2F04f__20!19sChIJq4oOp_LfYVMR1uBA2TaWTrM
Washington,"retail shop in Washington, USA",Bellevue Square,"575 Bellevue Square, Bellevue, WA 98004, United States",+14254548096,http://bellevuecollection.com/,4.5,,https://www.google.com/maps/place/Bellevue+Square/data=!4m7!3m6!1s0x54906c86779db517:0xda7188c739364d86!8m2!3d47.6157647!4d-122.203721!16zL20vMDZ0M19w!19sChIJF7Wdd4ZskFQRhk02OceIcdo
Washington,"retail shop in Washington, USA",The Shops at Wisconsin Place,"5310 Western Ave NW, Chevy Chase, MD 20815, United States",+13018414000,http://www.shopwisconsinplace.com/,4.4,,https://www.google.com/maps/place/The+Shops+at+Wisconsin+Place/data=!4m7!3m6!1s0x89b7c990ebb7ba4f:0xb6b33e55a872f0e4!8m2!3d38.9610792!4d-77.0870682!16s%2Fm%2F03qp2__!19sChIJT7q365DJt4kR5PByqFU-s7Y
Washington,"retail shop in Washington, USA",Shops on Washington,"252 Washington St, Attleboro, MA 02703, United States",,https://www.carpionatogroup.com/property/436/shops-on-washington,4.4,,https://www.google.com/maps/place/Shops+on+Washington/data=!4m7!3m6!1s0x89e45da06d6b3909:0x45e16f99663d4ebd!8m2!3d41.9216809!4d-71.3564702!16s%2Fg%2F11h8bg_p9m!19sChIJCTlrbaBd5IkRvU49Zplv4UU
Washington,"retail shop in Washington, USA",Georgetown Park,"3222 M St NW, Washington, DC 20007, United States",,http://www.georgetownpark.com/,4.4,,https://www.google.com/maps/place/Georgetown+Park/data=!4m7!3m6!1s0x89b7b630b74cf4fb:0xae5b01c2275d9b5d!8m2!3d38.9046829!4d-77.0630616!16s%2Fm%2F03qgtf9!19sChIJ-_RMtzC2t4kRXZtdJ8IBW64
Washington,"retail shop in Washington, USA",The Collection at Chevy Chase,"5471 Wisconsin Ave, Chevy Chase, MD 20815, United States",+13016542690,https://collectionchevychase.com/,4.4,,https://www.google.com/maps/place/The+Collection+at+Chevy+Chase/data=!4m7!3m6!1s0x89b7c9909f943af1:0x3d2cd75ac22108d7!8m2!3d38.9626827!4d-77.086092!16s%2Fm%2F03cxgtz!19sChIJ8TqUn5DJt4kR1wghwlrXLD0
Washington,"retail shop in Washington, USA",Port Townsend Antique Mall,"802 Washington St, Port Townsend, WA 98368, United States",+13603798069,,4.5,,https://www.google.com/maps/place/Port+Townsend+Antique+Mall/data=!4m7!3m6!1s0x548fedc6c376afef:0x565cab009b48e3b2!8m2!3d48.1156984!4d-122.7565913!16s%2Fg%2F1tql4gq9!19sChIJ7692w8btj1QRsuNImwCrXFY
