State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Alabama,"retail shop in Alabama, USA",Alabama Goods,"2933 18th St S, Homewood, AL 35209, United States",+12058033900,http://alabamagoods.com/,4.8,,https://www.google.com/maps/place/Alabama+Goods/data=!4m7!3m6!1s0x8889197b33843459:0x9a21fdecc137b775!8m2!3d33.478469!4d-86.791297!16s%2Fg%2F1tqtbfnv!19sChIJWTSEM3sZiYgRdbc3wez9IZo
Alabama,"retail shop in Alabama, USA",Everything Alabama,"153 W Main St, Prattville, AL 36067, United States",+13343010191,,4.8,,https://www.google.com/maps/place/Everything+Alabama/data=!4m7!3m6!1s0x888e8f135d4a6c79:0x227ba5ed1dc80954!8m2!3d32.4597121!4d-86.4746034!16s%2Fg%2F11h18gnphb!19sChIJeWxKXROPjogRVAnIHe2leyI
Alabama,"retail shop in Alabama, USA",Cheaha State Park Store,"19644 AL-281, Delta, AL 36258, United States",,https://www.alapark.com/parks/cheaha-state-park,4.5,,https://www.google.com/maps/place/Cheaha+State+Park+Store/data=!4m7!3m6!1s0x888bbb0ed11cc575:0xce2ada2bb88006df!8m2!3d33.4770446!4d-85.8085966!16s%2Fg%2F11n08rz5z6!19sChIJdcUc0Q67i4gR3waAuCvaKs4
Alabama,"retail shop in Alabama, USA",Gulf Shores City Store,"1821 AL-59, Gulf Shores, AL 36542, United States",+12519682504,https://www.gulfshoresgear.com/,4.0,,https://www.google.com/maps/place/Gulf+Shores+City+Store/data=!4m7!3m6!1s0x889a053fbddab0d9:0xaa2c11b1a53a1d46!8m2!3d30.2711851!4d-87.6881772!16s%2Fg%2F11flpl6gy8!19sChIJ2bDavT8FmogRRh06pbERLKo
Alabama,"retail shop in Alabama, USA",Bridge Street Town Centre,"365 The Brg St NW, Huntsville, AL 35806, United States",+12564282022,https://www.bridgestreethuntsville.com/,4.6,,https://www.google.com/maps/place/Bridge+Street+Town+Centre/data=!4m7!3m6!1s0x88626ebb1aa29c67:0xe91850f78b3f111e!8m2!3d34.7183682!4d-86.6739256!16s%2Fm%2F03c1_vd!19sChIJZ5yiGrtuYogRHhE_i_dQGOk
Alabama,"retail shop in Alabama, USA",Riverchase Galleria,"2000 Galleria Cir, Hoover, AL 35244, United States",+12059853019,https://www.riverchasegalleria.com/en.html,4.3,,https://www.google.com/maps/place/Riverchase+Galleria/data=!4m7!3m6!1s0x888922179fef236b:0x4c3432fce349e744!8m2!3d33.3799501!4d-86.8097555!16zL20vMDRjanRu!19sChIJayPvnxciiYgRROdJ4_wyNEw
Alabama,"retail shop in Alabama, USA",Center Point Shopping Center,"1671-1691 Center Point Pkwy, Center Point, AL 35215, United States",+15615330344,https://in-rel.com/listings/center-point-shopping-center/,4.0,,https://www.google.com/maps/place/Center+Point+Shopping+Center/data=!4m7!3m6!1s0x88890ec6c6ce5a65:0xbac46d7ea9bf78c8!8m2!3d33.63251!4d-86.6826691!16s%2Fg%2F1w3w3t3m!19sChIJZVrOxsYOiYgRyHi_qX5txLo
Alabama,"retail shop in Alabama, USA",Wrapsody of Hoover,"1028 Marble Ter Suite 116, Hoover, AL 35244, United States",+12059897277,https://shopwrapsody.com/,4.8,,https://www.google.com/maps/place/Wrapsody+of+Hoover/data=!4m7!3m6!1s0x88891a130ff7831f:0x101bf1e8ce151802!8m2!3d33.3537108!4d-86.8481062!16s%2Fg%2F1tltn3_v!19sChIJH4P3DxMaiYgRAhgVzujxGxA
Alabama,"retail shop in Alabama, USA",Sikes and Kohn's Country Mall,"22150 Troy Hwy, Pine Level, AL 36065, United States",+13345847402,https://www.facebook.com/sikes.kohn,4.2,,https://www.google.com/maps/place/Sikes+and+Kohn%27s+Country+Mall/data=!4m7!3m6!1s0x888dc4ff19990e35:0x4d5a312f039314f0!8m2!3d32.0638367!4d-86.0563801!16s%2Fg%2F1tfrn35q!19sChIJNQ6ZGf_EjYgR8BSTAy8xWk0
Alabama,"retail shop in Alabama, USA",Valley Grande Market Shopping Center,"5510 AL-22, Valley Grande, AL 36701, United States",+13348771447,,4.3,,https://www.google.com/maps/place/Valley+Grande+Market+Shopping+Center/data=!4m7!3m6!1s0x888f04bf6a29663d:0xe4fa099a79949070!8m2!3d32.4830905!4d-87.0013223!16s%2Fg%2F12637_528!19sChIJPWYpar8Ej4gRcJCUeZoJ-uQ
